"Credit Memos","Кредитне напомене"
"Customer's Activities","Активност Корисника"
"Refresh","Освежи"
"Item","Артикал"
"Add To Order","Додај у наруџбу"
"Configure and Add to Order","Цонфигуре анд Додај то Поруџбина"
"No items","Нема артикала"
"Append Comments","Додај коментаре"
"Email Order Confirmation","Потврда поруџбине емаилом"
"Grand Total Excl. Tax","Укупно без Пореза"
"Grand Total Incl. Tax","Укупно с Порезом"
"Subtotal (Excl. Tax)","Међузбир (без пореза)"
"Subtotal (Incl. Tax)","Међузбир (са порезом)"
"Payment &amp; Shipping Method","Начин плаћања и доставе"
"Payment Information","Информације о Плаћању"
"The order was placed using %1.","The order was placed using %1."
"Shipping Information","Информације о достави"
"Items to Refund","Ставке за Поврат"
"Return to Stock","Повратак на залихе"
"Qty to Refund","Кол за Поврат"
"Tax Amount","Износ пореза"
"Discount Amount","Износ попуста"
"Row Total","Ред укупно"
"No Items To Refund","Нема артикала за рефундацију"
"Credit Memo Comments","Кредитно одобрење Цомментс"
"Refund Totals","Укупно рефундације"
"Email Copy of Credit Memo","Е-пошта Копирај оф Кредитно одобрење"
"Please enter a positive number in this field.","Молимо унесите а поситиве нумбер ин тхис фиелд."
"Items Refunded","Рефундирани артикли"
"No Items","Нема артикала"
"Memo Total","Укупно напомене"
"Credit Memo History","Кредитно одобрење Хисторy"
"Credit Memo Totals","Кредитно одобрење Тоталс"
"Customer Name: %1","Купац Назив: %1"
"Purchased From: %1","Purchased From: %1"
"Gift Message","Поклон порука"
"From:","Од:"
"To:","За:"
"Message:","Порука:"
"Shipping &amp; Handling","Достава и руковање"
"Gift Options","Поклон Опције"
"Create Shipment","Креирај испоруку"
"Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice.","Фактура анд схипмент тyпес до нот матцх фор соме итемс он тхис ордер. Yоу цан цреате а схипмент онлy афтер цреатинг тхе инвоице."
"%1","%1"
"Qty to Invoice","Количина за фактурисање"
"Invoice History","Историја фактуре"
"Invoice Comments","Фактура Цомментс"
"Invoice Totals","Фактура Тоталс"
"Amount","Износ"
"Capture Online","Наплата на мрежи"
"Capture Offline","Capture Offline"
"Not Capture","Није наплаћено"
"The invoice will be created offline without the payment gateway.","The invoice will be created offline without the payment gateway."
"Email Copy of Invoice","Е-пошта Копирај оф Фактура"
"Items Invoiced","Фактурисани артикли"
"Total Tax","Укупан порез"
"From Name","Фром Назив"
"To Name","То Назив"
"Status","Статус"
"Comment","Коментар"
"Notification Not Applicable","Обавештење није применљиво"
"Order & Account Information","Информације о поруџбини и налогу"
"The order confirmation email was sent","Емаил потврде поруџбине је послат"
"The order confirmation email is not sent","The order confirmation email is not sent"
"Order Date","Датум поруџбине"
"Order Date (%1)","Датум поруџбине (%1)"
"Purchased From","Купљено из"
"Link to the New Order","Линк ка новој поруџбини"
"Link to the Previous Order","Линк ка претходној поруџбини"
"Placed from IP","Поручено са ИП"
"%1 / %2 rate:","%1 / %2 rate:"
"Edit Customer","Уреди купца"
"Customer Name","Име купца"
"Customer Group","Група купаца"
"Notes for this Order","Белешке за ову поруџбину"
"Comment added","Коментар додат"
"Transaction Data","Transaction Data"
"Transaction ID","ИД трансакције"
"Parent Transaction ID","ИД родитељске трансакције"
"Order ID","ИД поруџбине"
"Transaction Type","Врста трансакције"
"Is Closed","Затворено је"
"Created At","Креирано"
"Child Transactions","Подређене трансакције"
"Transaction Details","Детаљи трансакције"
"Items","Ставке"
"Gift Message for this Order","Порука за поклон фор тхис Поруџбина"
"Shipped By","Испоручио"
"Tracking Number","Број за праћење"
"Billing Last Name","Презиме за Наплату"
"Find Order By","Пронађи поруџбину по"
"ZIP Code","Поштански број"
"Billing ZIP Code","Поштански број за наплату"
"Continue","Настави"
"Print All Refunds","Штампај све рефундације"
"Refund #","Рефундација #"
"Print Refund","Штампај рефундацију"
"Product Name","Назив производа"
"Order #","Поруџбина #"
"Date","Датум"
"Ship To","Достава На"
"Actions","Радње"
"View Order","Прегледај поруџбину"
"You have placed no orders.","Нисте извршили ниједну поруџбину."
"No shipping information available","Нема доступних информација о достави"
"Print Order","Штампање наруџбине"
"Print All Invoices","Штампај све фактуре"
"Invoice #","Фактура #"
"Print Invoice","Штампај фактуру"
"Qty Invoiced","Фактурисана кол."
"Close","Затвори"
"About Your Order","О вашој поруџбини"
"<span class=""label"">Order Date:</span> %1","<спан цласс=""лабел"">Датум поруџбине:</спан> %1"
"Refund #%1","Поврат #%1"
"Shipment #%1","Пошиљке #%1"
"Qty Shipped","Испоручена кол."
"Recent Orders","Недавне поруџбине"
"View All","Прикажи све"
"Gift Message for This Order","Поклон порука за ову поруџбину"
"Recently Ordered","Недавне поруџбине"
"Add to Cart","Додај у корпу"
"Search","Претрага"
"Credit memo for your %store_name order","Профактура за вашу %сторе_наме поруџбину"
"%name,","%назив,"
"Thank you for your order from %store_name.","Хвала вам за поруџбину %сторе_наме."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Можете да проверите статус Ваше поруџбине пријављивањем <а хреф=""%аццоунт_урл"">у Ваш налог</а>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Ако имате питања о поруџбини, можете нам писати на <а хреф=""маилто:%сторе_емаил"">%сторе_емаил</а>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","или нас позовите на <а хреф=""тел:%сторе_пхоне"">%сторе_пхоне</а>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Наше радно време је <спан цласс=""но-линк"">%сторе_хоурс</спан>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Ваша профактура #%цредитмемо_ид за Поруџбину #%ордер_ид"
"Billing Info","Информације о плаћању"
"Shipping Info","Информације о испоруци"
"Update to your %store_name credit memo","Ажурирајате Вашу %сторе_наме профактуру"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Ваша поруџбина #%инцремент_ид је ажурирана са статусом <стронг>%ордер_статус</стронг>."
"Invoice for your %store_name order","Фактура за Вашу %сторе_наме поруџбину"
"Your Invoice #%invoice_id for Order #%order_id","Ваша фактура #%инвоице_ид за Поруџбину #%ордер_ид"
"Update to your %store_name invoice","Ажурирајте Вашу %сторе_наме фактуру"
"Your %store_name order confirmation","Потврда %сторе_наме Ваше поруџбине"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","Када Ваша поруџбина буде послата, послаћемо Вам број за праћење поруџбине."
"Your Order <span class=""no-link"">#%increment_id</span>","Ваша поруџбина <спан цласс=""но-линк"">#%инцремент_ид</спан>"
"Placed on <span class=""no-link"">%created_at</span>","Постављено на <спан цласс=""но-линк"">%цреатед_ат</спан>"
"Once your package ships we will send an email with a link to track your order.","Након што се ваш пакет отпреми, послат ц́емо вам емаил са везом за прац́ење ваше наруџбе."
"Update to your %store_name order","Ажурирајте Вашу %сторе_наме поруџбину"
"Your %store_name order has shipped","Ваша %сторе_наме поруџбина је послата"
"Your shipping confirmation is below. Thank you again for your business.","Ваша потврда о испоруци је испод. Хвала Вам још једном за Ваше пословање."
"Your Shipment #%shipment_id for Order #%order_id","Испорука за #%схипмент_ид за поруџбину #%ордер_ид"
"Update to your %store_name shipment","Ажурирано на Вашој %сторе_наме пошиљци"
"Gift Options for ","Поклон Опције"
"Add Products","Додај производе"
"You have item changes","Имате измене артикала"
"Ok","У реду"
"Operations","Операције"
"Create","Креирај"
"Send Order Email","Пошаљи емаил поруџбине"
"Accept or Deny Payment","Аццепт ор Одбиј Плаћање"
"Send Sales Emails","Пошаљи емаилове продаје"
"Sales Section","Секција продаје"
"Sales Emails Section","Продаја Емаилс Сецтион"
"General","Опште"
"Hide Customer IP","Сакриј ИП купца"
"Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos.","Изабери wхетхер а цустомер ИП ис схоwн ин ордерс, инвоицес, схипментс, анд цредит мемос."
"Checkout Totals Sort Order","Редослед сортирања укупних износа"
"Allow Reorder","Дозволи поновну поруџбину"
"Invoice and Packing Slip Design","Дизајн фактуре и отпремнице"
"Logo for PDF Print-outs (200x50)","Лого за ПДФ исписе (200x50)"
"Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.","Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image."
"Logo for HTML Print View","Лого за ХТМЛ штампани приказ"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)"
"Address","Адреса"
"Minimum Order Amount","Минимум Поруџбина Амоунт"
"Enable","Омогући"
"Minimum Amount","Минимални износ"
"Subtotal after discount","Међузбир након попуста"
"Include Tax to Amount","Укључи порез у износ"
"Description Message","Опис Мессаге"
"This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount.","This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount."
"Error to Show in Shopping Cart","Грешка за приказ у корпи"
"Validate Each Address Separately in Multi-address Checkout","Валидате Еацх Адреса Сепарателy ин Мулти-аддресс Наплата"
"Multi-address Description Message","Порука описа више адреса"
"We'll use the default description above if you leave this empty.","We'll use the default description above if you leave this empty."
"Multi-address Error to Show in Shopping Cart","Мулти-аддресс Грешка то Прикажи ин Корпа"
"We'll use the default error above if you leave this empty.","We'll use the default error above if you leave this empty."
"Dashboard","Контролна табла"
"Use Aggregated Data","Користи агрегиране податке"
"Orders Cron Settings","Црон подешавања поруџбина"
"Pending Payment Order Lifetime (minutes)","На чекању Плаћање Поруџбина Лифетиме (минутес)"
"Sales Emails","Емаилови продаје"
"Asynchronous sending","Asynchronous sending"
"Enabled","Омогућено"
"New Order Confirmation Email Sender","Пошиљалац емаила потврде нове поруџбине"
"New Order Confirmation Template","Шаблон потврде нове поруџбине"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Шаблон мејла се бира на основу теме када је изабрана опција ""Подразумевано""."
"New Order Confirmation Template for Guest","Ново Поруџбина Цонфирматион Темплате фор Гуест"
"Send Order Email Copy To","Пошаљи копију емаила поруџбине на"
"Comma-separated","Comma-separated"
"Send Order Email Copy Method","Начин слања копије емаила поруџбине"
"Order Comment Email Sender","Пошиљалац емаила коментара поруџбине"
"Order Comment Email Template","Шаблон емаила коментара поруџбине"
"Order Comment Email Template for Guest","Шаблон емаила коментара поруџбине за госте"
"Send Order Comment Email Copy To","Пошаљи Поруџбина Цоммент Е-пошта Копирај То"
"Send Order Comments Email Copy Method","Начин слања копије емаила коментара поруџбине"
"Invoice Email Sender","Фактура Е-пошта Сендер"
"Invoice Email Template","Фактура Е-пошта Темплате"
"Invoice Email Template for Guest","Фактура Е-пошта Темплате фор Гуест"
"Send Invoice Email Copy To","Пошаљи копију емаила фактуре на"
"Send Invoice Email Copy Method","Начин слања копије емаила фактуре"
"Invoice Comment Email Sender","Фактура Цоммент Е-пошта Сендер"
"Invoice Comment Email Template","Фактура Цоммент Е-пошта Темплате"
"Invoice Comment Email Template for Guest","Фактура Цоммент Е-пошта Темплате фор Гуест"
"Send Invoice Comment Email Copy To","Пошаљи Фактура Цоммент Е-пошта Копирај То"
"Send Invoice Comments Email Copy Method","Начин слања копије емаила коментара фактуре"
"Shipment","Испорука"
"Shipment Email Sender","Пошиљалац емаила испоруке"
"Shipment Email Template","Шаблон емаила испоруке"
"Shipment Email Template for Guest","Шаблон емаила испоруке за госте"
"Send Shipment Email Copy To","Пошаљи Пошиљка Е-пошта Копирај То"
"Send Shipment Email Copy Method","Пошаљи Пошиљка Е-пошта Копирај Метход"
"Shipment Comments","Коментари испоруке"
"Shipment Comment Email Sender","Пошиљалац емаила коментара испоруке"
"Shipment Comment Email Template","Шаблон емаила коментара испоруке"
"Shipment Comment Email Template for Guest","Пошиљка Цоммент Е-пошта Темплате фор Гуест"
"Send Shipment Comment Email Copy To","Пошаљи Пошиљка Цоммент Е-пошта Копирај То"
"Send Shipment Comments Email Copy Method","Пошаљи Пошиљка Цомментс Е-пошта Копирај Метход"
"Credit Memo Email Sender","Кредитно одобрење Е-пошта Сендер"
"Credit Memo Email Template","Кредитно одобрење Е-пошта Темплате"
"Credit Memo Email Template for Guest","Кредитно одобрење Е-пошта Темплате фор Гуест"
"Send Credit Memo Email Copy To","Пошаљи Кредитно одобрење Е-пошта Копирај То"
"Send Credit Memo Email Copy Method","Пошаљи Кредитно одобрење Е-пошта Копирај Метход"
"Credit Memo Comment Email Sender","Кредитно одобрење Цоммент Е-пошта Сендер"
"Credit Memo Comment Email Template","Кредитно одобрење Цоммент Е-пошта Темплате"
"Credit Memo Comment Email Template for Guest","Кредитно одобрење Цоммент Е-пошта Темплате фор Гуест"
"Send Credit Memo Comment Email Copy To","Пошаљи Кредитно одобрење Цоммент Е-пошта Копирај То"
"Send Credit Memo Comments Email Copy Method","Пошаљи Кредитно одобрење Цомментс Е-пошта Копирај Метход"
"PDF Print-outs","ПДФ исписи"
"Display Order ID in Header","Дисплаy Поруџбина ИД ин Хеадер"
"Customer Order Status Notification","Купац Поруџбина Статус Обавештење"
"Asynchronous indexing","Asynchronous indexing"
"Orders and Returns Search Form","Форма за претрагу поруџбина и повраћаја"
"Anchor Custom Title","Сидро Одабраног Назива"
"Template","Шаблон"
"Default Template","Подразумевани Шаблон"
"Name","Име"
"Phone","Телефон"
"ZIP/Post Code","Поштански број"
"Signed-up Point","Signed-up Point"
"Website","Wеб сајт"
"Bill-to Name","Рачун на Име"
"Created","Креиран"
"Invoice Date","Датум фактуре"
"Ship-to Name","Достава на Име"
"Ship Date","Датум испоруке"
"Total Quantity","Укупна количина"
"Default Status","Подразумевани статус"
"State Code and Title","Држава Код анд Наслов"
"Item Status","Статус артикла"
"Original Price","Оригинална цена"
"Tax Percent","Проценат пореза"
"All Store Views","Сви прегледи продавница"
"PDF Credit Memos","ПДФ кредитне напомене"
"Purchase Point","Куповина"
"Print Invoices","Штампај фактуре"
"Print Packing Slips","Штампај Пацкинг Слипс"
"Print Credit Memos","Штампај кредитне напомене"
"Print All","Штампај Све"
"Print Shipping Labels","Штампај налепнице за доставу"
"Purchase Date","Датум куповине"
"Grand Total (Base)","Укупан износ (основни)"
"Grand Total (Purchased)","Укупан износ (купљено)"
"Customer Email","Емаил купца"
"Shipping and Handling","Достава и руковање"
"PDF Invoices","ПДФ фактуре"
"PDF Shipments","ПДФ испоруке"
"PDF Creditmemos","ПДФ кредитне напомене"
"Refunds","Refunds"
"Create New Order for New Customer in %1","Креирај Ново Поруџбина фор Ново Купац ин %1"
"The invoice and the shipment  have been created. The shipping label cannot be created now.","Тхе инвоице анд тхе схипмент  су цреатед. Тхе схиппинг лабел не може бе цреатед ноw."
"We will authorize %1 after the payment is approved at the payment gateway.","We will authorize %1 after the payment is approved at the payment gateway."
"Order is suspended as its authorizing amount %1 is suspected to be fraudulent.","Поруџбина ис суспендед ас итс аутхоризинг амоунт %1 ис суспецтед то бе фраудулент."
"An amount of %1 will be captured after being approved at the payment gateway.","An amount of %1 will be captured after being approved at the payment gateway."
"Captured amount of %1 online","Captured amount of %1 online"
"The order amount of %1 is pending approval on the payment gateway.","The order amount of %1 is pending approval on the payment gateway."
"Ordered amount of %1","Ordered amount of %1"
"Registered notification about captured amount of %1.","Registered notification about captured amount of %1."
"Order is suspended as its capture amount %1 is suspected to be fraudulent.","Поруџбина ис суспендед ас итс цаптуре амоунт %1 ис суспецтед то бе фраудулент."
"We found an invalid quantity to ship for item ""%1"".","Пронађена је неважећа количина за испоруку ставке ""%1""."
"order-header","order-header"
"Something went wrong","Нешто није у реду"
"Page not found.","Страница није пронађена."
"Improves dashboard performance but provides non-realtime data.","Improves dashboard performance but provides non-realtime data."
"Invalid Form Key. Please refresh the page.","Неважећа шифра за форму. Молим освежите страницу."
"Sample message.","Пример поруке."
"Limit per cron run","Ограничење по црон извршавању"
"Grid Settings","Подешавања мреже"
"Use Aggregated Data (beta)","Користи агрегиране податке (бета)"
"Could not save the comment.","Није могао саве тхе цоммент."
"Authorized amount of %1.","Authorized amount of %1."
"Authorized amount of %1. Order is suspended as its authorizing amount %1 is suspected to be fraudulent.","Аутхоризед амоунт оф %1. Поруџбина ис суспендед ас итс аутхоризинг амоунт %1 ис суспецтед то бе фраудулент."
"Captured amount of %1 online.","Captured amount of %1 online."
"Requested product doesn't exist","Реqуестед продуцт не постоји"
"Product is not salable.","Производ није доступан."
"Get available payment methods","Get available payment methods"
"Allow Zero GrandTotal","Дозволи нулти укупан износ"
"Allow Zero GrandTotal for Creditmemo","Дозволи нулти укупан износ за кредитну напомену"
"Include Discount Amount","Укључи износ попуста"
"The comment is missing. Enter and try again.","Коментар недостаје. Покушајте поново."
"The ""%1"" coupon code isn't valid. Verify the code and try again.","Купон код ""%1"" није важећи. Проверите код и покушајте поново."
"The quote item ID needs to be received. Set the ID and try again.","Наведени ИД артикла мора бити примљен. Постави ИД и покушај поново."
"The quote item needs to be loaded. Load the item and try again.","Наведени артикал мора бити учитан. Учитај артикал и покушај поново."
"The invoice can't be created without products. Add products and try again.","Тхе инвоице цан'т бе цреатед wитхоут продуцтс. Додај продуцтс анд покушајте поново."
"The invoice can't be saved at this time. Please try again later.","Тхе инвоице цан'т бе савед ат тхис тиме. Покушајте поново латер."
"The shipping method is missing. Select the shipping method and try again.","Недостаје начин доставе. Одаберите начин доставе и покушајте поново."
"The payment method isn't selected. Enter the payment method and try again.","Тхе паyмент метход исн'т селецтед. Ентер тхе паyмент метход анд покушајте поново."
"An ID is needed. Set the ID and try again.","Ан ИД ис неедед. Сет тхе ИД анд покушајте поново."
"The entity that was requested doesn't exist. Verify the entity and try again.","Тхе ентитy тхат wас реqуестед не постоји. Верифy тхе ентитy анд покушајте поново."
"The order address couldn't be deleted.","Адреса поруџбине није могла бити обрисана."
"The order address couldn't be saved.","Адреса поруџбине није могла бити сачувана."
"The credit memo couldn't be deleted.","Кредитна напомена није могла бити обрисана."
"The credit memo couldn't be saved.","Кредитна напомена није могла бити сачувана."
"The shipment couldn't be deleted.","Испорука није могла бити обрисана."
"The shipment couldn't be saved.","Испорука није могла бити сачувана."
"The last status can't be changed and needs to stay assigned to its current state.","The last status can't be changed and needs to stay assigned to its current state."
"The status can't be unassigned because the status is currently used by an order.","The status can't be unassigned because the status is currently used by an order."
"The status needs to remain assigned to its state.","The status needs to remain assigned to its state."
"The ""%1"" validator is not an instance of the general validator interface.","Валидатор ""%1"" није инстанца општег интерфејса валидатора."
"The creditmemo contains incorrect product items.","Тхе цредитмемо цонтаинс нетачан продуцт итемс."
"You can not refund shipping if there is no shipping amount.","You can not refund shipping if there is no shipping amount."
