"Credit Memos","Avoirs"
"Same As Billing Address","Identique à l'adresse de facturation"
"Select from existing customer addresses:","Sélectionner une adresse client existante :"
"Add New Address","Ajouter une adresse"
"Save in address book","Enregistrer dans le carnet d'adresses"
"You don't need to select a shipping address.","Vous n'avez pas besoin de sélectionner une adresse de livraison."
"Gift Message for the Entire Order","Message cadeau pour toute la commande"
"Leave this box blank if you don't want to leave a gift message for the entire order.","Laissez cette case vide si vous ne souhaitez pas laisser un message cadeau pour toute la commande."
"Row Subtotal","Sous-total de la ligne"
"Action","Action"
"No ordered items","Aucun article commandé"
"Update Items and Quantities","Mettre à jour les articles et quantités"
"Total %1 product(s)","%1 produit(s) au total"
"Subtotal:","Sous-total :"
"Tier Pricing","Tarification par palier"
"Custom Price","Prix personnalisé"
"Please select","Sélectionnez"
"Move to Shopping Cart","Placer dans le panier"
"Move to Wish List","Déplacer vers la liste d'achats"
"Subscribe to Newsletter","S'abonner à la newsletter"
"Click to change shipping method","Cliquer pour changer le mode de livraison"
"Sorry, no quotes are available for this order.","Désolé, pas de devis disponible pour cette commande."
"Get shipping methods and rates","Obtenir les modes de livraison et les taux"
"You don't need to select a shipping method.","Vous n'avez pas besoin de sélectionner un mode de livraison."
"Customer's Activities","Activités du client"
"Refresh","Rafraîchir"
"Item","Article"
"Add To Order","Ajouter à la commande"
"Configure and Add to Order","Configurer et ajouter à la commande"
"No items","Aucun article"
"Append Comments","Ajouter les commentaires"
"Email Order Confirmation","Envoyer la confirmation de commande par mail"
"Grand Total Excl. Tax","Total HT"
"Grand Total Incl. Tax","Total TTC"
"Subtotal (Excl. Tax)","Sous-total HT"
"Subtotal (Incl. Tax)","Sous-total TTC"
"Payment &amp; Shipping Method","Mode de livraison et paiement"
"Payment Information","Informations de paiement"
"The order was placed using %1.","La commande a été passée à l’aide de %1."
"Shipping Information","Informations de livraison"
"Items to Refund","Articles à rembourser"
"Return to Stock","Remettre en stock"
"Qty to Refund","Qté à rembourser"
"Tax Amount","Montant TVA"
"Discount Amount","Remise"
"Row Total","Total ligne"
"No Items To Refund","Aucun article à rembourser"
"Credit Memo Comments","Commentaires d'avoir"
"Refund Totals","Total remboursé"
"Email Copy of Credit Memo","Envoyer une copie de l'avoir par mail"
"Please enter a positive number in this field.","Saisissez un nombre positif."
"Items Refunded","Articles remboursés"
"No Items","Aucun article"
"Memo Total","Total avoir"
"Credit Memo History","Historique de l'avoir"
"Credit Memo Totals","Totaux de l'avoir"
"Customer Name: %1","Nom du client : %1"
"Purchased From: %1","Commandé sur : %1"
"Gift Message","Message du cadeau"
"From:","De :"
"To:","À :"
"Message:","Message :"
"Shipping &amp; Handling","Frais de port"
"Gift Options","Options cadeau"
"Create Shipment","Créer la livraison"
"Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice.","Les réglages de facturation et d'expédition ne correspondent pas pour certains articles dans cette commande. Vous ne pouvez créer un envoi qu'après la création de la facture."
"%1","%1"
"Qty to Invoice","Qté à facturer"
"Invoice History","Historique de la facture"
"Invoice Comments","Commentaires de facture"
"Invoice Totals","Totaux de la facture"
"Amount","Montant"
"Capture Online","Capturer en ligne"
"Capture Offline","Capturer hors ligne"
"Not Capture","Pas de capture"
"The invoice will be created offline without the payment gateway.","La facture sera créée hors site sans la passerelle de paiement."
"Email Copy of Invoice","Envoyer une copie de la facture par mail"
"Items Invoiced","Articles facturés"
"Total Tax","TVA"
"From Name","De la part de"
"To Name","Pour (nom)"
"Status","Statut"
"Comment","Commentaire"
"Notification Not Applicable","Notification non-applicable"
"Order & Account Information","Commande & Informations de compte"
"The order confirmation email was sent","Le courriel de confirmation de commande a été envoyé"
"The order confirmation email is not sent","Le courriel de confirmation de commande n'a pas été envoyé"
"Order Date","Date de commande"
"Order Date (%1)","Date de commande (%1)"
"Purchased From","Acheté sur"
"Link to the New Order","Lien vers la nouvelle commande"
"Link to the Previous Order","Lien vers la commande précédente"
"Placed from IP","Adresse IP"
"%1 / %2 rate:","taux : %1 / %2"
"Edit Customer","Editer le client"
"Customer Name","Nom du client"
"Customer Group","Groupe de clients"
"Notes for this Order","Notes pour cette commande"
"Comment added","Commentaire ajouté"
"Transaction Data","Données de transaction"
"Transaction ID","Identifiant de transaction"
"Parent Transaction ID","ID de transaction principale"
"Order ID","ID Commande"
"Transaction Type","Type de transaction"
"Is Closed","Est fermé"
"Created At","Créé à"
"Child Transactions","Transactions filles"
"Transaction Details","Détail de la transaction"
"Items","Articles"
"Gift Message for this Order","Message cadeau pour cette commande"
"Shipped By","Livré par"
"Tracking Number","Numéro de suivi"
"Billing Last Name","Nom (fact.)"
"Find Order By","Chercher la commande par"
"ZIP Code","Code postal"
"Billing ZIP Code","Code postal (fact.)"
"Continue","Continuer"
"Print All Refunds","Imprimer tous les avoirs"
"Refund #","Remboursement n°"
"Print Refund","Imprimer l'avoir"
"Product Name","Nom de produit"
"Order #","Commande n°"
"Date","Date"
"Ship To","Livré à"
"Actions","Actions"
"View Order","Visualiser"
"You have placed no orders.","Vous n'avez jamais commandé."
"No shipping information available","Aucune information de livraison disponible"
"Print Order","Imprimer la commande"
"Print All Invoices","Imprimer toutes les factures"
"Invoice #","Facture n°"
"Print Invoice","Imprimer la facture"
"Qty Invoiced","Qté facturée"
"Close","Fermer"
"About Your Order","À propos de votre commande"
"<span class=""label"">Order Date:</span> %1","<span class=""label"">Date de commande :</span> %1"
"Refund #%1","Remboursement n°%1"
"Shipment #%1","Expédition n°%1"
"Qty Shipped","Qté livrée"
"Recent Orders","Commandes récentes"
"View All","Tout voir"
"Gift Message for This Order","Message cadeau pour cette commande"
"Recently Ordered","Récemment commandé"
"Add to Cart","Ajouter au panier"
"Search","Chercher"
"Credit memo for your %store_name order","Avoir pour votre commande sur %store_name"
"%name,","%name,"
"Thank you for your order from %store_name.","Merci pour votre commande chez %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Vous pouvez vérifier l'état de votre commande en <a href=""%account_url""> vous connectant à votre compte</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Si vous avez des questions concernant votre commande, vous pouvez nous contacter par courriel à <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","ou appelez-nous au <a href=""tel:%store_phone"">%store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Horaires d'ouverture : <span class=""no-link"">%store_hours</span>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Votre avoir #%creditmemo_id pour la commande #%order_id"
"Billing Info","Informations de facturation"
"Shipping Info","Informations d'expédition"
"Update to your %store_name credit memo","Mise à jour de votre avoir sur %store_name"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Votre commande #%increment_id a été mise à jour avec le statut <strong>%order_status</strong>."
"Invoice for your %store_name order","Facture pour votre commande sur %store_name"
"Your Invoice #%invoice_id for Order #%order_id","Votre facture #%invoice_id pour la commande #%order_id"
"Update to your %store_name invoice","Mise à jour de votre facture sur %store_name"
"Your %store_name order confirmation","Confirmation de votre commande sur %store_name"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","Dès que votre colis sera expédié, nous vous enverrons un numéro de suivi."
"Your Order <span class=""no-link"">#%increment_id</span>","Votre commande <span class=""no-link""> #%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Effectuée le <span class=""no-link"">%created_at</span>"
"Once your package ships we will send an email with a link to track your order.","Dès que votre colis sera expédié, nous vous enverrons un courriel contenant un lien de suivi de votre expédition."
"Update to your %store_name order","Mise à jour de votre commande sur %store_name"
"Your %store_name order has shipped","Votre commande sur %store_name a été expédiée"
"Your shipping confirmation is below. Thank you again for your business.","La confirmation de votre expédition se trouve ci-dessous. Merci encore pour votre commande."
"Your Shipment #%shipment_id for Order #%order_id","Votre expédition #%shipment_id pour la commande #%order_id"
"Update to your %store_name shipment","Mise à jour de votre expédition sur %store_name"
"Gift Options for ","Options cadeau pour "
"Add Products","Ajouter des produits"
"You have item changes","Vous avez des modifications d'articles"
"Ok","OK"
"Operations","Opérations"
"Create","Créer"
"Send Order Email","Envoyer le courriel de commande"
"Accept or Deny Payment","Accepter ou refuser un paiement"
"Send Sales Emails","Envoyer courriel des ventes"
"Sales Section","Sections ventes"
"Sales Emails Section","Section courriel des ventes"
"General","Général"
"Hide Customer IP","Masquer l'adresse IP du client"
"Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos.","Contrôle si l'adresse IP du client est affichée dans les commandes, factures, expéditions, avoirs."
"Checkout Totals Sort Order","Ordre de tri des totaux de commande"
"Allow Reorder","Autoriser le renouvellement de commande"
"Invoice and Packing Slip Design","Design de facture et de bordereau de livraison"
"Logo for PDF Print-outs (200x50)","Logo pour les impressions PDF (200x50)"
"Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.","Votre logo par défaut sera utilisée dans les documents HTML et PDF. < br />(jpeg, tiff, png) si votre image pdf est déformée, essayez d’utiliser la plus grande taille de fichier image."
"Logo for HTML Print View","Logo pour l'aperçu avant impression HTML"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","Logo pour les documents HTML uniquement. Si vide, par défaut est utilisé. < br />(jpeg, gif, png)"
"Address","Adresse"
"Minimum Order Amount","Montant de commande minimum"
"Enable","Activer"
"Minimum Amount","Montant minimum"
"Subtotal after discount","Sous-total après réduction"
"Include Tax to Amount","Inclure la taxe au montant"
"Description Message","Message de description"
"This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount.","Ce message apparaîtra dans le panier lorsque le sous-total (après remise) sera inférieur au montant minimum autorisé."
"Error to Show in Shopping Cart","Erreur lors de l'affichage dans le panier"
"Validate Each Address Separately in Multi-address Checkout","Valider séparément les adresses lors de commandes multi-adresses"
"Multi-address Description Message","Message de description multi-adresse"
"We'll use the default description above if you leave this empty.","Nous utiliserons la description par défaut ci-dessus si vous laissez ce champ vide."
"Multi-address Error to Show in Shopping Cart","Erreur multi-adresse à afficher dans le panier"
"We'll use the default error above if you leave this empty.","Nous utiliserons l'erreur par défaut ci-dessus si vous laissez ce champ vide."
"Dashboard","Tableau de bord"
"Use Aggregated Data","Utiliser des données agrégées"
"Orders Cron Settings","Paramètres Cron des commandes"
"Pending Payment Order Lifetime (minutes)","Durée de vie de l'ordre de paiement en attente (minutes)"
"Sales Emails","Mails des ventes"
"Asynchronous sending","Envoi asynchrone"
"Enabled","Activé"
"New Order Confirmation Email Sender","Expéditeur du mail de confirmation de commande"
"New Order Confirmation Template","Gabarit de confirmation de nouvelle commande"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Le gabarit d'email choisi est basé sur le thème parent lorsque l'option ""Défaut"" est sélectionnée."
"New Order Confirmation Template for Guest","Gabarit de confirmation de nouvelle commande pour un invité"
"Send Order Email Copy To","Envoyer une copie du mail de commande à"
"Comma-separated","Séparées par des virgules"
"Send Order Email Copy Method","Envoyer une copie du mail de commande en utilisant la méthode"
"Order Comment Email Sender","Expéditeur du mail de commentaire de commande"
"Order Comment Email Template","Gabarit de mail de commentaire de commande"
"Order Comment Email Template for Guest","Gabarit de mail de commentaire de commande pour un invité"
"Send Order Comment Email Copy To","Envoyer une copie du mail de commentaire de commande à"
"Send Order Comments Email Copy Method","Mode de copie d'email pour les commentaires de commande"
"Invoice Email Sender","Expéditeur du mail de facture"
"Invoice Email Template","Gabarit mail de facture"
"Invoice Email Template for Guest","Gabarit de mail de facture pour un invité"
"Send Invoice Email Copy To","Envoyer une copie du mail de facture à"
"Send Invoice Email Copy Method","Mode de copie d'email pour les factures"
"Invoice Comment Email Sender","Expéditeur du mail de commentaire de facture"
"Invoice Comment Email Template","Gabarit de mail commentaire de facture"
"Invoice Comment Email Template for Guest","Gabarit de mail de commentaire de facture pour un invité"
"Send Invoice Comment Email Copy To","Envoyer une copie du mail de commentaire de facture à"
"Send Invoice Comments Email Copy Method","Mode de copie d'email pour les commentaires de facture"
"Shipment","Expédition"
"Shipment Email Sender","Expéditeur du mail d'expédition"
"Shipment Email Template","Gabarit de mail de livraison"
"Shipment Email Template for Guest","Gabarit de mail d'expédition pour un invité"
"Send Shipment Email Copy To","Envoyer une copie du mail de livraison à"
"Send Shipment Email Copy Method","Mode de copie d'email pour les expéditions"
"Shipment Comments","Commentaires de livraison"
"Shipment Comment Email Sender","Expéditeur du mail de commentaire de livraison"
"Shipment Comment Email Template","Gabarit du mail de commentaire de livraison"
"Shipment Comment Email Template for Guest","Gabarit de mail de commentaire d'expédition pour un invité"
"Send Shipment Comment Email Copy To","Envoyer une copie du mail de commentaire de livraison"
"Send Shipment Comments Email Copy Method","Mode de copie d'email pour les commentaires d'expédition"
"Credit Memo Email Sender","Expéditeur du mail d'avoir"
"Credit Memo Email Template","Gabarit de mail d'avoir"
"Credit Memo Email Template for Guest","Gabarit de mail d'avoir pour un invité"
"Send Credit Memo Email Copy To","Envoyer une copie du mail d'avoir à"
"Send Credit Memo Email Copy Method","Mode de copie d'email pour les avoirs"
"Credit Memo Comment Email Sender","Expéditeur du mail de commentaire d'avoir"
"Credit Memo Comment Email Template","Gabarit de mail de commentaire d'avoir pour un invité"
"Credit Memo Comment Email Template for Guest","Gabarit de mail de commentaire d'avoir pour un invité"
"Send Credit Memo Comment Email Copy To","Envoyer une copie du mail de commentaire d'avoir à"
"Send Credit Memo Comments Email Copy Method","Mode de copie d'email pour les commentaires d'avoir"
"PDF Print-outs","Impressions PDF"
"Display Order ID in Header","Afficher l'identifiant de commande dans l'en-tête"
"Customer Order Status Notification","Notification de statut de commande client"
"Asynchronous indexing","Indexation asynchrone"
"Orders and Returns Search Form","Formulaire de recherche de commandes et retours"
"Anchor Custom Title","Présenter un titre personnalisé"
"Template","Gabarit"
"Default Template","Gabarit par défaut"
"Name","Nom"
"Phone","Téléphone"
"ZIP/Post Code","Code postal"
"Signed-up Point","Point d'inscription"
"Website","Site web"
"Bill-to Name","Nom (Fact.)"
"Created","Créé"
"Invoice Date","Date de facturation"
"Ship-to Name","Nom (Livr.)"
"Ship Date","Date d'envoi"
"Total Quantity","Quantité totale"
"Default Status","Statut par défaut"
"State Code and Title","Code et nom d'Etat/Région/Dpt"
"Item Status","Statut de l'article"
"Original Price","Prix d'origine"
"Tax Percent","Taux de TVA"
"All Store Views","Toutes les vues magasin"
"PDF Credit Memos","Avoirs en PDF"
"Purchase Point","Point de vente"
"Print Invoices","Imprimer les factures"
"Print Packing Slips","Imprimer les bordereaux de livraison"
"Print Credit Memos","Imprimer les avoirs"
"Print All","Tout imprimer"
"Print Shipping Labels","Imprimer les étiquettes de livraison"
"Purchase Date","Date d'achat"
"Grand Total (Base)","Nom du client"
"Grand Total (Purchased)","Total général (acheté)"
"Customer Email","Email du client"
"Shipping and Handling","Frais de port"
"PDF Invoices","Factures en PDF"
"PDF Shipments","PDF des expéditions"
"PDF Creditmemos","Avoirs en PDF"
"Refunds","Remboursements"
"Create New Order for New Customer in %1","Créer une nouvelle commande pour le nouveau client dans %1"
"The invoice and the shipment  have been created. The shipping label cannot be created now.","La facture et l'expédition ont été créées. L'étiquette de livraison ne peut pas être créée maintenant."
"We will authorize %1 after the payment is approved at the payment gateway.","Nous autoriserons %1 après l'approbation du paiement à la passerelle de paiement."
"Order is suspended as its authorizing amount %1 is suspected to be fraudulent.","La commande est suspendue car son montant d'autorisation %1 est soupçonné d'être frauduleux."
"An amount of %1 will be captured after being approved at the payment gateway.","Un montant de %1 sera capturé après avoir été approuvé à la passerelle de paiement."
"Captured amount of %1 online","Montant capturé en ligne de %1"
"The order amount of %1 is pending approval on the payment gateway.","Le montant de la commande de %1 est en attente d'approbation sur la passerelle de paiement."
"Ordered amount of %1","Montant commandé de %1"
"Registered notification about captured amount of %1.","Notification enregistrée sur le montant capturé de %1."
"Order is suspended as its capture amount %1 is suspected to be fraudulent.","La commande est suspendue car son montant de capture %1 est soupçonné d'être frauduleux."
"We found an invalid quantity to ship for item ""%1"".","Nous avons trouvé une quantité non valide pour expédier l'objet ""%1""."
"order-header","en-tête de commande"
"Something went wrong","Un problème est survenu"
"Page not found.","Page introuvable."
"Improves dashboard performance but provides non-realtime data.","Améliore les performances du tableau de bord mais fournit des données non-temps réel."
"Invalid Form Key. Please refresh the page.","Clé de formulaire invalide. Veuillez actualiser la page."
"Sample message.","Exemple de message."
"Limit per cron run","Limite par exécution cron"
"Grid Settings","Paramètres de grille"
"Use Aggregated Data (beta)","Utiliser les données cumulatives (beta)"
"Could not save the comment.","Impossible de sauvegarder le commentaire."
"Authorized amount of %1.","Montant de %1 autorisé."
"Authorized amount of %1. Order is suspended as its authorizing amount %1 is suspected to be fraudulent.","Montant autorisé de %1. La commande est suspendue car son montant d'autorisation %1 est suspecté d'être frauduleux."
"Captured amount of %1 online.","Montant capturé en ligne de %1."
"Requested product doesn't exist","Le produit demandé n'existe pas"
"Product is not salable.","Produit non vendable."
"Get available payment methods","Obtenir les méthodes de paiement disponibles"
"Allow Zero GrandTotal","Autoriser GrandTotal à zéro"
"Allow Zero GrandTotal for Creditmemo","Autoriser GrandTotal à zéro pour un avoir"
"Include Discount Amount","Inclure le montant de la remise"
"The comment is missing. Enter and try again.","Le commentaire est manquant. Entrez et réessayez."
"The ""%1"" coupon code isn't valid. Verify the code and try again.","Le code offre spéciale ""%1"" n'est pas valide. Vérifiez le code et réessayez."
"The quote item ID needs to be received. Set the ID and try again.","L’ID d’élément doit être envoyée. Attribuez l'ID et réessayez."
"The quote item needs to be loaded. Load the item and try again.","L’élément cité doit être chargé. Charger l’élément et réessayez."
"The invoice can't be created without products. Add products and try again.","La facture ne peut pas être créée sans produits. Ajoutez des produits et réessayez."
"The invoice can't be saved at this time. Please try again later.","La facture ne peut pas être enregistrée pour le moment. Veuillez réessayer plus tard."
"The shipping method is missing. Select the shipping method and try again.","Le mode de livraison est manquant. Sélectionnez le mode de livraison et réessayez."
"The payment method isn't selected. Enter the payment method and try again.","Le mode de paiement n'est pas sélectionné. Entrez le mode de paiement et réessayez."
"An ID is needed. Set the ID and try again.","Un ID est nécessaire. Définissez l'ID et réessayez."
"The entity that was requested doesn't exist. Verify the entity and try again.","L'entité demandée n'existe pas. Vérifiez l'entité et réessayez."
"The order address couldn't be deleted.","L'adresse de commande n'a pas pu être supprimée."
"The order address couldn't be saved.","L'adresse de commande n'a pas pu être enregistrée."
"The credit memo couldn't be deleted.","L'avoir n'a pas pu être supprimé."
"The credit memo couldn't be saved.","L'avoir n'a pas pu être enregistré."
"The shipment couldn't be deleted.","L'expédition n'a pas pu être supprimée."
"The shipment couldn't be saved.","L'expédition n'a pas pu être enregistrée."
"The last status can't be changed and needs to stay assigned to its current state.","Le dernier statut ne peut pas être modifié et doit rester assigné à son état actuel."
"The status can't be unassigned because the status is currently used by an order.","Le statut ne peut pas être supprimé car le statut est actuellement utilisé par une commande."
"The status needs to remain assigned to its state.","Le statut doit rester assigné à son état."
"The ""%1"" validator is not an instance of the general validator interface.","Le validateur ""%1"" n'est pas une instance de l'interface générale du validateur."
"The creditmemo contains incorrect product items.","L'avoir contient des produits erronés."
"You can not refund shipping if there is no shipping amount.","Vous ne pouvez pas rembourser la livraison s'il n'y a pas de montant de livraison."
