"Credit Memos","Facturas rectificativas"
"Get shipping methods and rates","Obtener métodos y tarifas de envío"
"You don't need to select a shipping method.","No es necesario seleccionar un método de envío."
"Customer's Activities","Actividad de los Clientes"
"Refresh","Actualizar"
"Item","Articulo"
"Add To Order","Añadir al pedido"
"Configure and Add to Order","Configurar y añadir al pedido"
"No items","No hay artículos"
"Append Comments","Anexar comentarios"
"Email Order Confirmation","Enviar una confirmación del pedido por correo electrónico"
"Grand Total Excl. Tax","Total sin incluir impuestos"
"Grand Total Incl. Tax","Total incluyendo impuestos"
"Subtotal (Excl. Tax)","Subtotal (IVA no incluido)"
"Subtotal (Incl. Tax)","Subtotal (IVA incluido)"
"Payment &amp; Shipping Method","Pago y método de envío"
"Payment Information","Información de pago"
"The order was placed using %1.","El pedido fue realizado utilizando %1."
"Shipping Information","Información de envío"
"Items to Refund","Artículos para reembolso"
"Return to Stock","Artículos para devolver a existencias"
"Qty to Refund","Cantidad a reembolsar"
"Tax Amount","Importe de impuestos"
"Discount Amount","Importe del descuento"
"Row Total","Total de fila"
"No Items To Refund","No hay artículos para reembolso"
"Credit Memo Comments","Comentarios de la factura rectificativa"
"Refund Totals","Estadísticas totales de reembolso"
"Email Copy of Credit Memo","Enviar una copia de la factura rectificativa por correo electrónico"
"Please enter a positive number in this field.","Por favor, introduce un número positivo en este campo."
"Items Refunded","Artículos devueltos"
"No Items","No hay artículos"
"Memo Total","Total de la rectificativa"
"Credit Memo History","Historial de la factura rectificativa"
"Credit Memo Totals","Totales de la factura rectificativa"
"Customer Name: %1","Nombre del cliente: %1"
"Purchased From: %1","Comprado en: %1"
"Gift Message","Mensaje regalo"
"From:","Desde:"
"To:","A:"
"Message:","Mensaje:"
"Shipping &amp; Handling","Gastos de envío"
"Gift Options","Opciones de regalo"
"Create Shipment","Crear albarán"
"Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice.","El tipo de factura y envío no coincide con algunos de los artículos de este pedido. Puedes crear un envío solo después de crear la factura."
"%1","%1"
"Qty to Invoice","Cantidad a facturar"
"Invoice History","Historial de la factura"
"Invoice Comments","Comentarios de la factura"
"Invoice Totals","Totales de factura"
"Amount","Importe"
"Capture Online","Capturar en línea"
"Capture Offline","Capturar sin conexión"
"Not Capture","No captura"
"The invoice will be created offline without the payment gateway.","La factura se creará sin conexión sin la pasarela de pago."
"Email Copy of Invoice","Enviar una copia de la factura por correo electrónico"
"Items Invoiced","Artículos facturados"
"Total Tax","Total impuestos"
"From Name","Por nombre"
"To Name","Nombre"
"Status","Estado"
"Comment","Comentario"
"Notification Not Applicable","Notificación no disponible"
"Order & Account Information","Información del pedido y de la cuenta"
"The order confirmation email was sent","Se envió el correo electrónico de confirmación del pedido"
"The order confirmation email is not sent","El correo electrónico de confirmación del pedido no se ha enviado"
"Order Date","Fecha del pedido"
"Order Date (%1)","Fecha del pedido (%1)"
"Purchased From","Comprado de"
"Link to the New Order","Enlace al nuevo pedido"
"Link to the Previous Order","Enlace al pedido anterior"
"Placed from IP","Realizado desde IP"
"%1 / %2 rate:","tarifa %1 / %2 :"
"Edit Customer","Editar cliente"
"Customer Name","Nombre del cliente"
"Customer Group","Grupo del cliente"
"Notes for this Order","Notas para este pedido"
"Comment added","Comentario agregado"
"Transaction Data","Datos de la transacción"
"Transaction ID","Id de la transacción"
"Parent Transaction ID","ID de transacción principal"
"Order ID","Pedido ID"
"Transaction Type","Tipo de transacción"
"Is Closed","Está cerrado"
"Created At","Creado en"
"Child Transactions","Transacciones hijas"
"Transaction Details","Detalles de la transacción"
"Items","Artículos"
"Gift Message for this Order","Mensaje de regalo para este pedido"
"Shipped By","Enviado por"
"Tracking Number","Número de seguimiento"
"Billing Last Name","Apellido para facturación"
"Find Order By","Buscar pedido por"
"ZIP Code","Código postal"
"Billing ZIP Code","Código postal de facturación"
"Continue","Continuar"
"Print All Refunds","Imprimir todos los reembolsos"
"Refund #","Reembolso n.º "
"Print Refund","Imprimir reembolso"
"Product Name","Nombre del producto"
"Order #","Pedido n.º "
"Date","Fecha"
"Ship To","Enviar a"
"Actions","Acciones"
"View Order","Ver pedido"
"You have placed no orders.","No ha hecho ningún pedido."
"No shipping information available","No hay información disponible sobre el envío"
"Print Order","Imprimir pedido"
"Print All Invoices","Imprimir todas las facturas"
"Invoice #","Factura n.º "
"Print Invoice","Imprimir factura"
"Qty Invoiced","Cantidad facturada"
"Close","Cerrar"
"About Your Order","Acerca de tu pedido"
"<span class=""label"">Order Date:</span> %1","<span class=""label""> Fecha de pedido:</span> %1"
"Refund #%1","Reembolso n.º %1"
"Shipment #%1","Envío n.º %1"
"Qty Shipped","Cantidad enviada"
"Recent Orders","Pedidos recientes"
"View All","Ver todo"
"Gift Message for This Order","Mensaje de regalo para este pedido"
"Recently Ordered","Recientemente pedido"
"Add to Cart","Añadir al carrito"
"Search","Buscar"
"Credit memo for your %store_name order","Factura rectificativa para tu pedido en %store_name"
"%name,","%name,"
"Thank you for your order from %store_name.","Gracias por tu pedido en %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Puedes comprobar el estado de tu pedido <a href=""%account_url"">accediendo a tu cuenta</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Si tienes alguna duda acerca de tu pedido, puedes enviarnos un correo electrónico a <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","o llámanos al <a href=""tel:%store_phone"">%store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Nuestro horario es de <span class=""no-link"">%store_hours</span>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Tu factura rectificativa n.º %creditmemo_id para el pedido n.º %order_id"
"Billing Info","Información de facturación"
"Shipping Info","Información de envío"
"Update to your %store_name credit memo","Actualización de tu factura rectificativa de %store_name"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","El pedido n.º %increment_id se ha actualizado con un estado de <strong>%order_status</strong>."
"Invoice for your %store_name order","Factura para el pedido en %store_name"
"Your Invoice #%invoice_id for Order #%order_id","Tu factura n.º %invoice_id para el pedido n.º %order_id"
"Update to your %store_name invoice","Actualización de tu factura en %store_name"
"Your %store_name order confirmation","Confirmación de tu pedido en %store_name"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","Una vez que el paquete sea enviado te enviaremos un número de seguimiento."
"Your Order <span class=""no-link"">#%increment_id</span>","Tu pedido <span class=""no-link""> n.º %increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Creada el <span class=""no-link"">%created_at</span>"
"Once your package ships we will send an email with a link to track your order.","Una vez que tu paquete se envíe, te enviaremos un correo electrónico con un enlace para hacer seguimiento de tu pedido."
"Update to your %store_name order","Actualización de tu pedido en %store_name"
"Your %store_name order has shipped","Se ha enviado tu pedido de %store_name"
"Your shipping confirmation is below. Thank you again for your business.","La confirmación de su envío está abajo. Gracias otra vez por su compra."
"Your Shipment #%shipment_id for Order #%order_id","Tu envío n.º %shipment_id para el pedido n.º %order_id"
"Update to your %store_name shipment","Actualización el envío de %store_name"
"Gift Options for ","Opciones de regalo para "
"Add Products","Añadir productos"
"You have item changes","Tiene cambios de artículo"
"Ok","Aceptar"
"Operations","Operaciones"
"Create","Crear"
"Send Order Email","Enviar correo electrónico del pedido"
"Accept or Deny Payment","Aceptar o rechazar pago"
"Send Sales Emails","Enviar correos de ventas"
"Sales Section","Sección de ventas"
"Sales Emails Section","Sección de emails de ventas"
"General","General"
"Hide Customer IP","Ocultar la IP del cliente"
"Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos.","Elegir si una IP de cliente se muestra en los pedidos, facturas, envíos y facturas rectificativas."
"Checkout Totals Sort Order","Orden de los totales del pago"
"Allow Reorder","Permitir volver a hacer pedidos"
"Invoice and Packing Slip Design","Diseño de la factura y de la etiqueta del paquete postal"
"Logo for PDF Print-outs (200x50)","Logo para impresiones PDF (200x50)"
"Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.","Tu logotipo predeterminado se utilizará en documentos PDF y HTML. <br />(jpeg, tiff, png) Si tu imagen en formato PDF está distorsionada, intenta utilizar imágenes de mayor tamaño."
"Logo for HTML Print View","Logo para la vista de impresión HTML<br />(también para las plantillas de email)"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","Logotipo solo para documentos HTML. Si está vacío, se usará el predeterminado. <br />(jpeg, gif, png)"
"Address","Dirección"
"Minimum Order Amount","Pedido mínimo"
"Enable","Activado"
"Minimum Amount","Importe mínimo"
"Subtotal after discount","Subtotal después del descuento"
"Include Tax to Amount","Incluir el impuesto a la cantidad"
"Description Message","Mensaje de descripción"
"This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount.","Este mensaje aparecerá en el carrito de compra cuando el subtotal (después del descuento) sea menor que el mínimo importe permitido."
"Error to Show in Shopping Cart","Error a mostrar en la cesta de la compra"
"Validate Each Address Separately in Multi-address Checkout","Validar cada dirección por separado en la salida de direcciones múltiples"
"Multi-address Description Message","Múltiple direcciones Mensaje descriptivo"
"We'll use the default description above if you leave this empty.","Se usará la descripción predeterminada arriba si dejas esto vacío."
"Multi-address Error to Show in Shopping Cart","Múltiple direcciones Error en el carrito de compra"
"We'll use the default error above if you leave this empty.","Se usará el mensaje de error predeterminado arriba si dejas esto vacío."
"Dashboard","Panel"
"Use Aggregated Data","Utilizar datos agregados"
"Orders Cron Settings","Configuración del cron de los pedidos"
"Pending Payment Order Lifetime (minutes)","Tiempo de vida de pedido con pago pendiente (minutos)"
"Sales Emails","Correos de Ventas"
"Asynchronous sending","Envío asincrónico"
"Enabled","Habilitado"
"New Order Confirmation Email Sender","Confirmación de pedido - Remitente de correo electrónico"
"New Order Confirmation Template","Plantilla para nueva confirmación de pedido"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Plantilla de correo electrónico elegida en función del tema cuando está seleccionada la opción ""Por defecto""."
"New Order Confirmation Template for Guest","Plantilla para nueva confirmación de pedido como visitante"
"Send Order Email Copy To","Enviar copia del correo electrónico de pedido a"
"Comma-separated","Separados por comas"
"Send Order Email Copy Method","Método de envío de la copia del correo electrónico de pedido"
"Order Comment Email Sender","Comentario del pedido – Remitente de correo electrónico"
"Order Comment Email Template","Comentario del pedido – Plantilla de correo electrónico"
"Order Comment Email Template for Guest","Comentario del pedido – Plantilla de correo electrónico para visitante"
"Send Order Comment Email Copy To","Enviar copia del correo electrónico de comentario del pedido a"
"Send Order Comments Email Copy Method","Método de envío de la copia del correo electrónico de comentario del pedido"
"Invoice Email Sender","Remitente de correo electrónico de la factura"
"Invoice Email Template","Plantilla de correo electrónico de la factura"
"Invoice Email Template for Guest","Plantilla de correo electrónico de factura para visitante"
"Send Invoice Email Copy To","Enviar copia del correo electrónico de factura a"
"Send Invoice Email Copy Method","Método de envío de la copia del correo electrónico de factura"
"Invoice Comment Email Sender","Remitente de correo electrónico para comentarios de la factura"
"Invoice Comment Email Template","Plantilla de correo electrónico para comentarios de la factura"
"Invoice Comment Email Template for Guest","Plantilla de correo electrónico para comentarios de la factura para visitante"
"Send Invoice Comment Email Copy To","Enviar copia del correo electrónico de comentario de la factura a"
"Send Invoice Comments Email Copy Method","Método de envío de la copia del correo electrónico de comentario de la factura"
"Shipment","Envío"
"Shipment Email Sender","Envío - Remitente de correo electrónico"
"Shipment Email Template","Envío - Plantilla de correo electrónico"
"Shipment Email Template for Guest","Envío - Plantilla de correo electrónico para visitante"
"Send Shipment Email Copy To","Enviar copia del correo electrónico de envío a"
"Send Shipment Email Copy Method","Método de envío de la copia del correo electrónico de envío"
"Shipment Comments","Comentarios del pedido"
"Shipment Comment Email Sender","Comentario del envío - Remitente de correo electrónico"
"Shipment Comment Email Template","Comentario del envío - Plantilla de correo electrónico"
"Shipment Comment Email Template for Guest","Comentario del envío - Plantilla de correo electrónico para visitante"
"Send Shipment Comment Email Copy To","Enviar copia del correo electrónico de comentario del envío a"
"Send Shipment Comments Email Copy Method","Método de envío de la copia del correo electrónico de comentario del envío"
"Credit Memo Email Sender","Remitente de correo electrónico de factura rectificativa"
"Credit Memo Email Template","Plantilla de correo electrónico de factura rectificativa"
"Credit Memo Email Template for Guest","Plantilla de correo electrónico de factura rectificativa para visitante"
"Send Credit Memo Email Copy To","Enviar copia del correo electrónico de factura rectificativa a"
"Send Credit Memo Email Copy Method","Método de envío de la copia del correo electrónico de factura rectificativa"
"Credit Memo Comment Email Sender","Remitente del correo electrónico de comentario de la factura rectificativa"
"Credit Memo Comment Email Template","Plantilla del correo electrónico de comentario de la factura rectificativa"
"Credit Memo Comment Email Template for Guest","Plantilla del correo electrónico de comentario de la factura rectificativa para invitado"
"Send Credit Memo Comment Email Copy To","Enviar copia del correo electrónico de comentario de la factura rectificativa a"
"Send Credit Memo Comments Email Copy Method","Método de envío de la copia del correo electrónico de comentario de la factura rectificativa"
"PDF Print-outs","Impresos en PDF"
"Display Order ID in Header","Mostrar ID del pedido en la cabecera"
"Customer Order Status Notification","Notificación de estado de pedido del cliente"
"Asynchronous indexing","Indexación asincrónica"
"Orders and Returns Search Form","Buscador de Pedidos y Devoluciones"
"Anchor Custom Title","Anclar título personalizado"
"Template","Plantilla"
"Default Template","Plantilla (predeterminado)"
"Name","Nombre"
"Phone","Teléfono"
"ZIP/Post Code","Código postal"
"Signed-up Point","Punto registrado"
"Website","Sitio web"
"Bill-to Name","Nombre de facturación"
"Created","Creado"
"Invoice Date","Fecha de la factura"
"Ship-to Name","Nombre de envío"
"Ship Date","Fecha de envío"
"Total Quantity","Cantidad Total"
"Default Status","Estado predeterminado"
"State Code and Title","Título y código de estado"
"Item Status","Estado del artículo"
"Original Price","Precio original"
"Tax Percent","Porcentaje de impuestos"
"All Store Views","Todas las vistas de la tienda"
"PDF Credit Memos","Facturas rectificativas en PDF"
"Purchase Point","Punto de compra"
"Print Invoices","Imprimir facturas"
"Print Packing Slips","Imprimir albaranes"
"Print Credit Memos","Imprimir facturas rectificativas"
"Print All","Imprimir todo"
"Print Shipping Labels","Imprimir etiquetas de envío"
"Purchase Date","Fecha de compra"
"Grand Total (Base)","Gran Total (Base)"
"Grand Total (Purchased)","Gran Total (comprado)"
"Customer Email","Correo electrónico del cliente"
"Shipping and Handling","Gastos de envío"
"PDF Invoices","Facturas en PDF"
"PDF Shipments","Albaranes PDF"
"PDF Creditmemos","Facturas rectificativas en PDF"
"Refunds","Reembolsos"
"Create New Order for New Customer in %1","Crear nuevo pedido para el nuevo cliente en %1"
"The invoice and the shipment  have been created. The shipping label cannot be created now.","The invoice and the shipment  have been created. The shipping label cannot be created now."
"We will authorize %1 after the payment is approved at the payment gateway.","Autorizaremos %1 después de que el pago sea aprobado en la pasarela de pago."
"Order is suspended as its authorizing amount %1 is suspected to be fraudulent.","Se suspende el pedido, ya que se sospecha que la cantidad autorizada %1 es fraudulenta."
"An amount of %1 will be captured after being approved at the payment gateway.","Una cantidad de %1 será capturada después de ser aprobada en la pasarela de pago."
"Captured amount of %1 online","Cantidad capturada de %1 en línea"
"The order amount of %1 is pending approval on the payment gateway.","El importe del pedido de %1 está pendiente de aprobación en la pasarela de pago."
"Ordered amount of %1","Importe del pedido de %1"
"Registered notification about captured amount of %1.","Se ha registrado una notificación sobre la cantidad capturada de %1."
"Order is suspended as its capture amount %1 is suspected to be fraudulent.","Se suspende el pedido, ya que se sospecha que su cantidad de captura %1 es fraudulenta."
"We found an invalid quantity to ship for item ""%1"".","Encontramos una cantidad no válida a enviar para el artículo ""%1""."
"order-header","cabecera-pedido"
"Something went wrong","Algo salió mal"
"Page not found.","Página no encontrada."
"Improves dashboard performance but provides non-realtime data.","Improves dashboard performance but provides non-realtime data."
"Invalid Form Key. Please refresh the page.","Clave de formulario no válida. Por favor, actualiza la página."
"Sample message.","Sample message."
"Limit per cron run","Limit per cron run"
"Grid Settings","Grid Settings"
"Use Aggregated Data (beta)","Utilizar datos agregados (beta)"
"Could not save the comment.","Could not save the comment."
"Authorized amount of %1.","Authorized amount of %1."
"Authorized amount of %1. Order is suspended as its authorizing amount %1 is suspected to be fraudulent.","Authorized amount of %1. Order is suspended as its authorizing amount %1 is suspected to be fraudulent."
"Captured amount of %1 online.","Captured amount of %1 online."
"Requested product doesn't exist","El producto solicitado no existe"
"Product is not salable.","El producto no es vendible."
"Get available payment methods","Get available payment methods"
"Allow Zero GrandTotal","Permitir total cero"
"Allow Zero GrandTotal for Creditmemo","Permitir total cero para la factura rectificativa"
"Include Discount Amount","Include Discount Amount"
"The comment is missing. Enter and try again.","The comment is missing. Enter and try again."
"The ""%1"" coupon code isn't valid. Verify the code and try again.","The ""%1"" coupon code isn't valid. Verify the code and try again."
"The quote item ID needs to be received. Set the ID and try again.","The quote item ID needs to be received. Set the ID and try again."
"The quote item needs to be loaded. Load the item and try again.","The quote item needs to be loaded. Load the item and try again."
"The invoice can't be created without products. Add products and try again.","The invoice can't be created without products. Add products and try again."
"The invoice can't be saved at this time. Please try again later.","The invoice can't be saved at this time. Please try again later."
"The shipping method is missing. Select the shipping method and try again.","The shipping method is missing. Select the shipping method and try again."
"The payment method isn't selected. Enter the payment method and try again.","The payment method isn't selected. Enter the payment method and try again."
"An ID is needed. Set the ID and try again.","An ID is needed. Set the ID and try again."
"The entity that was requested doesn't exist. Verify the entity and try again.","The entity that was requested doesn't exist. Verify the entity and try again."
"The order address couldn't be deleted.","The order address couldn't be deleted."
"The order address couldn't be saved.","The order address couldn't be saved."
"The credit memo couldn't be deleted.","The credit memo couldn't be deleted."
"The credit memo couldn't be saved.","The credit memo couldn't be saved."
"The shipment couldn't be deleted.","The shipment couldn't be deleted."
"The shipment couldn't be saved.","The shipment couldn't be saved."
"The last status can't be changed and needs to stay assigned to its current state.","The last status can't be changed and needs to stay assigned to its current state."
"The status can't be unassigned because the status is currently used by an order.","The status can't be unassigned because the status is currently used by an order."
"The status needs to remain assigned to its state.","The status needs to remain assigned to its state."
"The ""%1"" validator is not an instance of the general validator interface.","The ""%1"" validator is not an instance of the general validator interface."
"The creditmemo contains incorrect product items.","The creditmemo contains incorrect product items."
"You can not refund shipping if there is no shipping amount.","You can not refund shipping if there is no shipping amount."
