"Credit Memos","PDF运单"
"%name,","%名称，"
"Thank you for your order from %store_name.","谢谢您从% store_name中订购的订单。"
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","通过 <a href=""%account_url""> 登录到您的帐户</a>，可以检查您的订单状态。"
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","如果您有关于您的订单的问题，你可以通过电子邮件发送我们在 <a href=""mailto:%store_email""> %store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","or call us at <a href=""tel:%store_phone"">%store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Our hours are <span class=""no-link"">%store_hours</span>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","您的信用备忘录# % creditmemo_id为Order % order_id"
"Billing Info","付费信息"
"Shipping Info","Shipping Info"
"Update to your %store_name credit memo","更新到你 %store_name 贷项通知单"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","你订单 #%increment_id 已更新的状态为 <strong>%order_status</strong>。"
"Invoice for your %store_name order","更新到您的 %store_name 订单"
"Your Invoice #%invoice_id for Order #%order_id","为订单 #%order_id 你发票 #%invoice_id"
"Update to your %store_name invoice","更新到您的 %store_name 发票"
"Your %store_name order confirmation","您的 %store_name 订单确认"
"%customer_name,","%customer_name，"
"Once your package ships we will send you a tracking number.","一旦你的包裹发货，我们会给你一个追踪号码。 "
"Your Order <span class=""no-link"">#%increment_id</span>","您的订单 <span class=""no-link""> #%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","放在 <span class=""no-link"">%created_at</span>"
"Once your package ships we will send an email with a link to track your order.","一旦你的包裹发货我们将发送一封电子邮件的链接来跟踪您的订单。"
"Update to your %store_name order","更新到您的 %store_name 订单"
"Your %store_name order has shipped","您的 %store_name 订单已发货"
"Your shipping confirmation is below. Thank you again for your business.","下面是您发货确认信息。再次感谢您为您的业务。"
"Your Shipment #%shipment_id for Order #%order_id","为订单 #%order_id 你装运 #%shipment_id"
"Update to your %store_name shipment","更新您的% store_name装运"
"Gift Options for ","礼物的选项"
"Add Products","添加产品"
"You have item changes","你有项目变更"
"Ok","OK"
"Operations","操作"
"Create","创建"
"Send Order Email","发送订单邮件"
"Accept or Deny Payment","接受或拒绝付款"
"Send Sales Emails","发送电子邮件销售"
"Sales Section","销售部"
"Sales Emails Section","销售电子邮件部分"
"General","基本的"
"Hide Customer IP","隐藏客户 IP"
"Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos.","选择是否客户 IP 所示订单、 发票、 发货和贷项通知单。"
"Checkout Totals Sort Order","签出总计排序顺序"
"Allow Reorder","允许重新排序"
"Invoice and Packing Slip Design","发票和装箱单设计"
"Logo for PDF Print-outs (200x50)","标志为 PDF 打印件 (200 x 50)"
"Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.","您的默认商标将用于在 PDF 和 HTML 文件中。 <br />(jpeg, tiff, png) 如果您的 pdf 图像失真，尝试使用大的图像。"
"Logo for HTML Print View","HTML 打印视图的标志"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","商标只用于HTML文件中。如果留空，会使用默认的商标。<br />(jpeg, gif, png)"
"Address","地址"
"Minimum Order Amount","最低订单金额"
"Enable","启用"
"Minimum Amount","最小金额"
"Subtotal after discount","Subtotal after discount"
"Include Tax to Amount","含税金额"
"Description Message","描述消息"
"This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount.","低于的最小允许金额小计 (打折后) 时，将购物车中显示此消息。"
"Error to Show in Shopping Cart","显示购物车中的错误"
"Validate Each Address Separately in Multi-address Checkout","验证每个地址分别在多地址结帐"
"Multi-address Description Message","多地址描述消息"
"We'll use the default description above if you leave this empty.","如果您把这个空着，我们将使用上面的默认描述。"
"Multi-address Error to Show in Shopping Cart","多地址错误显示在购物车"
"We'll use the default error above if you leave this empty.","如果您把这个空着，我们将使用上面的默认错误。"
"Dashboard","控制面板"
"Use Aggregated Data","使用聚合数据"
"Orders Cron Settings","订单 Cron 设置"
"Pending Payment Order Lifetime (minutes)","待付款订单寿命 (分钟)"
"Sales Emails","销售电子邮件"
"Asynchronous sending","异步发送"
"Enabled","启动"
"New Order Confirmation Email Sender","新订单确认电子邮件发件人"
"New Order Confirmation Template","新订单确认模板"
"Email template chosen based on theme fallback when ""Default"" option is selected.","电子邮件模板选择基于主题的回退时，选择“默认”选项。"
"New Order Confirmation Template for Guest","新订单确认模板为客人的"
"Send Order Email Copy To","发送订单的电子邮件的复件到"
"Comma-separated","Comma-separated"
"Send Order Email Copy Method","发送订单的电子邮件拷贝方法"
"Order Comment Email Sender","订单评论的电子邮件发件人"
"Order Comment Email Template","订单评论电子邮件模板"
"Order Comment Email Template for Guest","客人的订单评论电子邮件模板"
"Send Order Comment Email Copy To","发送订单备注邮件的复件到"
"Send Order Comments Email Copy Method","发送订单评论电子邮件复制方法"
"Invoice Email Sender","发票的电子邮件发件人"
"Invoice Email Template","发票的电子邮件模板"
"Invoice Email Template for Guest","客人的发票电子邮件模板"
"Send Invoice Email Copy To","发送发票电子邮件的复件到"
"Send Invoice Email Copy Method","发送发票电子邮件复制方法"
"Invoice Comment Email Sender","发票的评论的电子邮件发件人"
"Invoice Comment Email Template","发票的评论的电子邮件模板"
"Invoice Comment Email Template for Guest","客人的发票评论电子邮件模板"
"Send Invoice Comment Email Copy To","发送发票备注邮件的复件到"
"Send Invoice Comments Email Copy Method","发送发票评论电子邮件复制方法"
"Shipment","装运"
"Shipment Email Sender","装运电子邮件发件人"
"Shipment Email Template","装运电子邮件模板"
"Shipment Email Template for Guest","装运电子邮件模板为客人的"
"Send Shipment Email Copy To","发送装运电子邮件的复件到"
"Send Shipment Email Copy Method","发送装运电子邮件复制方法"
"Shipment Comments","发货备注"
"Shipment Comment Email Sender","装运的评论的电子邮件发件人"
"Shipment Comment Email Template","装运的评论的电子邮件模板"
"Shipment Comment Email Template for Guest","客人的装运评论电子邮件模板"
"Send Shipment Comment Email Copy To","发送装运备注邮件的复件到"
"Send Shipment Comments Email Copy Method","发送装运评论电子邮件复制方法"
"Credit Memo Email Sender","信用备忘录电子邮件发件人"
"Credit Memo Email Template","信用备忘录电子邮件模板"
"Credit Memo Email Template for Guest","客人的信用备忘录电子邮件模板"
"Send Credit Memo Email Copy To","发送信用备注邮件的复件到"
"Send Credit Memo Email Copy Method","发送信用备忘录电子邮件复制方法"
"Credit Memo Comment Email Sender","信用备忘录评论的电子邮件发件人"
"Credit Memo Comment Email Template","信用备忘录评论电子邮件模板"
"Credit Memo Comment Email Template for Guest","客人的信用备忘录评论电子邮件模板"
"Send Credit Memo Comment Email Copy To","发送信用备忘录备注邮件的复件到"
"Send Credit Memo Comments Email Copy Method","发送信用备忘录评论电子邮件复制方法"
"PDF Print-outs","PDF 打印件"
"Display Order ID in Header","在页眉中显示订单 ID"
"Customer Order Status Notification","客户订单状态通知"
"Asynchronous indexing","异步索引"
"Orders and Returns Search Form","订单和返回搜索表单"
"Anchor Custom Title","自定义标题锚点"
"Template","模板"
"Default Template","默认模板"
"Name","名字"
"Phone","电话"
"ZIP/Post Code","邮政代码"
"Signed-up Point","签署了点"
"Website","网站"
"Bill-to Name","收件人姓名"
"Created","创建"
"Invoice Date","发票日期"
"Ship-to Name","Ship-to名称"
"Ship Date","运送日期"
"Total Quantity","总数量"
"Default Status","默认状态"
"State Code and Title","状态代码和标题"
"Item Status","商品状态"
"Original Price","原价"
"Tax Percent","纳税百分比"
"All Store Views","所有商店界面"
"PDF Credit Memos","PDF 贷项通知单"
"Purchase Point","购买点"
"Print Invoices","打印发票"
"Print Packing Slips","打印装箱单"
"Print Credit Memos","打印贷项通知单"
"Print All","打印所有"
"Print Shipping Labels","打印发货标签"
"Purchase Date","购买时间"
"Grand Total (Base)","结算货币金额"
"Grand Total (Purchased)","总计 (购买)"
"Customer Email","客户电子邮件"
"Shipping and Handling","运费和手续费"
"PDF Invoices","PDF 发票"
"PDF Shipments","PDF 发货"
"PDF Creditmemos","PDF Creditmemos"
"Refunds","退款"
"Create New Order for New Customer in %1","Create New Order for New Customer in %1"
"The invoice and the shipment  have been created. The shipping label cannot be created now.","The invoice and the shipment  have been created. The shipping label cannot be created now."
"We will authorize %1 after the payment is approved at the payment gateway.","We will authorize %1 after the payment is approved at the payment gateway."
"Order is suspended as its authorizing amount %1 is suspected to be fraudulent.","Order is suspended as its authorizing amount %1 is suspected to be fraudulent."
"An amount of %1 will be captured after being approved at the payment gateway.","An amount of %1 will be captured after being approved at the payment gateway."
"Captured amount of %1 online","Captured amount of %1 online"
"The order amount of %1 is pending approval on the payment gateway.","The order amount of %1 is pending approval on the payment gateway."
"Ordered amount of %1","Ordered amount of %1"
"Registered notification about captured amount of %1.","Registered notification about captured amount of %1."
"Order is suspended as its capture amount %1 is suspected to be fraudulent.","Order is suspended as its capture amount %1 is suspected to be fraudulent."
"We found an invalid quantity to ship for item ""%1"".","We found an invalid quantity to ship for item ""%1""."
"order-header","order-header"
"Something went wrong","Something went wrong"
"Page not found.","Page not found."
"Improves dashboard performance but provides non-realtime data.","Improves dashboard performance but provides non-realtime data."
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"Sample message.","Sample message."
"Limit per cron run","Limit per cron run"
"Grid Settings","Grid Settings"
"Use Aggregated Data (beta)","Use Aggregated Data (beta)"
"Could not save the comment.","Could not save the comment."
"Authorized amount of %1.","Authorized amount of %1."
"Authorized amount of %1. Order is suspended as its authorizing amount %1 is suspected to be fraudulent.","Authorized amount of %1. Order is suspended as its authorizing amount %1 is suspected to be fraudulent."
"Captured amount of %1 online.","Captured amount of %1 online."
"Requested product doesn't exist","Requested product doesn't exist"
"Product is not salable.","Product is not salable."
"Get available payment methods","Get available payment methods"
"Allow Zero GrandTotal","Allow Zero GrandTotal"
"Allow Zero GrandTotal for Creditmemo","Allow Zero GrandTotal for Creditmemo"
"Include Discount Amount","Include Discount Amount"
"The comment is missing. Enter and try again.","The comment is missing. Enter and try again."
"The ""%1"" coupon code isn't valid. Verify the code and try again.","The ""%1"" coupon code isn't valid. Verify the code and try again."
"The quote item ID needs to be received. Set the ID and try again.","The quote item ID needs to be received. Set the ID and try again."
"The quote item needs to be loaded. Load the item and try again.","The quote item needs to be loaded. Load the item and try again."
"The invoice can't be created without products. Add products and try again.","The invoice can't be created without products. Add products and try again."
"The invoice can't be saved at this time. Please try again later.","The invoice can't be saved at this time. Please try again later."
"The shipping method is missing. Select the shipping method and try again.","The shipping method is missing. Select the shipping method and try again."
"The payment method isn't selected. Enter the payment method and try again.","The payment method isn't selected. Enter the payment method and try again."
"An ID is needed. Set the ID and try again.","An ID is needed. Set the ID and try again."
"The entity that was requested doesn't exist. Verify the entity and try again.","The entity that was requested doesn't exist. Verify the entity and try again."
"The order address couldn't be deleted.","The order address couldn't be deleted."
"The order address couldn't be saved.","The order address couldn't be saved."
"The credit memo couldn't be deleted.","The credit memo couldn't be deleted."
"The credit memo couldn't be saved.","The credit memo couldn't be saved."
"The shipment couldn't be deleted.","The shipment couldn't be deleted."
"The shipment couldn't be saved.","The shipment couldn't be saved."
"The last status can't be changed and needs to stay assigned to its current state.","The last status can't be changed and needs to stay assigned to its current state."
"The status can't be unassigned because the status is currently used by an order.","The status can't be unassigned because the status is currently used by an order."
"The status needs to remain assigned to its state.","The status needs to remain assigned to its state."
"The ""%1"" validator is not an instance of the general validator interface.","The ""%1"" validator is not an instance of the general validator interface."
"The creditmemo contains incorrect product items.","The creditmemo contains incorrect product items."
"You can not refund shipping if there is no shipping amount.","You can not refund shipping if there is no shipping amount."
