"Credit Memos","ණය මතක සටහන්"
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"". Credit Memo has not been created. Please create offline Credit Memo.","IPN ""ආපසු ගෙවන ලදී"". වෙළෙන්දා විසින් නිකුත් කරන ලද මුදල් ආපසු ගෙවීම. ආපසු ගෙවන ලද මුදල %1පිළිබඳ ලියාපදිංචි දැනුම්දීම. ගනුදෙනු ID: ""%2"". Credit Memo නිර්මාණය කර නැත. කරුණාකර නොබැඳි ණය සටහනක් සාදන්න."
"The credit memo has been created automatically.","ණය සංදේශය ස්වයංක්‍රීයව නිර්මාණය වී ඇත."
"Registered notification about refunded amount of %1.","ආපසු ගෙවන ලද මුදල %1පිළිබඳ ලියාපදිංචි දැනුම්දීම."
"Canceled order online","අන්තර්ජාලය හරහා ඇණවුම අවලංගු කරන ලදී"
"Canceled order offline","නොබැඳි ඇණවුම අවලංගු කරන ලදී"
"Approved the payment online.","අන්තර්ජාලය හරහා ගෙවීම අනුමත කර ඇත."
"There is no need to approve this payment.","මෙම ගෙවීම අනුමත කිරීමට අවශ්‍ය නැත."
"Denied the payment online","අන්තර්ජාලය හරහා ගෙවීම ප්‍රතික්ෂේප කළා"
"Registered update about approved payment.","අනුමත ගෙවීම පිළිබඳ ලියාපදිංචි යාවත්කාලීනය."
"Registered update about denied payment.","ප්‍රතික්ෂේප වූ ගෙවීම පිළිබඳ ලියාපදිංචි යාවත්කාලීනය."
"There is no update for the payment.","ගෙවීම සඳහා යාවත්කාලීනයක් නොමැත."
"Voided authorization.","අවලංගු කළ අවසරය."
"Amount: %1.","මුදල: %1."
"Transaction ID: ""%1""","ගනුදෙනු ID: ""%1"""
"The payment method you requested is not available.","ඔබ ඉල්ලූ ගෙවීමේ ක්‍රමය නොමැත."
"The payment disallows storing objects.","ගෙවීම වස්තු ගබඩා කිරීමට ඉඩ නොදේ."
"The transaction ""%1"" cannot be captured yet.","""%1"" ගනුදෙනුව තවමත් ග්‍රහණය කර ගත නොහැක."
"The parent transaction ID must have a transaction ID.","මාපිය ගනුදෙනු හැඳුනුම්පතේ ගනුදෙනු හැඳුනුම්පතක් තිබිය යුතුය."
"Payment transactions disallow storing objects.","ගෙවීම් ගනුදෙනු වස්තූන් ගබඩා කිරීමට ඉඩ නොදේ."
"The transaction ""%1"" (%2) is already closed.","""%1"" (%2) ගනුදෙනුව දැනටමත් වසා ඇත."
"Set order for existing transactions not allowed","පවතින ගනුදෙනු සඳහා ඇණවුම සැකසීමට අවසර නැත"
"At minimum, you need to set a payment ID.","අවම වශයෙන්, ඔබට ගෙවීම් හැඳුනුම්පතක් සැකසීමට අවශ්‍ය වේ."
"Order","නියෝග"
"Authorization","අවසර දීම"
"We found an unsupported transaction type ""%1"".","අපට සහාය නොදක්වන ගනුදෙනු වර්ගයක් ""%1"" හමු විය."
"Please set a proper payment and order id.","කරුණාකර නිසි ගෙවීම් සහ ඇණවුම් හැඳුනුම්පතක් සකසන්න."
"Please enter a Transaction ID.","කරුණාකර ගනුදෙනු හැඳුනුම්පතක් ඇතුළු කරන්න."
"You can't do this without a transaction object.","ගනුදෙනු වස්තුවක් නොමැතිව ඔබට මෙය කළ නොහැක."
"Order # ","නියෝග # "
"Order Date: ","ඇණවුම් දිනය: "
"Sold to:","විකුණනු ලැබුවේ:"
"Ship to:","වෙත නැව්ගත කරන්න:"
"Payment Method:","ගෙවීම් ක්රමය:"
"Shipping Method:","නැව්ගත කිරීමේ ක්රමය:"
"Total Shipping Charges","මුළු නැව් ගාස්තු"
"Title","ශීර්ෂය"
"Number","අංකය"
"We found an invalid renderer model.","අපට වලංගු නොවන විදැහුම්කරණ ආකෘතියක් හමු විය."
"Please define the PDF object before using.","කරුණාකර භාවිතා කිරීමට පෙර PDF වස්තුව නිර්වචනය කරන්න."
"We don't recognize the draw line data. Please define the ""lines"" array.","අපි ඇඳීම් රේඛා දත්ත හඳුනා නොගනිමු. කරුණාකර ""රේඛා"" අරාව නිර්වචනය කරන්න."
"Products","නිෂ්පාදන"
"Total (ex)","එකතුව (උදා)"
"Qty","Qty"
"Tax","බද්ද"
"Total (inc)","එකතුව (inc)"
"Credit Memo # ","ණය සටහන # "
"Invoice # ","ඉන්වොයිසිය # "
"The order object is not specified.","ඇණවුම් වස්තුව නිශ්චිතව දක්වා නැත."
"The source object is not specified.","මූලාශ්‍ර වස්තුව නිශ්චිතව දක්වා නැත."
"An item object is not specified.","අයිතම වස්තුවක් නිශ්චිතව දක්වා නැත."
"A PDF object is not specified.","PDF වස්තුවක් නිශ්චිතව දක්වා නැත."
"A PDF page object is not specified.","PDF පිටු වස්තුවක් සඳහන් කර නොමැත."
"Excl. Tax","හැර. බද්ද"
"Incl. Tax","ඇතුළු. බද්ද"
"Packing Slip # ","ඇසුරුම් ස්ලිප් # "
"title","ශීර්ෂය"
"The PDF total model %1 must be or extend \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal.","PDF සම්පූර්ණ මාදිලිය %1 \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal විය යුතුය."
"Received check doesn't match interface","ලැබුණු චෙක්පත අතුරු මුහුණතට නොගැලපේ"
"We cannot register an existing shipment","පවතින නැව්ගත කිරීමක් අපට ලියාපදිංචි කළ නොහැක"
"Could not delete the shipment comment.","නැව්ගත කිරීමේ අදහස මැකීමට නොහැකි විය."
"Could not save the shipment comment.","නැව්ගත කිරීමේ අදහස සුරැකීමට නොහැකි විය."
"Could not delete the shipment item.","නැව්ගත කිරීමේ අයිතමය මැකීමට නොහැකි විය."
"Could not save the shipment item.","නැව්ගත කිරීමේ අයිතමය සුරැකීමට නොහැකි විය."
"Parent shipment cannot be loaded for track object.","මාර්ග වස්තුව සඳහා මාපිය නැව්ගත කිරීම පූරණය කළ නොහැක."
"Could not delete the shipment tracking.","නැව්ගත කිරීම් හඹා යාම මැකීමට නොහැකි විය."
"Could not save the shipment tracking.","නැව්ගත කිරීමේ ලුහුබැඳීම සුරැකීමට නොහැකි විය."
"Order Id is required for shipment document","නැව්ගත කිරීමේ ලේඛනය සඳහා ඇණවුම් හැඳුනුම්පත අවශ්‍ය වේ"
"You can't create a shipment without products.","නිෂ්පාදන නොමැතිව ඔබට නැව්ගත කිරීමක් නිර්මාණය කළ නොහැක."
"The shipment contains product SKU ""%1"" that is not part of the original order.","නැව්ගත කිරීමේදී මුල් ඇණවුමේ කොටසක් නොවන නිෂ්පාදන SKU ""%1"" අඩංගු වේ."
"The quantity to ship must not be greater than the unshipped quantity for product SKU ""%1"".","නැව්ගත කළ යුතු ප්‍රමාණය SKU ""%1"" නිෂ්පාදනය සඳහා නැව්ගත නොකළ ප්‍රමාණයට වඩා වැඩි නොවිය යුතුය."
"Please enter a tracking number.","කරුණාකර ලුහුබැඳීමේ අංකයක් ඇතුළත් කරන්න."
"Could not delete shipment","Could not delete shipment"
"Could not save shipment","Could not save shipment"
"The last status can't be unassigned from its current state.","The last status can't be unassigned from its current state."
"Status can't be unassigned, because it is used by existing order(s).","Status can't be unassigned, because it is used by existing order(s)."
"Could not delete the order status history.","ඇණවුම් තත්ව ඉතිහාසය මැකීමට නොහැකි විය."
"Could not save the order status history.","ඇණවුම් තත්ව ඉතිහාසය සුරැකීමට නොහැකි විය."
"The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal.","සම්පූර්ණ ආකෘතිය \Magento\Sales\Model\Order\Total\Abstract Total වෙතින් දීර්ඝ කළ යුතුය."
"An invoice cannot be created when an order has a status of %1","ඇණවුමක %1තත්ත්වය ඇති විට ඉන්වොයිසියක් සෑදිය නොහැක"
"A creditmemo can not be created when an order has a status of %1","ඇණවුමක තත්ත්වය %1ක් ඇති විට ණය සටහනක් සෑදිය නොහැක"
"The order does not allow a creditmemo to be created.","ඇණවුම ණය සටහනක් නිර්මාණය කිරීමට ඉඩ නොදේ."
"A shipment cannot be created when an order has a status of %1","ඇණවුමක් %1ක තත්වයක් ඇති විට නැව්ගත කිරීමක් සෑදිය නොහැක"
"The order does not allow a shipment to be created.","ඇණවුම නැව්ගත කිරීමක් නිර්මාණය කිරීමට ඉඩ නොදේ."
"""Creditmemo Document Validation Error(s):\n"" .","""Creditmemo Document Validation Error(s):\n"" ."
"Could not save a Creditmemo, see error log for details","Creditmemo සුරැකීමට නොහැකි විය, විස්තර සඳහා දෝෂ ලොගය බලන්න"
"We cannot determine the field name.","අපට ක්ෂේත්‍ර නාමය තීරණය කළ නොහැක."
"City","නගරය"
"Company","සමාගම"
"Country","රට"
"Email","විද්යුත් තැපෑල"
"First Name","මුල් නම"
"Last Name","අවසන් නම"
"State/Province","ප්රාන්තය/පළාත"
"Street Address","වීථි ලිපිනය"
"Phone Number","දුරකථන අංකය"
"Zip/Postal Code","සිප් / තැපැල් කේතය"
"We can't save the address:\n%1","අපට ලිපිනය සුරැකිය නොහැක:\n%1"
"Cannot save comment:\n%1","අදහස සුරැකිය නොහැක:\n%1"
"We don't have enough information to save the parent transaction ID.","මාපිය ගනුදෙනු හැඳුනුම්පත සුරැකීමට ප්‍රමාණවත් තොරතුරු අප සතුව නොමැත."
"We cannot create an empty shipment.","අපට හිස් නැව්ගත කිරීමක් නිර්මාණය කළ නොහැක."
"Cannot save track:\n%1","ධාවන පථය සුරැකිය නොහැක:\n%1"
"Cannot unassign status from state","Cannot unassign status from state"
"New Orders","නව ඇණවුම්"
"Order #%1 created at %2","ඇණවුම #%1 %2සාදන ලදී"
"Details for %1 #%2","%1 #%2සඳහා විස්තර"
"Notified Date: %1","දැනුම් දුන් දිනය: %1"
"Comment: %1<br/>","සටහන: %1<br/>"
"Current Status: %1<br/>","වත්මන් තත්ත්වය: %1<br/>"
"Total: %1<br/>","එකතුව: %1<br/>"
"Order # %1 Notification(s)","ඇණවුම් # %1 දැනුම්දීම්(ය)"
"You can not cancel Credit Memo","ඔබට Credit Memo අවලංගු කළ නොහැක"
"Could not cancel creditmemo","Could not cancel creditmemo"
"We cannot register an existing credit memo.","අපට පවතින ණය සටහනක් ලියාපදිංචි කළ නොහැක."
"We found an invalid quantity to invoice item ""%1"".","""%1"" අයිතමය සඳහා වලංගු නොවන ප්‍රමාණයක් අපට හමු විය."
"The Order State ""%1"" must not be set manually.","""%1"" ඇණවුම අතින් සකස් නොකළ යුතුය."
"""Shipment Document Validation Error(s):\n"" .","""නැව්ගත කිරීමේ ලේඛන වලංගු කිරීමේ දෝෂ(ය):\n"" ."
"Could not save a shipment, see error log for details","නැව්ගත කිරීමක් සුරැකීමට නොහැකි විය, විස්තර සඳහා දෝෂ ලොගය බලන්න"
"VAT Request Identifier","වැට් ඉල්ලීම් හැඳුනුම්කාරකය"
"VAT Request Date","වැට් බදු ඉල්ලීමේ දිනය"
"Pending Payment","පොරොත්තු ගෙවීම"
"Processing","සැකසීම"
"On Hold","රඳවා ගත්"
"Complete","සම්පූර්ණයි"
"Closed","වසා ඇත"
"Suspected Fraud","සැක සහිත වංචාව"
"Payment Review","ගෙවීම් සමාලෝචනය"
"New","අලුත්"
"Product doesn't exist","නිෂ්පාදනයක් නොමැත"
"test message","පරීක්ෂණ පණිවිඩය"
"Email has not been sent","ඊමේල් යවා නැත"
"Authorized amount of %1","අවසර ලත් මුදල %1"
" Transaction ID: ""%1"""," Transaction ID: ""%1"""
"View","දැක්ම"
"Group was removed","කණ්ඩායම ඉවත් කරන ලදී"
"Changing address information will not recalculate shipping, tax or other order amount.","ලිපින තොරතුරු වෙනස් කිරීම නැව්ගත කිරීම, බදු හෝ වෙනත් ඇණවුම් ප්‍රමාණය නැවත ගණනය නොකරයි."
"Comment Text","අදහස් පෙළ"
"Notify Customer by Email","විද්‍යුත් තැපෑලෙන් පාරිභෝගිකයා දැනුවත් කරන්න"
"Visible on Storefront","වෙළඳසැල ඉදිරිපිට දෘශ්‍යමාන වේ"
"Customer","පාරිභෝගික"
"Notified","දැනුම් දුන්නා"
"Not Notified","දැනුම් දී නැත"
"No Payment Methods","ගෙවීම් ක්‍රම නැත"
"Order Comments","අදහස් ඇණවුම් කරන්න"
"Apply Coupon Code","කූපන් කේතය යොදන්න"
"Apply","අයදුම් කරන්න"
"Remove Coupon Code","කූපන් කේතය ඉවත් කරන්න"
"Remove","ඉවත් කරන්න"
"Address Information","ලිපින තොරතුරු"
"Payment &amp; Shipping Information","ගෙවීම් &amp; නැව්ගත කිරීමේ තොරතුරු"
"Order Total","මුළු ඇණවුම"
"Order Currency:","මුදල් ඇණවුම් කරන්න:"
"Same As Billing Address","බිල්පත් ලිපිනය පරිදිමය"
"Select from existing customer addresses:","පවතින පාරිභෝගික ලිපින වලින් තෝරන්න:"
"Add New Address","නව ලිපිනය එක් කරන්න"
"Save in address book","Save in address book"
"You don't need to select a shipping address.","ඔබට නැව්ගත කිරීමේ ලිපිනයක් තෝරා ගැනීමට අවශ්‍ය නැත."
"Gift Message for the Entire Order","සම්පූර්ණ ඇණවුම සඳහා තෑගි පණිවිඩය"
"Leave this box blank if you don't want to leave a gift message for the entire order.","ඔබට සම්පූර්ණ ඇණවුම සඳහා තෑගි පණිවිඩයක් යැවීමට අවශ්‍ය නැතිනම් මෙම කොටුව හිස්ව තබන්න."
"Row Subtotal","පේළි උප එකතුව"
"Action","කටයුතු"
"No ordered items","ඇණවුම් කළ අයිතම නැත"
"Update Items and Quantities","අයිතම සහ ප්‍රමාණ යාවත්කාලීන කරන්න"
"Total %1 product(s)","මුළු නිෂ්පාදන (ය) %1"
"Subtotal:","උප එකතුව:"
"Tier Pricing","ස්ථර මිලකරණය"
"Custom Price","අභිරුචි මිල"
"Please select","කරුණාකර තෝරන්න"
"Move to Shopping Cart","සාප්පු කරත්තය වෙත යන්න"
"Move to Wish List","අවශ්ය ලැයිස්තු වෙත ගෙන යන්න"
"Subscribe to Newsletter","පුවත් පත්‍රිකාවට දායක වන්න"
"Click to change shipping method","නැව්ගත කිරීමේ ක්‍රමය වෙනස් කිරීමට ක්ලික් කරන්න"
"Sorry, no quotes are available for this order.","සමාවන්න, මෙම ඇණවුම සඳහා උපුටා දැක්වීම් නොමැත."
"Get shipping methods and rates","නැව්ගත කිරීමේ ක්රම සහ ගාස්තු ලබා ගන්න"
"You don't need to select a shipping method.","ඔබට නැව්ගත කිරීමේ ක්‍රමයක් තෝරා ගැනීමට අවශ්‍ය නැත."
"Customer's Activities","පාරිභෝගික ක්රියාකාරකම්"
"Refresh","නැවුම් කරන්න"
"Item","අයිතමය"
"Add To Order","ඇණවුමට එකතු කරන්න"
"Configure and Add to Order","වින්‍යාස කර ඇණවුමට එක් කරන්න"
"No items","අයිතම නැත"
"Append Comments","අදහස් එකතු කරන්න"
"Email Order Confirmation","ඊමේල් ඇණවුම තහවුරු කිරීම"
"Grand Total Excl. Tax","Grand Total Excl. බද්ද"
"Grand Total Incl. Tax","Grand Total Incl. බද්ද"
"Subtotal (Excl. Tax)","උප එකතුව (බදු හැර)"
"Subtotal (Incl. Tax)","උප එකතුව (බදු ඇතුළුව)"
"Payment &amp; Shipping Method","ගෙවීම &amp; නැව්ගත කිරීමේ ක්‍රමය"
"Payment Information","ගෙවීම් තොරතුරු"
"The order was placed using %1.","ඇණවුම %1භාවිතා කර ඇත."
"Shipping Information","නැව්ගත කිරීමේ තොරතුරු"
"Items to Refund","ආපසු ගෙවිය යුතු අයිතම"
"Return to Stock","කොටස් වෙත ආපසු යන්න"
"Qty to Refund","ආපසු ගෙවීමට Qty"
"Tax Amount","බදු මුදල"
"Discount Amount","වට්ටම් මුදල"
"Row Total","පේළි එකතුව"
"No Items To Refund","ආපසු ගෙවීමට අයිතම නැත"
"Credit Memo Comments","ණය මතක සටහන්"
"Refund Totals","ආපසු ගෙවීමේ එකතුව"
"Email Copy of Credit Memo","ක්රෙඩිට් මතකයේ ඊමේල් පිටපත"
"Please enter a positive number in this field.","කරුණාකර මෙම ක්ෂේත්‍රයේ ධන අංකයක් ඇතුළත් කරන්න."
"Items Refunded","භාණ්ඩ ආපසු ගෙවන ලදී"
"No Items","අයිතම නැත"
"Memo Total","Memo Total"
"Credit Memo History","ණය මතක සටහන් ඉතිහාසය"
"Credit Memo Totals","ණය සටහන් එකතුව"
"Customer Name: %1","පාරිභෝගික නම: %1"
"Purchased From: %1","මිලදී ගත්: %1"
"Gift Message","තෑගි පණිවිඩය"
"From:","සිට:"
"To:","වෙත:"
"Message:","පණිවුඩය:"
"Shipping &amp; Handling","නැව්ගත කිරීම &amp; හැසිරවීම"
"Gift Options","තෑගි විකල්ප"
"Create Shipment","නැව්ගත කිරීම සාදන්න"
"Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice.","මෙම ඇණවුමේ සමහර අයිතම සඳහා ඉන්වොයිසි සහ නැව්ගත කිරීමේ වර්ග නොගැලපේ. ඔබට නැව්ගත කිරීමක් සෑදිය හැක්කේ ඉන්වොයිසිය නිර්මාණය කිරීමෙන් පසුව පමණි."
"%1","%1"
"Qty to Invoice","ඉන්වොයිසියට ප්‍රමාණය"
"Invoice History","ඉන්වොයිස් ඉතිහාසය"
"Invoice Comments","ඉන්වොයිස් අදහස්"
"Invoice Totals","ඉන්වොයිස් එකතුව"
"Amount","ප්රමාණය"
"Capture Online","අන්තර්ජාලයෙන් ග්‍රහණය කරගන්න"
"Capture Offline","නොබැඳිව ග්‍රහණය කරන්න"
"Not Capture","අල්ලා ගැනීම නොවේ"
"The invoice will be created offline without the payment gateway.","ගෙවීම් ද්වාරය නොමැතිව ඉන්වොයිසිය නොබැඳිව සාදනු ඇත."
"Email Copy of Invoice","ඉන්වොයිසියේ ඊමේල් පිටපත"
"Items Invoiced","භාණ්ඩ ඉන්වොයිස් කර ඇත"
"Total Tax","මුළු බදු"
"From Name","නමෙන්"
"To Name","නමට"
"Status","තත්ත්වය"
"Comment","අදහස් දක්වන්න"
"Notification Not Applicable","දැනුම්දීම අදාළ නොවේ"
"Order & Account Information","ඇණවුම සහ ගිණුම් තොරතුරු"
"The order confirmation email was sent","ඇණවුම තහවුරු කිරීමේ විද්‍යුත් තැපෑල යවා ඇත"
"The order confirmation email is not sent","ඇණවුම තහවුරු කිරීමේ විද්‍යුත් තැපෑල යවා නැත"
"Order Date","ඇණවුම් දිනය"
"Order Date (%1)","ඇණවුම් දිනය (%1)"
"Purchased From","වෙතින් මිලදී ගන්නා ලදී"
"Link to the New Order","නව ඇණවුම වෙත සබැඳිය"
"Link to the Previous Order","පෙර ඇණවුමට සබැඳිය"
"Placed from IP","IP වලින් ස්ථානගත කර ඇත"
"%1 / %2 rate:","%1 %2:"
"Edit Customer","පාරිභෝගිකයා සංස්කරණය කරන්න"
"Customer Name","පාරිභෝගිකයාගේ නම"
"Customer Group","පාරිභෝගික කණ්ඩායම"
"Notes for this Order","මෙම ඇණවුම සඳහා සටහන්"
"Comment added","අදහස් එකතු කරන ලදී"
"Transaction Data","ගනුදෙනු දත්ත"
"Transaction ID","ගනුදෙනු හැඳුනුම්පත"
"Parent Transaction ID","මාපිය ගනුදෙනු හැඳුනුම්පත"
"Order ID","ඕඩර අංකය"
"Transaction Type","ගනුදෙනු වර්ගය"
"Is Closed","වසා ඇත"
"Created At","දී නිර්මාණය කරන ලදී"
"Child Transactions","ළමා ගනුදෙනු"
"Transaction Details","ගනුදෙනු විස්තර"
"Items","අයිතම"
"Gift Message for this Order","මෙම ඇණවුම සඳහා තෑගි පණිවිඩය"
"Shipped By","විසින් නැව්ගත කරන ලදී"
"Tracking Number","සෙවුම් අංකය"
"Billing Last Name","අවසාන නම බිල් කිරීම"
"Find Order By","ඇණවුම සොයා ගන්න"
"ZIP Code","කලාප කේතය"
"Billing ZIP Code","බිල්පත් ZIP කේතය"
"Continue","දිගටම කරගෙන යන්න"
"Print All Refunds","සියලුම ආපසු ගෙවීම් මුද්‍රණය කරන්න"
"Refund #","ආපසු ගෙවීම #"
"Print Refund","මුද්‍රණ මුදල් ආපසු ගෙවීම"
"Product Name","නිෂ්පාදන නාමය"
"Order #","නියෝග #"
"Date","දිනය"
"Ship To","වෙත නැව්ගත කරන්න"
"Actions","ක්රියාවන්"
"View Order","ඇණවුම බලන්න"
"You have placed no orders.","ඔබ කිසිදු ඇණවුමක් කර නැත."
"No shipping information available","නැව්ගත කිරීමේ තොරතුරු නොමැත"
"Print Order","මුද්‍රණ ඇණවුම"
"Print All Invoices","සියලුම ඉන්වොයිසි මුද්‍රණය කරන්න"
"Invoice #","ඉන්වොයිසිය #"
"Print Invoice","ඉන්වොයිසිය මුද්‍රණය කරන්න"
"Qty Invoiced","Qty ඉන්වොයිස්"
"Close","වසන්න"
"About Your Order","ඔබේ ඇණවුම ගැන"
"<span class=""label"">Order Date:</span> %1","<span class=""label"">ඇණවුම් දිනය:</span> %1"
"Refund #%1","ආපසු ගෙවීම #%1"
"Shipment #%1","නැව්ගත කිරීම #%1"
"Qty Shipped","Qty නැව්ගත කර ඇත"
"Recent Orders","මෑත ඇණවුම්"
"View All","සියල්ල බලන්න"
"Gift Message for This Order","මෙම ඇණවුම සඳහා තෑගි පණිවිඩය"
"Recently Ordered","මෑතකදී ඇණවුම් කරන ලදී"
"Add to Cart","ගැලට එක් කරන්න"
"Search","සොයන්න"
"Credit memo for your %store_name order","ඔබගේ %store_name ඇණවුම සඳහා ණය සටහන"
"%name,","%nam,"
"Thank you for your order from %store_name.","%store_name වෙතින් ඔබගේ ඇණවුමට ස්තූතියි."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","<a href=""%account_url"">ඔබගේ ගිණුමට ලොග් වීම</a>මගින් ඔබට ඔබගේ ඇණවුමේ තත්ත්වය පරීක්ෂා කළ හැක."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","ඔබට ඔබගේ ඇණවුම පිළිබඳව ප්‍රශ්න ඇත්නම්, ඔබට <a href=""mailto:%store_email"">%store_email</a>ට අපට විද්‍යුත් තැපැල් කළ හැක"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","or call us at <a href=""tel:%store_phone"">%store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Our hours are <span class=""no-link"">%store_hours</span>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","ඇණවුම #%order_id සඳහා ඔබේ ණය සටහන #%creditmemo_id"
"Billing Info","බිල්පත් තොරතුරු"
"Shipping Info","Shipping Info"
"Update to your %store_name credit memo","ඔබගේ %store_name ණය සටහනට යාවත්කාලීන කරන්න"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","ඔබගේ ඇණවුම #%increment_id <strong>%order_තත්ත්වය</strong>තත්ත්වයකින් යාවත්කාලීන කර ඇත."
"Invoice for your %store_name order","ඔබගේ %store_name ඇණවුම සඳහා ඉන්වොයිසිය"
"Your Invoice #%invoice_id for Order #%order_id","ඇණවුම #%order_id සඳහා ඔබේ ඉන්වොයිසිය #%invoice_id"
"Update to your %store_name invoice","ඔබගේ %store_name ඉන්වොයිසියට යාවත්කාලීන කරන්න"
"Your %store_name order confirmation","ඔබගේ %store_name ඇණවුම තහවුරු කිරීම"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","ඔබේ පැකේජය නැව්ගත කළ පසු අපි ඔබට ලුහුබැඳීමේ අංකයක් එවන්නෙමු."
"Your Order <span class=""no-link"">#%increment_id</span>","ඔබේ ඇණවුම <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","<span class=""no-link"">%created_at</span>මත තබා ඇත"
"Once your package ships we will send an email with a link to track your order.","ඔබගේ පැකේජය නැව්ගත කළ පසු අපි ඔබගේ ඇණවුම නිරීක්ෂණය කිරීමට සබැඳියක් සහිත විද්‍යුත් තැපෑලක් එවන්නෙමු."
"Update to your %store_name order","ඔබගේ %store_name අනුපිළිවෙලට යාවත්කාලීන කරන්න"
"Your %store_name order has shipped","ඔබගේ %store_name ඇණවුම නැව්ගත කර ඇත"
"Your shipping confirmation is below. Thank you again for your business.","ඔබගේ නැව්ගත කිරීමේ තහවුරු කිරීම පහත ඇත. ඔබේ ව්‍යාපාරයට නැවතත් ස්තූතියි."
"Your Shipment #%shipment_id for Order #%order_id","ඇණවුම #%order_id සඳහා ඔබේ නැව්ගත කිරීම #%shipment_id"
"Update to your %store_name shipment","ඔබගේ %store_name නැව්ගත කිරීම වෙත යාවත්කාලීන කරන්න"
"Gift Options for ","සඳහා තෑගි විකල්ප "
"Add Products","නිෂ්පාදන එකතු කරන්න"
"You have item changes","ඔබට අයිතම වෙනස්කම් තිබේ"
"Ok","හරි"
"Operations","මෙහෙයුම්"
"Create","නිර්මාණය කරන්න"
"Send Order Email","ඇණවුම් විද්‍යුත් තැපෑල යවන්න"
"Accept or Deny Payment","ගෙවීම පිළිගන්න හෝ ප්‍රතික්ෂේප කරන්න"
"Send Sales Emails","විකුණුම් ඊමේල් යවන්න"
"Sales Section","විකුණුම් අංශය"
"Sales Emails Section","විකුණුම් ඊමේල් අංශය"
"General","ජනරාල්"
"Hide Customer IP","පාරිභෝගික IP සඟවන්න"
"Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos.","ඇණවුම්, ඉන්වොයිසි, නැව්ගත කිරීම් සහ ණය මතක සටහන්වල පාරිභෝගික IP එකක් පෙන්වන්නේ දැයි තෝරන්න."
"Checkout Totals Sort Order","සම්පූර්ණ අනුපිළිවෙල පිරික්සන්න"
"Allow Reorder","නැවත ඇණවුම් කිරීමට ඉඩ දෙන්න"
"Invoice and Packing Slip Design","ඉන්වොයිසිය සහ ඇසුරුම් ස්ලිප් නිර්මාණය"
"Logo for PDF Print-outs (200x50)","PDF මුද්‍රණය සඳහා ලාංඡනය (200x50)"
"Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.","ඔබේ පෙරනිමි ලාංඡනය PDF සහ HTML ලේඛනවල භාවිත කෙරේ.<br />(jpeg, tiff, png) ඔබේ pdf රූපය විකෘති වී ඇත්නම්, විශාල ගොනු ප්‍රමාණයේ රූපය භාවිතා කිරීමට උත්සාහ කරන්න."
"Logo for HTML Print View","HTML මුද්‍රණ දසුන සඳහා ලාංඡනය"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","HTML ලේඛන සඳහා පමණක් ලාංඡනය. හිස් නම්, පෙරනිමිය භාවිතා කරනු ඇත.<br />(jpeg, gif, png)"
"Address","ලිපිනය"
"Minimum Order Amount","අවම ඇණවුම් මුදල"
"Enable","සබල කරන්න"
"Minimum Amount","අවම මුදල"
"Subtotal after discount","Subtotal after discount"
"Include Tax to Amount","ප්‍රමාණයට බදු ඇතුළත් කරන්න"
"Description Message","විස්තර පණිවිඩය"
"This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount.","උප එකතුව (වට්ටම් වලින් පසු) අවම අවසර ලත් මුදලට වඩා අඩු වූ විට මෙම පණිවිඩය සාප්පු කරත්තයේ පෙන්වනු ඇත."
"Error to Show in Shopping Cart","සාප්පු කරත්තයේ පෙන්වීමේ දෝෂයකි"
"Validate Each Address Separately in Multi-address Checkout","බහු-ලිපින පිරික්සීමේදී සෑම ලිපිනයක්ම වෙන වෙනම වලංගු කරන්න"
"Multi-address Description Message","බහු-ලිපින විස්තර පණිවිඩය"
"We'll use the default description above if you leave this empty.","ඔබ මෙය හිස්ව තැබුවහොත් අපි ඉහත පෙරනිමි විස්තරය භාවිතා කරන්නෙමු."
"Multi-address Error to Show in Shopping Cart","සාප්පු කරත්තයේ පෙන්වීමට බහු-ලිපින දෝෂය"
"We'll use the default error above if you leave this empty.","ඔබ මෙය හිස්ව තැබුවහොත් අපි ඉහත පෙරනිමි දෝෂය භාවිතා කරන්නෙමු."
"Dashboard","උපකරණ පුවරුව"
