"Credit Memos","Hyvityslaskut"
"Items Invoiced","Laskutetut tuotteet"
"Total Tax","Verot yhteensä"
"From Name","Lähettäjän nimi"
"To Name","Vastaanottajan nimi"
"Status","Tila"
"Comment","Kommentti"
"Notification Not Applicable","Notification Not Applicable"
"Order & Account Information","Tilaus- & tilitiedot"
"The order confirmation email was sent","Tilausvahvistuksen sähköposti lähetettiin"
"The order confirmation email is not sent","Tilausvahvistuksen sähköpostia ei ole lähetetty"
"Order Date","Tilauspäivämäärä"
"Order Date (%1)","Tilauspäivämäärä (%1)"
"Purchased From","Ostettu kohteesta"
"Link to the New Order","Link to the New Order"
"Link to the Previous Order","Link to the Previous Order"
"Placed from IP","Tilaus tehty IP-osoitteesta"
"%1 / %2 rate:","%1 / %2 rate:"
"Edit Customer","Edit Customer"
"Customer Name","Asiakkaan nimi"
"Customer Group","Asiakasryhmä"
"Notes for this Order","Merkinnät tälle tilaukselle"
"Comment added","Kommentti lisätty"
"Transaction Data","Transaction Data"
"Transaction ID","Maksun ID"
"Parent Transaction ID","Parent Transaction ID"
"Order ID","Tilausnumero"
"Transaction Type","Tapahtumatyyppi"
"Is Closed","Is Closed"
"Created At","Luotu"
"Child Transactions","Child Transactions"
"Transaction Details","Transaction Details"
"Items","Tuotteet"
"Gift Message for this Order","Gift Message for this Order"
"Shipped By","Lähettäjä"
"Tracking Number","Seurantanumero"
"Billing Last Name","Laskutettavan sukunimi"
"Find Order By","Etsi tilaus käyttäen"
"ZIP Code","Postinumero"
"Billing ZIP Code","Billing ZIP Code"
"Continue","Jatka"
"Print All Refunds","Tulosta kaikki hyvitykset"
"Refund #","Refund #"
"Print Refund","Print Refund"
"Product Name","Tuotenimi"
"Order #","Tilausnumero"
"Date","Päivämäärä"
"Ship To","Toimitusosoite"
"Actions","Toiminnot"
"View Order","Katso tilaus"
"You have placed no orders.","Et ole tehnyt tilauksia."
"No shipping information available","Lähetystietoja ei ole saatavilla"
"Print Order","Tulosta tilaus"
"Print All Invoices","Tulosta kaikki laskut"
"Invoice #","Lasku # "
"Print Invoice","Tulosta lasku"
"Qty Invoiced","Laskutettu määrä"
"Close","Sulje"
"About Your Order","About Your Order"
"<span class=""label"">Order Date:</span> %1","<span class=""label"">Tilauspäivämäärä:</span> %1"
"Refund #%1","Refund #%1"
"Shipment #%1","Lähetysnumero %1"
"Qty Shipped","Lähetetty määrä"
"Recent Orders","Viimeisimmät tilaukset"
"View All","Näytä kaikki"
"Gift Message for This Order","Gift Message for This Order"
"Recently Ordered","Viimeisimmät tilaukset"
"Add to Cart","Lisää ostoskoriin"
"Search","Haku"
"Credit memo for your %store_name order","Hyvityslaskun tilaukselle %store_name"
"%name,","%name,"
"Thank you for your order from %store_name.","Kiitos tilauksestasi %store_name -kaupassa."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Voit tarkistaa tilauksesi tilan <a href=""%account_url"">kirjautumalla tilillesi</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Jos sinulla on kysyttävää tilauksestasi, voit lähettää meille sähköpostia osoitteeseen <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","or call us at <a href=""tel:%store_phone"">%store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Our hours are <span class=""no-link"">%store_hours</span>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Hyvityslaskun tiedot #%creditmemo_id tilaukselle #%order_id"
"Billing Info","Laskutustiedot"
"Shipping Info","Shipping Info"
"Update to your %store_name credit memo","Päivitys %store_name -hyvityslaskulle"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Tilauksesi #%increment_id tila on päivitetty: <strong>%order_status</strong>."
"Invoice for your %store_name order","Lasku tilauksellesi %store_name -kaupassa"
"Your Invoice #%invoice_id for Order #%order_id","Lasku #%invoice_id tilaukselle #%order_id"
"Update to your %store_name invoice","Päivitys %store_name -laskulle"
"Your %store_name order confirmation","%store_name -tilausvahvistus"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","Kun pakettisi toimitetaan, lähetämme sinulle seurantanumeron."
"Your Order <span class=""no-link"">#%increment_id</span>","Tilauksesi <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Tilattu <span class=""no-link"">%created_at</span>"
"Once your package ships we will send an email with a link to track your order.","Lähetämme sinulle vielä sähköpostin seurantalinkkeineen kun tilaus on toimitettu."
"Update to your %store_name order","Päivitys %store_name -tilaukselle"
"Your %store_name order has shipped","%store_name -tilaus on lähetetty"
"Your shipping confirmation is below. Thank you again for your business.","Tilauksen lähetysvahvistus alapuolella. Kiitos vielä tilauksestasi!"
"Your Shipment #%shipment_id for Order #%order_id","Toimitus #%shipment_id tilaukselle #%order_id"
"Update to your %store_name shipment","Päivitys %store_name -toimitukselle"
"Gift Options for ","Gift Options for "
"Add Products","Lisää tuotteita"
"You have item changes","You have item changes"
"Ok","Ok"
"Operations","Toiminnot"
"Create","Luo"
"Send Order Email","Send Order Email"
"Accept or Deny Payment","Accept or Deny Payment"
"Send Sales Emails","Send Sales Emails"
"Sales Section","Sales Section"
"Sales Emails Section","Sales Emails Section"
"General","Yleiset"
"Hide Customer IP","Piilota asiakkaan IP"
"Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos.","Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos."
"Checkout Totals Sort Order","Checkout Totals Sort Order"
"Allow Reorder","Salli uudelleentilaaminen"
"Invoice and Packing Slip Design","Laskun ja pakkausluettelon ulkoasu"
"Logo for PDF Print-outs (200x50)","Logo PDF-tulosteille (200 x 50)"
"Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.","Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image."
"Logo for HTML Print View","Logo HTML-tulostusnäkymälle"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)"
"Address","Katuosoite"
"Minimum Order Amount","Vähimmäistilausmäärä"
"Enable","Käytä"
"Minimum Amount","Vähimmäismäärä"
"Subtotal after discount","Subtotal after discount"
"Include Tax to Amount","Include Tax to Amount"
"Description Message","Kuvausviesti"
"This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount.","This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount."
"Error to Show in Shopping Cart","Error to Show in Shopping Cart"
"Validate Each Address Separately in Multi-address Checkout","Validate Each Address Separately in Multi-address Checkout"
"Multi-address Description Message","Multi-address Description Message"
"We'll use the default description above if you leave this empty.","We'll use the default description above if you leave this empty."
"Multi-address Error to Show in Shopping Cart","Multi-address Error to Show in Shopping Cart"
"We'll use the default error above if you leave this empty.","We'll use the default error above if you leave this empty."
"Dashboard","Hallintasivu"
"Use Aggregated Data","Use Aggregated Data"
"Orders Cron Settings","Orders Cron Settings"
"Pending Payment Order Lifetime (minutes)","Pending Payment Order Lifetime (minutes)"
"Sales Emails","Myynnin sähköpostit"
"Asynchronous sending","Asynchronous sending"
"Enabled","Käytössä"
"New Order Confirmation Email Sender","New Order Confirmation Email Sender"
"New Order Confirmation Template","New Order Confirmation Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Valittu sähköpostimalli perustuu teeman fallbackiin kun ""Default"" -vaihtoehto on valittuna."
"New Order Confirmation Template for Guest","New Order Confirmation Template for Guest"
"Send Order Email Copy To","Send Order Email Copy To"
"Comma-separated","Comma-separated"
"Send Order Email Copy Method","Send Order Email Copy Method"
"Order Comment Email Sender","Order Comment Email Sender"
"Order Comment Email Template","Order Comment Email Template"
"Order Comment Email Template for Guest","Order Comment Email Template for Guest"
"Send Order Comment Email Copy To","Send Order Comment Email Copy To"
"Send Order Comments Email Copy Method","Send Order Comments Email Copy Method"
"Invoice Email Sender","Invoice Email Sender"
"Invoice Email Template","Invoice Email Template"
"Invoice Email Template for Guest","Invoice Email Template for Guest"
"Send Invoice Email Copy To","Send Invoice Email Copy To"
"Send Invoice Email Copy Method","Send Invoice Email Copy Method"
"Invoice Comment Email Sender","Invoice Comment Email Sender"
"Invoice Comment Email Template","Invoice Comment Email Template"
"Invoice Comment Email Template for Guest","Invoice Comment Email Template for Guest"
"Send Invoice Comment Email Copy To","Send Invoice Comment Email Copy To"
"Send Invoice Comments Email Copy Method","Send Invoice Comments Email Copy Method"
"Shipment","Lähetys"
"Shipment Email Sender","Shipment Email Sender"
"Shipment Email Template","Shipment Email Template"
"Shipment Email Template for Guest","Shipment Email Template for Guest"
"Send Shipment Email Copy To","Send Shipment Email Copy To"
"Send Shipment Email Copy Method","Send Shipment Email Copy Method"
"Shipment Comments","Lähetyksen kommentit"
"Shipment Comment Email Sender","Shipment Comment Email Sender"
"Shipment Comment Email Template","Shipment Comment Email Template"
"Shipment Comment Email Template for Guest","Shipment Comment Email Template for Guest"
"Send Shipment Comment Email Copy To","Send Shipment Comment Email Copy To"
"Send Shipment Comments Email Copy Method","Send Shipment Comments Email Copy Method"
"Credit Memo Email Sender","Credit Memo Email Sender"
"Credit Memo Email Template","Credit Memo Email Template"
"Credit Memo Email Template for Guest","Credit Memo Email Template for Guest"
"Send Credit Memo Email Copy To","Send Credit Memo Email Copy To"
"Send Credit Memo Email Copy Method","Send Credit Memo Email Copy Method"
"Credit Memo Comment Email Sender","Credit Memo Comment Email Sender"
"Credit Memo Comment Email Template","Credit Memo Comment Email Template"
"Credit Memo Comment Email Template for Guest","Credit Memo Comment Email Template for Guest"
"Send Credit Memo Comment Email Copy To","Send Credit Memo Comment Email Copy To"
"Send Credit Memo Comments Email Copy Method","Send Credit Memo Comments Email Copy Method"
"PDF Print-outs","PDF-tulosteet"
"Display Order ID in Header","Display Order ID in Header"
"Customer Order Status Notification","Customer Order Status Notification"
"Asynchronous indexing","Asynchronous indexing"
"Orders and Returns Search Form","Tilaukset ja palautukset -hakulomake"
"Anchor Custom Title","Anchor Custom Title"
"Template","Malli"
"Default Template","Default Template"
"Name","Nimi"
"Phone","Puhelin"
"ZIP/Post Code","Postinumero"
"Signed-up Point","Signed-up Point"
"Website","Sivusto"
"Bill-to Name","Laskutusasiakkaan nimi"
"Created","Luotu"
"Invoice Date","Laskun päiväys"
"Ship-to Name","Vastaanottajan nimi"
"Ship Date","Toimituspäivämäärä"
"Total Quantity","Kokonaismäärä"
"Default Status","Oletustila"
"State Code and Title","State Code and Title"
"Item Status","Nimikkeen tila"
"Original Price","Alkuperäinen hinta"
"Tax Percent","Veroprosentti"
"All Store Views","Kaikki kauppanäkymät"
"PDF Credit Memos","PDF hyvityslaskut"
"Purchase Point","Ostopiste"
"Print Invoices","Tulosta laskut"
"Print Packing Slips","Tulosta pakkauslistat"
"Print Credit Memos","Tulosta hyvityslaskut"
"Print All","Tulosta kaikki"
"Print Shipping Labels","Tulosta osoitetarrat"
"Purchase Date","Ostopäivämäärä"
"Grand Total (Base)","Loppusumma (oletusvaluutassa)"
"Grand Total (Purchased)","Loppusumma (käytetty valuutta)"
"Customer Email","Asiakkaan sähköposti"
"Shipping and Handling","Lähetys- ja käsittelykulut"
"PDF Invoices","PDF-laskut"
"PDF Shipments","PDF-lähetysasiakirjat"
"PDF Creditmemos","PDF-hyvityslaskut"
"Refunds","Hyvitykset"
"Create New Order for New Customer in %1","Create New Order for New Customer in %1"
"The invoice and the shipment  have been created. The shipping label cannot be created now.","The invoice and the shipment  have been created. The shipping label cannot be created now."
"We will authorize %1 after the payment is approved at the payment gateway.","We will authorize %1 after the payment is approved at the payment gateway."
"Order is suspended as its authorizing amount %1 is suspected to be fraudulent.","Order is suspended as its authorizing amount %1 is suspected to be fraudulent."
"An amount of %1 will be captured after being approved at the payment gateway.","An amount of %1 will be captured after being approved at the payment gateway."
"Captured amount of %1 online","Captured amount of %1 online"
"The order amount of %1 is pending approval on the payment gateway.","The order amount of %1 is pending approval on the payment gateway."
"Ordered amount of %1","Ordered amount of %1"
"Registered notification about captured amount of %1.","Registered notification about captured amount of %1."
"Order is suspended as its capture amount %1 is suspected to be fraudulent.","Order is suspended as its capture amount %1 is suspected to be fraudulent."
"We found an invalid quantity to ship for item ""%1"".","We found an invalid quantity to ship for item ""%1""."
"order-header","order-header"
"Something went wrong","Something went wrong"
"Page not found.","Page not found."
"Improves dashboard performance but provides non-realtime data.","Improves dashboard performance but provides non-realtime data."
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"Sample message.","Sample message."
"Limit per cron run","Limit per cron run"
"Grid Settings","Grid Settings"
"Use Aggregated Data (beta)","Use Aggregated Data (beta)"
"Could not save the comment.","Could not save the comment."
"Authorized amount of %1.","Authorized amount of %1."
"Authorized amount of %1. Order is suspended as its authorizing amount %1 is suspected to be fraudulent.","Authorized amount of %1. Order is suspended as its authorizing amount %1 is suspected to be fraudulent."
"Captured amount of %1 online.","Captured amount of %1 online."
"Requested product doesn't exist","Requested product doesn't exist"
"Product is not salable.","Product is not salable."
"Get available payment methods","Get available payment methods"
"Allow Zero GrandTotal","Allow Zero GrandTotal"
"Allow Zero GrandTotal for Creditmemo","Allow Zero GrandTotal for Creditmemo"
"Include Discount Amount","Include Discount Amount"
"The comment is missing. Enter and try again.","The comment is missing. Enter and try again."
"The ""%1"" coupon code isn't valid. Verify the code and try again.","Alennuskoodi ""%1"" ei ole kelvollinen. Vahvista koodi ja yritä uudelleen."
"The quote item ID needs to be received. Set the ID and try again.","The quote item ID needs to be received. Set the ID and try again."
"The quote item needs to be loaded. Load the item and try again.","The quote item needs to be loaded. Load the item and try again."
"The invoice can't be created without products. Add products and try again.","The invoice can't be created without products. Add products and try again."
"The invoice can't be saved at this time. Please try again later.","The invoice can't be saved at this time. Please try again later."
"The shipping method is missing. Select the shipping method and try again.","Toimitustapa vielä puuttuu. Valitse toimitustapa ja yritä uudelleen."
"The payment method isn't selected. Enter the payment method and try again.","The payment method isn't selected. Enter the payment method and try again."
"An ID is needed. Set the ID and try again.","An ID is needed. Set the ID and try again."
"The entity that was requested doesn't exist. Verify the entity and try again.","The entity that was requested doesn't exist. Verify the entity and try again."
"The order address couldn't be deleted.","The order address couldn't be deleted."
"The order address couldn't be saved.","The order address couldn't be saved."
"The credit memo couldn't be deleted.","The credit memo couldn't be deleted."
"The credit memo couldn't be saved.","The credit memo couldn't be saved."
"The shipment couldn't be deleted.","The shipment couldn't be deleted."
"The shipment couldn't be saved.","The shipment couldn't be saved."
"The last status can't be changed and needs to stay assigned to its current state.","The last status can't be changed and needs to stay assigned to its current state."
"The status can't be unassigned because the status is currently used by an order.","The status can't be unassigned because the status is currently used by an order."
"The status needs to remain assigned to its state.","The status needs to remain assigned to its state."
"The ""%1"" validator is not an instance of the general validator interface.","The ""%1"" validator is not an instance of the general validator interface."
"The creditmemo contains incorrect product items.","The creditmemo contains incorrect product items."
"You can not refund shipping if there is no shipping amount.","You can not refund shipping if there is no shipping amount."
