"Credit Memos","Dobropisy"
"Subtotal (Incl. Tax)","Mezisoučet (s DPH)"
"Payment &amp; Shipping Method","Způsob platby a přepravy"
"Payment Information","Platební údaje"
"The order was placed using %1.","Objednáno v měně %1."
"Shipping Information","Informace o dopravě"
"Items to Refund","Produkty ke vrácení"
"Return to Stock","Vrátit na sklad"
"Qty to Refund","Vráceno"
"Tax Amount","částka DPH"
"Discount Amount","Výše slevy"
"Row Total","Celkem za položku"
"No Items To Refund","Žádné položky ke vrácení"
"Credit Memo Comments","Komentáře dobropisu"
"Refund Totals","Celkem vráceno"
"Email Copy of Credit Memo","Poslat kopii dobropisu emailem"
"Please enter a positive number in this field.","Do tohoto údaje zadejte prosím kladné číslo."
"Items Refunded","Vrácené položky"
"No Items","Žádné položky"
"Memo Total","Dobropisováno celkem"
"Credit Memo History","Historie dobropisu"
"Credit Memo Totals","Dobropis celkem"
"Customer Name: %1","Jméno zákazníka: %1"
"Purchased From: %1","Objednáno v: %1"
"Gift Message","Darovací vzkaz"
"From:","Od:"
"To:","Komu:"
"Message:","Vzkaz:"
"Shipping &amp; Handling","Přepravné a balné"
"Gift Options","Nastavení dárků"
"Create Shipment","Vytvořit zásilku"
"Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice.","Typy faktury a zásilky neodpovídá některým objednaným položkám. Zásilku můžete vystavit až po vystavení faktury."
"%1","%1"
"Qty to Invoice","KS k úhradě"
"Invoice History","Historie faktury"
"Invoice Comments","Komentáře faktury"
"Invoice Totals","Celkem fakturováno"
"Amount","Množství"
"Capture Online","Získat online"
"Capture Offline","Získat offline"
"Not Capture","Nezískané"
"The invoice will be created offline without the payment gateway.","Faktura bude vytvořena offline procesem bez platební brány."
"Email Copy of Invoice","Poslat kopii faktury e-mailem"
"Items Invoiced","Fakturované položky"
"Total Tax","Celkem DPH"
"From Name","Od"
"To Name","Pro"
"Status","Stav"
"Comment","Komentář"
"Notification Not Applicable","Oznámení není k dispozici"
"Order & Account Information","Objednávky a nastavení účtu"
"The order confirmation email was sent","Potvrzení objednávky e-mailem bylo odesláno"
"The order confirmation email is not sent","Potvrzení objednávky e-mailem nebylo odesláno"
"Order Date","Datum objednávky"
"Order Date (%1)","Datum objednávky (%1)"
"Purchased From","Kde objednáno"
"Link to the New Order","Odkaz na novou objednávku"
"Link to the Previous Order","Odkaz na předchozí objednávku"
"Placed from IP","Objednáno z IP"
"%1 / %2 rate:","%1 / %2 kurz:"
"Edit Customer","Edit Customer"
"Customer Name","Jméno zákazníka"
"Customer Group","Zákaznická skupina"
"Notes for this Order","Komentáře k objednávce"
"Comment added","Komentář byl přidán"
"Transaction Data","Transakční údaje"
"Transaction ID","ID transakce"
"Parent Transaction ID","ID nadřazené transakce"
"Order ID","ID objednávky"
"Transaction Type","Typ Transakce"
"Is Closed","Je uzavřená"
"Created At","Vytvořeno v"
"Child Transactions","Podřízené transakce"
"Transaction Details","Údaje transakce"
"Items","Položky"
"Gift Message for this Order","Darovací vzkaz v této objednávce"
"Shipped By","Přepravce"
"Tracking Number","Sledovací číslo"
"Billing Last Name","Příjmení z fakturační adresy"
"Find Order By","Najít podle"
"ZIP Code","PSČ"
"Billing ZIP Code","PSČ z fakturační adresy"
"Continue","Pokračovat"
"Print All Refunds","Tisk všech vratek"
"Refund #","Vratka č."
"Print Refund","Tisk vratky"
"Product Name","Název produktu"
"Order #","Objednávka č."
"Date","Datum"
"Ship To","Zaslat"
"Actions","Akce"
"View Order","Zobrazit objednávku"
"You have placed no orders.","Nemáte žádné objednávky."
"No shipping information available","K dispozici nejsou žádné informace o dopravě"
"Print Order","Tisk objednávky"
"Print All Invoices","Tisk všech faktur"
"Invoice #","Faktura č."
"Print Invoice","Tisk faktury"
"Qty Invoiced","Fakturováno KS"
"Close","Zavřít‏"
"About Your Order","Vaše objednávka"
"<span class=""label"">Order Date:</span> %1","<span class=""label"">Datum objednávky:</span> %1"
"Refund #%1","Vratka č.%1"
"Shipment #%1","Zásilka č.%1"
"Qty Shipped","Odesláno KS"
"Recent Orders","Poslední objednávky"
"View All","Zobrazit vše"
"Gift Message for This Order","Darovací vzkaz k této objednávce"
"Recently Ordered","Poslední objednané"
"Add to Cart","Přidat do košíku"
"Search","Hledat"
"Credit memo for your %store_name order","Credit memo for your %store_name order"
"%name,","%name,"
"Thank you for your order from %store_name.","Děkujeme Vám za objednávku z %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Stav objednávky můžete zkontrolovat <a href=""%account_url"">po přihlášení do svého účtu</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Pokud máte k vaší objednávce jakýkoli dotaz, můžete nám napsat na <a href=""mailto:%store_email""> %store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","or call us at <a href=""tel:%store_phone"">%store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Our hours are <span class=""no-link"">%store_hours</span>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Dobropis č. %creditmemo_id k objednávce č. %order_id"
"Billing Info","Fakturační údaje"
"Shipping Info","Shipping Info"
"Update to your %store_name credit memo","Update to your %store_name credit memo"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Stav vaší objednávky č. %increment_id byl změněn na <strong>%order_status</strong>."
"Invoice for your %store_name order","Invoice for your %store_name order"
"Your Invoice #%invoice_id for Order #%order_id","Faktura č. %invoice_id k objednávce č. %order_id"
"Update to your %store_name invoice","Update to your %store_name invoice"
"Your %store_name order confirmation","Potvrzení Vaší objednávky %store_name"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","Jakmile bude vaše zásilka odeslána, zašleme Vám sledovací číslo balíku."
"Your Order <span class=""no-link"">#%increment_id</span>","Vaše objednávka <span class=""no-link"">č. %increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Pořízená v <span class=""no-link"">%created_at</span>"
"Once your package ships we will send an email with a link to track your order.","Jakmile zásilku odešleme, přijde Vám e-mail s odkazem na sledování trasy."
"Update to your %store_name order","Update to your %store_name order"
"Your %store_name order has shipped","Your %store_name order has shipped"
"Your shipping confirmation is below. Thank you again for your business.","Potvrzení odeslání zásilky je níže. Ještě jednou vám za nákup děkujeme."
"Your Shipment #%shipment_id for Order #%order_id","Zásilka č. #%shipment_id k objednávce č. %order_id"
"Update to your %store_name shipment","Update to your %store_name shipment"
"Gift Options for ","Darovací zpráva pro "
"Add Products","Přidat produkty"
"You have item changes","Máte změněné položky"
"Ok","OK"
"Operations","Operace"
"Create","Vytvořit"
"Send Order Email","Zaslat e-mail objednávky"
"Accept or Deny Payment","Přijmout nebo odmítnout platbu"
"Send Sales Emails","Odeslat prodejní e-maily"
"Sales Section","Sekce prodej"
"Sales Emails Section","Sekce Obchodní e-maily"
"General","Obecné"
"Hide Customer IP","Skrýt IP zákazníka"
"Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos.","Určuje, jestli je v objednávkách, fakturách, zásilkách a dobropisech zobrazena IP adresa zákazníka."
"Checkout Totals Sort Order","Řazení celkového součtu"
"Allow Reorder","Povolit znovuobjednání"
"Invoice and Packing Slip Design","Vzhled faktury a zásilky"
"Logo for PDF Print-outs (200x50)","Logo na tiskových PDF výstupech (200×50)"
"Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.","Logo bude použito v PDF a HTML dokumentech.<br />(jpeg, tiff, png). Je-li v PDF logo deformované, zkuste použít větší velikost obrázku."
"Logo for HTML Print View","Logo na tiskových HTML výstupech"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","Logo pouze pro HTML dokumenty. Je-li údaj prázdný bude použito výchozí.<br />(jpeg, gif, png)"
"Address","Adresa"
"Minimum Order Amount","Minimální výše objednávky"
"Enable","Povolit"
"Minimum Amount","Minimální částka"
"Subtotal after discount","Subtotal after discount"
"Include Tax to Amount","K částce zahrnout DPH"
"Description Message","Text zprávy"
"This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount.","Tato zpráva bude zobrazena v nákupním košíku, když je mezisoučet (po slevě) nižší než minimální povolená částka."
"Error to Show in Shopping Cart","Chyba zobrazená na stránce košíku"
"Validate Each Address Separately in Multi-address Checkout","Při doručení na více adres ověřovat každou adresu samostatně"
"Multi-address Description Message","Text zprávy při doručení na více adres"
"We'll use the default description above if you leave this empty.","Necháte-li údaj prázdný, bude použit výše uvedený výchozí text."
"Multi-address Error to Show in Shopping Cart","Chyba při doručení na více adres zobrazená na stránce košíku"
"We'll use the default error above if you leave this empty.","Necháte-li údaj prázdný, bude použita výše uvedená výchozí chybová zpráva."
"Dashboard","Přehled"
"Use Aggregated Data","Použít agregovaná data"
"Orders Cron Settings","Nastavení cronu objednávek"
"Pending Payment Order Lifetime (minutes)","Čekací doba na úhradu objednávky (minuty)"
"Sales Emails","Obchodní e-maily"
"Asynchronous sending","Asynchronní odesílání"
"Enabled","Zapnuto"
"New Order Confirmation Email Sender","Odesílatel potvrzení nové objednávky"
"New Order Confirmation Template","Šablona potvrzení nové objednávky"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Je-li zvolena volba ""Výchozí"", e-mailová předloha je postavena na záložním tématu."
"New Order Confirmation Template for Guest","Šablona potvrzení nové objednávky hosta"
"Send Order Email Copy To","Poslat kopii objednávky na e-mail"
"Comma-separated","Comma-separated"
"Send Order Email Copy Method","Způsob odeslání kopie objednávky"
"Order Comment Email Sender","Odesilatel komentáře k objednávce"
"Order Comment Email Template","Předloha e-mailu komentáře objednávky"
"Order Comment Email Template for Guest","Šablona e-mailu komentáře objednávky hosta"
"Send Order Comment Email Copy To","Poslat kopii komentáře objednávky na e-mail"
"Send Order Comments Email Copy Method","Způsob odeslání kopie komentářů objednávky"
"Invoice Email Sender","Odesílatel e-mailu s fakturou"
"Invoice Email Template","Šablona e-mailu s fakturou"
"Invoice Email Template for Guest","Šablona e-mailu s fakturou hosta"
"Send Invoice Email Copy To","Poslat kopii faktury na e-mail"
"Send Invoice Email Copy Method","Způsob odeslání kopie faktury"
"Invoice Comment Email Sender","Odesilatel komentáře faktury"
"Invoice Comment Email Template","Šablona e-mailu komentáře faktury"
"Invoice Comment Email Template for Guest","Šablona e-mailu komentáře faktury hosta"
"Send Invoice Comment Email Copy To","Poslat kopii komentáře k faktuře na e-mail"
"Send Invoice Comments Email Copy Method","Způsob odeslání kopie komentářů faktury"
"Shipment","Zásilka"
"Shipment Email Sender","Odesílatel e-mailu zásilky"
"Shipment Email Template","Předloha e-mailu zásilky"
"Shipment Email Template for Guest","Šablona e-mailu zásilky hosta"
"Send Shipment Email Copy To","Poslat kopii zásilky na e-mail"
"Send Shipment Email Copy Method","Způsob odeslání kopie zásilky"
"Shipment Comments","Komentáře k přepravě"
"Shipment Comment Email Sender","Odesílatel komentáře zásilky"
"Shipment Comment Email Template","Šablona e-mailu komentáře zásilky"
"Shipment Comment Email Template for Guest","Šablona emailu komentáře zásilky hosta"
"Send Shipment Comment Email Copy To","Poslat kopii komentáře zásilky na e-mail"
"Send Shipment Comments Email Copy Method","Způsob odeslání kopie komentářů zásilky"
"Credit Memo Email Sender","Odesílatel dobropisu"
"Credit Memo Email Template","Šablona e-mailu dobropisu"
"Credit Memo Email Template for Guest","Šablona e-mailu dobropisu hosta"
"Send Credit Memo Email Copy To","Odeslat kopii dobropisu na e-mail"
"Send Credit Memo Email Copy Method","Způsob odeslání kopie dobropisu"
"Credit Memo Comment Email Sender","Odesilatel komentáře dobropisu"
"Credit Memo Comment Email Template","Šablona e-mailu komentáře dobropisu"
"Credit Memo Comment Email Template for Guest","Šablona e-mailu komentáře dobropisu hosta"
"Send Credit Memo Comment Email Copy To","Poslat kopii komentáře dobropisu na e-mail"
"Send Credit Memo Comments Email Copy Method","Způsob odeslání kopie komentářů dobropisu"
"PDF Print-outs","Tiskové PDF doklady"
"Display Order ID in Header","Zobrazit ID objednávky v záhlaví"
"Customer Order Status Notification","Oznámení o stavu objednávky zákazníka"
"Asynchronous indexing","Asynchronní indexování"
"Orders and Returns Search Form","Formulář ke zjištění stavu objednávky"
"Anchor Custom Title","Vlastní název kotvy"
"Template","Šablona"
"Default Template","Výchozí šablona"
"Name","Jméno"
"Phone","Telefon"
"ZIP/Post Code","PSČ"
"Signed-up Point","Místo přihlášení"
"Website","Webová stránka"
"Bill-to Name","Faktura na jméno"
"Created","Vytvořeno"
"Invoice Date","Datum fakturace"
"Ship-to Name","Doručit na jméno"
"Ship Date","Datum zásilky"
"Total Quantity","Celkové množství"
"Default Status","Výchozí stav"
"State Code and Title","Kód a název stavu"
"Item Status","Stav položky"
"Original Price","Původní cena"
"Tax Percent","DPH (%)"
"All Store Views","Všechna zobrazení obchodu"
"PDF Credit Memos","PDF dobropisy"
"Purchase Point","Místo nákupu"
"Print Invoices","Tisk faktur"
"Print Packing Slips","Tisk zásilek"
"Print Credit Memos","Tisknout dobropisy"
"Print All","Vytisknout vše"
"Print Shipping Labels","Tisk štítků pro dopravu"
"Purchase Date","Datum nákupu"
"Grand Total (Base)","Celkový součet (základ)"
"Grand Total (Purchased)","Celkový součet (koupeno)"
"Customer Email","E-mail zákazníka"
"Shipping and Handling","Dopravné a balné"
"PDF Invoices","PDF faktury"
"PDF Shipments","PDF zásilky"
"PDF Creditmemos","PDF dobropisy"
"Refunds","Vratky"
"Create New Order for New Customer in %1","Create New Order for New Customer in %1"
"The invoice and the shipment  have been created. The shipping label cannot be created now.","The invoice and the shipment  have been created. The shipping label cannot be created now."
"We will authorize %1 after the payment is approved at the payment gateway.","We will authorize %1 after the payment is approved at the payment gateway."
"Order is suspended as its authorizing amount %1 is suspected to be fraudulent.","Order is suspended as its authorizing amount %1 is suspected to be fraudulent."
"An amount of %1 will be captured after being approved at the payment gateway.","An amount of %1 will be captured after being approved at the payment gateway."
"Captured amount of %1 online","Captured amount of %1 online"
"The order amount of %1 is pending approval on the payment gateway.","The order amount of %1 is pending approval on the payment gateway."
"Ordered amount of %1","Ordered amount of %1"
"Registered notification about captured amount of %1.","Registered notification about captured amount of %1."
"Order is suspended as its capture amount %1 is suspected to be fraudulent.","Order is suspended as its capture amount %1 is suspected to be fraudulent."
"We found an invalid quantity to ship for item ""%1"".","We found an invalid quantity to ship for item ""%1""."
"order-header","order-header"
"Something went wrong","Something went wrong"
"Page not found.","Page not found."
"Improves dashboard performance but provides non-realtime data.","Improves dashboard performance but provides non-realtime data."
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"Sample message.","Sample message."
"Limit per cron run","Limit per cron run"
"Grid Settings","Grid Settings"
"Use Aggregated Data (beta)","Use Aggregated Data (beta)"
"Could not save the comment.","Could not save the comment."
"Authorized amount of %1.","Authorized amount of %1."
"Authorized amount of %1. Order is suspended as its authorizing amount %1 is suspected to be fraudulent.","Authorized amount of %1. Order is suspended as its authorizing amount %1 is suspected to be fraudulent."
"Captured amount of %1 online.","Captured amount of %1 online."
"Requested product doesn't exist","Requested product doesn't exist"
"Product is not salable.","Product is not salable."
"Get available payment methods","Get available payment methods"
"Allow Zero GrandTotal","Allow Zero GrandTotal"
"Allow Zero GrandTotal for Creditmemo","Allow Zero GrandTotal for Creditmemo"
"Include Discount Amount","Include Discount Amount"
"The comment is missing. Enter and try again.","The comment is missing. Enter and try again."
"The ""%1"" coupon code isn't valid. Verify the code and try again.","The ""%1"" coupon code isn't valid. Verify the code and try again."
"The quote item ID needs to be received. Set the ID and try again.","The quote item ID needs to be received. Set the ID and try again."
"The quote item needs to be loaded. Load the item and try again.","The quote item needs to be loaded. Load the item and try again."
"The invoice can't be created without products. Add products and try again.","The invoice can't be created without products. Add products and try again."
"The invoice can't be saved at this time. Please try again later.","The invoice can't be saved at this time. Please try again later."
"The shipping method is missing. Select the shipping method and try again.","The shipping method is missing. Select the shipping method and try again."
"The payment method isn't selected. Enter the payment method and try again.","The payment method isn't selected. Enter the payment method and try again."
"An ID is needed. Set the ID and try again.","An ID is needed. Set the ID and try again."
"The entity that was requested doesn't exist. Verify the entity and try again.","The entity that was requested doesn't exist. Verify the entity and try again."
"The order address couldn't be deleted.","The order address couldn't be deleted."
"The order address couldn't be saved.","The order address couldn't be saved."
"The credit memo couldn't be deleted.","The credit memo couldn't be deleted."
"The credit memo couldn't be saved.","The credit memo couldn't be saved."
"The shipment couldn't be deleted.","The shipment couldn't be deleted."
"The shipment couldn't be saved.","The shipment couldn't be saved."
"The last status can't be changed and needs to stay assigned to its current state.","The last status can't be changed and needs to stay assigned to its current state."
"The status can't be unassigned because the status is currently used by an order.","The status can't be unassigned because the status is currently used by an order."
"The status needs to remain assigned to its state.","The status needs to remain assigned to its state."
"The ""%1"" validator is not an instance of the general validator interface.","The ""%1"" validator is not an instance of the general validator interface."
"The creditmemo contains incorrect product items.","The creditmemo contains incorrect product items."
"You can not refund shipping if there is no shipping amount.","You can not refund shipping if there is no shipping amount."
