"Credit Memos","חשבוניות זיכוי"
"Row Total","סה״כ השורה"
"No Items To Refund","No Items To Refund"
"Credit Memo Comments","Credit Memo Comments"
"Refund Totals","Refund Totals"
"Email Copy of Credit Memo","Email Copy of Credit Memo"
"Please enter a positive number in this field.","Please enter a positive number in this field."
"Items Refunded","Items Refunded"
"No Items","אין פריטים"
"Memo Total","Memo Total"
"Credit Memo History","Credit Memo History"
"Credit Memo Totals","Credit Memo Totals"
"Customer Name: %1","שם הלקוח: %1"
"Purchased From: %1","רכש מ: %1"
"Gift Message","הודעת מתנה"
"From:","מ:"
"To:","ל:"
"Message:","הודעה:"
"Shipping &amp; Handling","טיפול ומשלוח"
"Gift Options","אפשרויות מתנה"
"Create Shipment","Create Shipment"
"Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice.","Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice."
"%1","%1"
"Qty to Invoice","Qty to Invoice"
"Invoice History","Invoice History"
"Invoice Comments","Invoice Comments"
"Invoice Totals","Invoice Totals"
"Amount","סכום"
"Capture Online","Capture Online"
"Capture Offline","Capture Offline"
"Not Capture","Not Capture"
"The invoice will be created offline without the payment gateway.","The invoice will be created offline without the payment gateway."
"Email Copy of Invoice","Email Copy of Invoice"
"Items Invoiced","Items Invoiced"
"Total Tax","סה""כ מע""מ"
"From Name","From Name"
"To Name","To Name"
"Status","סטטוס"
"Comment","הערה"
"Notification Not Applicable","Notification Not Applicable"
"Order & Account Information","Order & Account Information"
"The order confirmation email was sent","The order confirmation email was sent"
"The order confirmation email is not sent","The order confirmation email is not sent"
"Order Date","תאריך הזמנה"
"Order Date (%1)","Order Date (%1)"
"Purchased From","נרכש מ"
"Link to the New Order","Link to the New Order"
"Link to the Previous Order","Link to the Previous Order"
"Placed from IP","Placed from IP"
"%1 / %2 rate:","%1 / %2 rate:"
"Edit Customer","עריכת לקוח"
"Customer Name","Customer Name"
"Customer Group","קבוצת לקוחות"
"Notes for this Order","Notes for this Order"
"Comment added","Comment added"
"Transaction Data","Transaction Data"
"Transaction ID","מספר העברה"
"Parent Transaction ID","Parent Transaction ID"
"Order ID","מספר הזמנה"
"Transaction Type","סוג טרנזקציה"
"Is Closed","סגורה"
"Created At","נוצר ב-"
"Child Transactions","Child Transactions"
"Transaction Details","Transaction Details"
"Items","פריטים"
"Gift Message for this Order","Gift Message for this Order"
"Shipped By","נשלח על ידי"
"Tracking Number","מספר מעקב"
"Billing Last Name","Billing Last Name"
"Find Order By","Find Order By"
"ZIP Code","ZIP Code"
"Billing ZIP Code","Billing ZIP Code"
"Continue","המשך"
"Print All Refunds","Print All Refunds"
"Refund #","Refund #"
"Print Refund","Print Refund"
"Product Name","שם מוצר"
"Order #","# הזמנה"
"Date","תאריך"
"Ship To","נמען"
"Actions","פעולות"
"View Order","	הצג הזמנה"
"You have placed no orders.","אין לך הזמנות."
"No shipping information available","אין מידע משלוח זמין"
"Print Order","הדפס הזמנה"
"Print All Invoices","Print All Invoices"
"Invoice #","Invoice #"
"Print Invoice","Print Invoice"
"Qty Invoiced","כמות שחויבה"
"Close","סגור"
"About Your Order","About Your Order"
"<span class=""label"">Order Date:</span> %1","<span class=""label"">Order Date:</span> %1"
"Refund #%1","Refund #%1"
"Shipment #%1","Shipment #%1"
"Qty Shipped","כמות שנשלחה"
"Recent Orders","הזמנות האחרונות"
"View All","הצג הכל"
"Gift Message for This Order","Gift Message for This Order"
"Recently Ordered","הוזמנו לאחרונה"
"Add to Cart","הוסף לסל"
"Search","חפש"
"Credit memo for your %store_name order","הזיכוי עבור ההזמנה %store_name"
"%name,","%name,"
"Thank you for your order from %store_name.","תודה על הזמנתך מ- %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","באפשרותך לבדוק את מצב ההזמנה שלך באמצעות <a href=""%account_url""> התחברות לחשבון שלך</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","אם יש לך שאלות לגבי ההזמנה שלך, אתה יכול לשלוח לנו דוא''ל- <a href=""mailto:%store_email""> %store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","או התקשרו-<a href=""tel:%store_phone""> %store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","השעות שלנו הם <span class=""no-link"">%store_hours</span>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","תזכיר האשראי שלך #%creditmemo_id עבור הזמנה #%order_id"
"Billing Info","פרטי חיוב"
"Shipping Info","פרטי משלוח"
"Update to your %store_name credit memo","לעדכן את הזיכוי עבור %store_name"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","הזמנתך %increment_id # עודכנה לסטטוס <strong>%order_status</strong>."
"Invoice for your %store_name order","החשבונית עבור ההזמנה %store_name"
"Your Invoice #%invoice_id for Order #%order_id","חשבוניתך %invoice_id # עבור הזמנה #%order_id"
"Update to your %store_name invoice","לעדכן את החשבונית %store_name"
"Your %store_name order confirmation","אישור ההזמנה שלך %store_name"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","ברגע שהחבילה שלך תשלח תקבל מספר מעקב."
"Your Order <span class=""no-link"">#%increment_id</span>","הזמנתך <span class=""no-link""> #%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","נוצרה ב <span class=""no-link"">%created_at</span>"
"Once your package ships we will send an email with a link to track your order.","ברגע שהחבילה שלך תשלח תקבל מייל עם קישור למעקב על הזמנתך."
"Update to your %store_name order","לעדכן את ההזמנה %store_name שלך"
"Your %store_name order has shipped","%store_name ההזמנה שלך נשלחה"
"Your shipping confirmation is below. Thank you again for your business.","להלן אישור המשלוח שלך. תודה על רכישתך."
"Your Shipment #%shipment_id for Order #%order_id","המשלוח שלך %shipment_id # עבור הזמנה #%order_id"
"Update to your %store_name shipment","עדכן את %store_name לשילוח"
"Gift Options for ","אפשרויות מתנה "
"Add Products","הוסף מוצרים"
"You have item changes","You have item changes"
"Ok","אישור"
"Operations","Operations"
"Create","יצירה"
"Send Order Email","Send Order Email"
"Accept or Deny Payment","Accept or Deny Payment"
"Send Sales Emails","Send Sales Emails"
"Sales Section","Sales Section"
"Sales Emails Section","Sales Emails Section"
"General","כללי"
"Hide Customer IP","Hide Customer IP"
"Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos.","Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos."
"Checkout Totals Sort Order","Checkout Totals Sort Order"
"Allow Reorder","Allow Reorder"
"Invoice and Packing Slip Design","Invoice and Packing Slip Design"
"Logo for PDF Print-outs (200x50)","Logo for PDF Print-outs (200x50)"
"Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.","Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image."
"Logo for HTML Print View","Logo for HTML Print View"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)"
"Address","כתובת"
"Minimum Order Amount","כמות מינימלית להזמנה"
"Enable","אפשר"
"Minimum Amount","Minimum Amount"
"Subtotal after discount","Subtotal after discount"
"Include Tax to Amount","הוסף מע""מ לסכום ההזמנה"
"Description Message","Description Message"
"This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount.","This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount."
"Error to Show in Shopping Cart","Error to Show in Shopping Cart"
"Validate Each Address Separately in Multi-address Checkout","Validate Each Address Separately in Multi-address Checkout"
"Multi-address Description Message","Multi-address Description Message"
"We'll use the default description above if you leave this empty.","We'll use the default description above if you leave this empty."
"Multi-address Error to Show in Shopping Cart","Multi-address Error to Show in Shopping Cart"
"We'll use the default error above if you leave this empty.","We'll use the default error above if you leave this empty."
"Dashboard","לוח בקרה"
"Use Aggregated Data","Use Aggregated Data"
"Orders Cron Settings","Orders Cron Settings"
"Pending Payment Order Lifetime (minutes)","Pending Payment Order Lifetime (minutes)"
"Sales Emails","Sales Emails"
"Asynchronous sending","שליחה אסינכרונית"
"Enabled","פעיל"
"New Order Confirmation Email Sender","New Order Confirmation Email Sender"
"New Order Confirmation Template","New Order Confirmation Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","תבנית המייל הנבחר בהתבסס על ירושת התבנית כשבוחרים באפשרות ""ברירת מחדל""."
"New Order Confirmation Template for Guest","New Order Confirmation Template for Guest"
"Send Order Email Copy To","Send Order Email Copy To"
"Comma-separated","Comma-separated"
"Send Order Email Copy Method","Send Order Email Copy Method"
"Order Comment Email Sender","Order Comment Email Sender"
"Order Comment Email Template","Order Comment Email Template"
"Order Comment Email Template for Guest","Order Comment Email Template for Guest"
"Send Order Comment Email Copy To","Send Order Comment Email Copy To"
"Send Order Comments Email Copy Method","Send Order Comments Email Copy Method"
"Invoice Email Sender","Invoice Email Sender"
"Invoice Email Template","Invoice Email Template"
"Invoice Email Template for Guest","Invoice Email Template for Guest"
"Send Invoice Email Copy To","Send Invoice Email Copy To"
"Send Invoice Email Copy Method","Send Invoice Email Copy Method"
"Invoice Comment Email Sender","Invoice Comment Email Sender"
"Invoice Comment Email Template","Invoice Comment Email Template"
"Invoice Comment Email Template for Guest","Invoice Comment Email Template for Guest"
"Send Invoice Comment Email Copy To","Send Invoice Comment Email Copy To"
"Send Invoice Comments Email Copy Method","Send Invoice Comments Email Copy Method"
"Shipment","משלוח"
"Shipment Email Sender","Shipment Email Sender"
"Shipment Email Template","Shipment Email Template"
"Shipment Email Template for Guest","Shipment Email Template for Guest"
"Send Shipment Email Copy To","Send Shipment Email Copy To"
"Send Shipment Email Copy Method","Send Shipment Email Copy Method"
"Shipment Comments","הערות משלוח"
"Shipment Comment Email Sender","Shipment Comment Email Sender"
"Shipment Comment Email Template","Shipment Comment Email Template"
"Shipment Comment Email Template for Guest","Shipment Comment Email Template for Guest"
"Send Shipment Comment Email Copy To","Send Shipment Comment Email Copy To"
"Send Shipment Comments Email Copy Method","Send Shipment Comments Email Copy Method"
"Credit Memo Email Sender","Credit Memo Email Sender"
"Credit Memo Email Template","Credit Memo Email Template"
"Credit Memo Email Template for Guest","Credit Memo Email Template for Guest"
"Send Credit Memo Email Copy To","Send Credit Memo Email Copy To"
"Send Credit Memo Email Copy Method","Send Credit Memo Email Copy Method"
"Credit Memo Comment Email Sender","Credit Memo Comment Email Sender"
"Credit Memo Comment Email Template","Credit Memo Comment Email Template"
"Credit Memo Comment Email Template for Guest","Credit Memo Comment Email Template for Guest"
"Send Credit Memo Comment Email Copy To","Send Credit Memo Comment Email Copy To"
"Send Credit Memo Comments Email Copy Method","Send Credit Memo Comments Email Copy Method"
"PDF Print-outs","PDF Print-outs"
"Display Order ID in Header","Display Order ID in Header"
"Customer Order Status Notification","התראות סטטוס הזמנות ללקוח"
"Asynchronous indexing","אינדקס אסינכרוני"
"Orders and Returns Search Form","טופס חיפוש של הזמנות והחזרות"
"Anchor Custom Title","קישור כותרת מותאם אישית"
"Template","תבנית"
"Default Template","Default Template"
"Name","שם"
"Phone","טלפון"
"ZIP/Post Code","ZIP/Post Code"
"Signed-up Point","Signed-up Point"
"Website","אתר"
"Bill-to Name","שלח חיוב לשם"
"Created","נוצר"
"Invoice Date","תאריך חשבונית"
"Ship-to Name","נשלח אל שם"
"Ship Date","Ship Date"
"Total Quantity","סהכ כמות"
"Default Status","Default Status"
"State Code and Title","State Code and Title"
"Item Status","Item Status"
"Original Price","Original Price"
"Tax Percent","אחוז מע""מ"
"All Store Views","כל תצוגות החנויות"
"PDF Credit Memos","PDF Credit Memos"
"Purchase Point","נקודת רכישה"
"Print Invoices","Print Invoices"
"Print Packing Slips","Print Packing Slips"
"Print Credit Memos","Print Credit Memos"
"Print All","הדפס הכול"
"Print Shipping Labels","הדפס תוויות משלוח"
"Purchase Date","תאריך רכישה"
"Grand Total (Base)","הסכום הכולל (בסיס)"
"Grand Total (Purchased)","Grand Total (Purchased)"
"Customer Email","Customer Email"
"Shipping and Handling","טיפול ומשלוח"
"PDF Invoices","PDF Invoices"
"PDF Shipments","PDF Shipments"
"PDF Creditmemos","PDF Creditmemos"
"Refunds","זיכויים"
"Create New Order for New Customer in %1","צור הזמנה חדשה עבור לקוח חדש ב- %1"
"The invoice and the shipment  have been created. The shipping label cannot be created now.","The invoice and the shipment  have been created. The shipping label cannot be created now."
"We will authorize %1 after the payment is approved at the payment gateway.","We will authorize %1 after the payment is approved at the payment gateway."
"Order is suspended as its authorizing amount %1 is suspected to be fraudulent.","Order is suspended as its authorizing amount %1 is suspected to be fraudulent."
"An amount of %1 will be captured after being approved at the payment gateway.","An amount of %1 will be captured after being approved at the payment gateway."
"Captured amount of %1 online","Captured amount of %1 online"
"The order amount of %1 is pending approval on the payment gateway.","The order amount of %1 is pending approval on the payment gateway."
"Ordered amount of %1","Ordered amount of %1"
"Registered notification about captured amount of %1.","Registered notification about captured amount of %1."
"Order is suspended as its capture amount %1 is suspected to be fraudulent.","Order is suspended as its capture amount %1 is suspected to be fraudulent."
"We found an invalid quantity to ship for item ""%1"".","We found an invalid quantity to ship for item ""%1""."
"order-header","order-header"
"Something went wrong","משהו השתבש"
"Page not found.","העמוד לא נמצא."
"Improves dashboard performance but provides non-realtime data.","Improves dashboard performance but provides non-realtime data."
"Invalid Form Key. Please refresh the page.","מפתח לא חוקי. אנא רעננו את הדף."
"Sample message.","Sample message."
"Limit per cron run","Limit per cron run"
"Grid Settings","הגדרות גריד"
"Use Aggregated Data (beta)","השתמש בנתונים מצטברים (בטא)"
"Could not save the comment.","Could not save the comment."
"Authorized amount of %1.","Authorized amount of %1."
"Authorized amount of %1. Order is suspended as its authorizing amount %1 is suspected to be fraudulent.","Authorized amount of %1. Order is suspended as its authorizing amount %1 is suspected to be fraudulent."
"Captured amount of %1 online.","Captured amount of %1 online."
"Requested product doesn't exist","המוצר המבוקש אינו קיים"
"Product is not salable.","המוצר אינו למכירה."
"Get available payment methods","Get available payment methods"
"Allow Zero GrandTotal","Allow Zero GrandTotal"
"Allow Zero GrandTotal for Creditmemo","Allow Zero GrandTotal for Creditmemo"
"Include Discount Amount","Include Discount Amount"
"The comment is missing. Enter and try again.","The comment is missing. Enter and try again."
"The ""%1"" coupon code isn't valid. Verify the code and try again.","The ""%1"" coupon code isn't valid. Verify the code and try again."
"The quote item ID needs to be received. Set the ID and try again.","The quote item ID needs to be received. Set the ID and try again."
"The quote item needs to be loaded. Load the item and try again.","The quote item needs to be loaded. Load the item and try again."
"The invoice can't be created without products. Add products and try again.","The invoice can't be created without products. Add products and try again."
"The invoice can't be saved at this time. Please try again later.","The invoice can't be saved at this time. Please try again later."
"The shipping method is missing. Select the shipping method and try again.","The shipping method is missing. Select the shipping method and try again."
"The payment method isn't selected. Enter the payment method and try again.","The payment method isn't selected. Enter the payment method and try again."
"An ID is needed. Set the ID and try again.","An ID is needed. Set the ID and try again."
"The entity that was requested doesn't exist. Verify the entity and try again.","The entity that was requested doesn't exist. Verify the entity and try again."
"The order address couldn't be deleted.","The order address couldn't be deleted."
"The order address couldn't be saved.","The order address couldn't be saved."
"The credit memo couldn't be deleted.","The credit memo couldn't be deleted."
"The credit memo couldn't be saved.","The credit memo couldn't be saved."
"The shipment couldn't be deleted.","The shipment couldn't be deleted."
"The shipment couldn't be saved.","The shipment couldn't be saved."
"The last status can't be changed and needs to stay assigned to its current state.","The last status can't be changed and needs to stay assigned to its current state."
"The status can't be unassigned because the status is currently used by an order.","The status can't be unassigned because the status is currently used by an order."
"The status needs to remain assigned to its state.","The status needs to remain assigned to its state."
"The ""%1"" validator is not an instance of the general validator interface.","The ""%1"" validator is not an instance of the general validator interface."
"The creditmemo contains incorrect product items.","The creditmemo contains incorrect product items."
"You can not refund shipping if there is no shipping amount.","You can not refund shipping if there is no shipping amount."
