"Credit Memos","Faktury korygujące"
"Apply Coupon Code","Zastosuj kod kuponu"
"Apply","Zastosuj"
"Remove Coupon Code","Usuń kod kuponu"
"Remove","Usuń"
"Address Information","Informacje o adresie"
"Payment &amp; Shipping Information","Informacje o wysyłce i płatności"
"Order Total","Podsumowanie"
"Order Currency:","Waluta zamówienia:"
"Same As Billing Address","Taki sam jak adres rozliczeniowy"
"Select from existing customer addresses:","Wybierz spośród istniejących adresów klienta:"
"Add New Address","Dodaj nowy adres"
"Save in address book","Save in address book"
"You don't need to select a shipping address.","Nie musisz wybrać adresu wysyłki."
"Gift Message for the Entire Order","Opcje prezentowe dla całego zamówienia"
"Leave this box blank if you don't want to leave a gift message for the entire order.","Pozostaw to pole puste jeżeli nie chcesz dodać wiadomości podarunkowej do całego zamówienia."
"Row Subtotal","Suma częściowa rzędu"
"Action","Operacja"
"No ordered items","Brak zamówionych przedmiotów"
"Update Items and Quantities","Aktualizuj pozycje i ilości"
"Total %1 product(s)","Produkty: %1"
"Subtotal:","Suma częściowa:"
"Tier Pricing","Poziomy cen"
"Custom Price","Niestandardowa cena"
"Please select","Proszę wybrać"
"Move to Shopping Cart","Przenieś do koszyka"
"Move to Wish List","Przenieś do listy życzeń"
"Subscribe to Newsletter","Subskrybuj newsletter"
"Click to change shipping method","Kliknij, aby zmienić metodę wysyłki"
"Sorry, no quotes are available for this order.","Nie istnieje żaden koszyk przypisany do tego zamówienia."
"Get shipping methods and rates","Pobierz sposoby dostawy i stawki"
"You don't need to select a shipping method.","Nie musisz wybierać metody wysyłki."
"Customer's Activities","Działalności klienta"
"Refresh","Odśwież"
"Item","Produkt"
"Add To Order","Dodaj do zamówienia"
"Configure and Add to Order","Konfiguruj i dodaj do zamówienia"
"No items","Brak produktów"
"Append Comments","Dołącz komentarz do maila (niezaznaczony pozostawi komentarz tylko do wiadomości sklepu)"
"Email Order Confirmation","Wyślij e-mail z potwierdzeniem zamówienia do klienta"
"Grand Total Excl. Tax","Suma łączna bez podatku"
"Grand Total Incl. Tax","Suma łączna z podatkiem"
"Subtotal (Excl. Tax)","Suma częściowa (bez podatku)"
"Subtotal (Incl. Tax)","Suma częściowa (z podatkiem)"
"Payment &amp; Shipping Method","Metoda wysyłki i płatności"
"Payment Information","Informacje o płatności"
"The order was placed using %1.","Zamówienie zostało złożone z wykorzystaniem %1."
"Shipping Information","Informacje o dostawie"
"Items to Refund","Przedmioty do refundacji"
"Return to Stock","Zwrot do magazynu"
"Qty to Refund","Ilość do zwrotu"
"Tax Amount","Wartość podatku"
"Discount Amount","Zniżka"
"Row Total","Razem"
"No Items To Refund","Brak produktów do zwrotu"
"Credit Memo Comments","Komentarze do faktury korygującej"
"Refund Totals","Suma zwrotów"
"Email Copy of Credit Memo","Wyślij e-mail z fakturą korygująca do klienta"
"Please enter a positive number in this field.","Proszę podać dodatnią wartość w tym polu."
"Items Refunded","Przedmioty zrefundowane"
"No Items","Brak produktów"
"Memo Total","Suma faktury korygującej"
"Credit Memo History","Historia faktur korygujących"
"Credit Memo Totals","Suma faktur korygujących"
"Customer Name: %1","Nazwa klienta: %1"
"Purchased From: %1","Kupione od: %1"
"Gift Message","Wiadomość prezentowa"
"From:","Z:"
"To:","Do:"
"Message:","Wiadomość:"
"Shipping &amp; Handling","Wysyłka &amp; Pakowanie"
"Gift Options","Opcje podarunkowe"
"Create Shipment","Utwórz dostawę"
"Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice.","Rodzaj faktury i przesyłki nie pasują do niektórych elementów w tej kolejności. Można utworzyć wysyłkę tylko po utworzeniu faktury."
"%1","%1"
"Qty to Invoice","Ilość do zafakturowania"
"Invoice History","Historia faktur"
"Invoice Comments","Komentarze do faktury"
"Invoice Totals","Suma faktur"
"Amount","Kwota"
"Capture Online","Przechwyć online"
"Capture Offline","Przechwyć offline"
"Not Capture","Brak przechwyceń"
"The invoice will be created offline without the payment gateway.","Faktura zostanie utworzona offline bez procesu płatności."
"Email Copy of Invoice","Wyślij e-mail z fakturą do klienta"
"Items Invoiced","Przedmioty zafakturowane"
"Total Tax","Podatek"
"From Name","Z (nazwa)"
"To Name","Do (nazwa)"
"Status","Stan"
"Comment","Komentarz"
"Notification Not Applicable","Powiadomienie nie kwalifikuje się"
"Order & Account Information","Dane zamówienia i konta"
"The order confirmation email was sent","Potwierdzenie zostało wysłane"
"The order confirmation email is not sent","Potwierdzenie nie zostało wysłane"
"Order Date","Data zamówienia"
"Order Date (%1)","Data zamówienia (%1)"
"Purchased From","Kupiono od"
"Link to the New Order","Link do nowego zamówienia"
"Link to the Previous Order","Link do poprzedniego zamówienia"
"Placed from IP","Zamówienie złożone z IP"
"%1 / %2 rate:","%1 / %2 cena:"
"Edit Customer","Edit Customer"
"Customer Name","Nazwisko klienta"
"Customer Group","Grupa klienta"
"Notes for this Order","Uwagi do zamówienia"
"Comment added","Komentarz dodany"
"Transaction Data","Dane transakcji"
"Transaction ID","Identyfikator transakcji"
"Parent Transaction ID","ID nadrzędnej transakcji"
"Order ID","ID zamówienia"
"Transaction Type","Rodzaj transakcji"
"Is Closed","Jest zamknięty"
"Created At","Utworzono"
"Child Transactions","Podrzędne transakcje"
"Transaction Details","Szczegóły transakcji"
"Items","Pozycje"
"Gift Message for this Order","Wiadomość prezentowa dla tego zamówienia"
"Shipped By","Wysłane przez"
"Tracking Number","Numer śledzenia"
"Billing Last Name","Nazwisko rozliczenia"
"Find Order By","Znajdź zamówienie wg"
"ZIP Code","Kod pocztowy"
"Billing ZIP Code","Kod pocztowy rozliczenia"
"Continue","Kontynuuj"
"Print All Refunds","Wydrukuj wszystkie zwroty"
"Refund #","Numer zwrotu"
"Print Refund","Wydrukuj zwrot"
"Product Name","Nazwa produktu"
"Order #","Zamówienie #"
"Date","Data"
"Ship To","Dostawa na adres"
"Actions","Operacje"
"View Order","Zobacz zamówienie"
"You have placed no orders.","Nie masz jeszcze żadnych zamówień."
"No shipping information available","Brak informacji o wysyłce"
"Print Order","Wydrukuj zamówienie"
"Print All Invoices","Drukuj faktury"
"Invoice #","Faktura nr  "
"Print Invoice","Drukuj fakturę"
"Qty Invoiced","Zafakturowana ilość"
"Close","Zamknij"
"About Your Order","Informacje o zamówieniu"
"<span class=""label"">Order Date:</span> %1","<span class=""label""> Data zamówienia:</span> %1"
"Refund #%1","Numer zwrotu: %1"
"Shipment #%1","Dostawa nr %1"
"Qty Shipped","Ilość dostarczona"
"Recent Orders","Ostatnie zamówienia"
"View All","Zobacz wszystkie"
"Gift Message for This Order","Wiadomość prezentowa dla tego zamówienia"
"Recently Ordered","Ostatnio zamówione"
"Add to Cart","Dodaj do koszyka"
"Search","Szukaj"
"Credit memo for your %store_name order","Faktura korygująca do zamówienia %store_name"
"%name,","%name,"
"Thank you for your order from %store_name.","Dziękuję za Twoje zamówienie z %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Status zamówienia można sprawdzić po <a href=""%account_url""> zalogowaniu się do swojego konta</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Jeśli masz pytania dotyczące Twojego zamówienia, możesz napisz do nas na <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","or call us at <a href=""tel:%store_phone"">%store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Our hours are <span class=""no-link"">%store_hours</span>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Twoja korekta #%creditmemo_id do zamówienia #%order_id"
"Billing Info","Informacje rozliczeniowe"
"Shipping Info","Shipping Info"
"Update to your %store_name credit memo","Aktualizacja do faktury korygującej %store_name"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Twoje zamówienie #%increment_id zostało wzbogacone o status <strong>%order_status</strong>."
"Invoice for your %store_name order","Faktura za zamówienie %store_name"
"Your Invoice #%invoice_id for Order #%order_id","Twoja #%invoice_id faktura dla zamówienia #%order_id"
"Update to your %store_name invoice","Aktualizacja do faktury %store_name"
"Your %store_name order confirmation","Potwierdzenie zamówienia w sklepie %store_name"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","Kiedy twoja paczka będzie już w drodze wyślemy tobie numer do śledzenia transportu."
"Your Order <span class=""no-link"">#%increment_id</span>","Twoje zamówienie <span class=""no-link""> #%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Umieszczony na <span class=""no-link"">%created_at</span>"
"Once your package ships we will send an email with a link to track your order.","Gdy Twoja przesyłka zostanie wysłane, prześlemy Ci e-mail z linkiem umożliwiającym śledzenie Twego zamówienia."
"Update to your %store_name order","Aktualizacja do zamówienia w sklepie %store_name"
"Your %store_name order has shipped","Twoje zamówienie w sklepie %store_name zostało wysłane"
"Your shipping confirmation is below. Thank you again for your business.","Potwierdzenie wysyłki jest poniżej. Jeszcze raz dziękuję za twoje zamówienie."
"Your Shipment #%shipment_id for Order #%order_id","Twój #%shipment_id wysyłki dla zamówienia #%order_id"
"Update to your %store_name shipment","Aktualizacja do przesyłki %store_name"
"Gift Options for ","Opcje podarunkowe dla "
"Add Products","Dodaj produkty"
"You have item changes","Masz zmiany pozycji"
"Ok","Ok"
"Operations","Operacje"
"Create","Utwórz"
"Send Order Email","Wyślij e-mail zamówienia"
"Accept or Deny Payment","Akceptuj lub odrzuć płatność"
"Send Sales Emails","Wyślij e-mail sprzedażowy"
"Sales Section","Sekcja sprzedaży"
"Sales Emails Section","Sekcja e-maili sprzedażowych"
"General","Ogólne"
"Hide Customer IP","Ukryj IP klienta"
"Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos.","Zdecyduj czy adres IP klienta ma być widoczny w zamówieniach, fakturach, wysyłkach i fakturach korygujących."
"Checkout Totals Sort Order","Kolejność wyświetlania sum zamówienia"
"Allow Reorder","Pozwól na ponowne zamówienie"
"Invoice and Packing Slip Design","Wygląd faktur i etykiet adresowych"
"Logo for PDF Print-outs (200x50)","Logo do wydruków PDF (200x50)"
"Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.","Twoje domyślne logo będzie używane w dokumentach PDF i HTML.<br />(jpeg, tiff, png) Jeśli zdjęcie w PDF będzie zniekształcone, spróbuj użyć obrazka o większej rozdzielczości."
"Logo for HTML Print View","Logo do widoku HTML wydruku"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","Logo dla dokumentów HTML. Zostaw puste, aby używać domyślnego logo.<br />(jpeg, gif, png)"
"Address","Adres"
"Minimum Order Amount","Minimalna wielkość zamówienia"
"Enable","Włącz"
"Minimum Amount","Minimalna kwota"
"Subtotal after discount","Subtotal after discount"
"Include Tax to Amount","Zawierają podatek od kwoty"
"Description Message","Wiadomość opisu"
"This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount.","Ten komunikat pojawi się w koszyku po gdy suma częściowa (po Rabacie) jest niższa niż minimalna dozwolona kwota."
"Error to Show in Shopping Cart","Błąd pokazywany w koszyku"
"Validate Each Address Separately in Multi-address Checkout","Podczas kupowania z wieloma adresami sprawdzaj każdy z nich oddzielnie"
"Multi-address Description Message","Wiadomość z opisem zamówienia z wieloma adresami"
"We'll use the default description above if you leave this empty.","Użyjemy powyższy opis domyślny, jeśli zostawisz puste."
"Multi-address Error to Show in Shopping Cart","Błąd zamówienia z wieloma adresami do pokazania w koszyku"
"We'll use the default error above if you leave this empty.","Użyjemy powyższych błędów, jeśli zostawisz puste."
"Dashboard","Panel"
"Use Aggregated Data","Użyj połączonych danych"
"Orders Cron Settings","Zamówienia ustawienia Cron"
"Pending Payment Order Lifetime (minutes)","Oczekujące płatności porządku życia (w minutach)"
"Sales Emails","E-maile sprzedażowe"
"Asynchronous sending","Wysyłanie asynchroniczne"
"Enabled","Włączone"
"New Order Confirmation Email Sender","Nadawca wiadomości potwierdzającej nowe zamówienie"
"New Order Confirmation Template","Szablon wiadomości potwierdzającej nowe zamówienie"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Wybrany szablon e-mail oparty na temacie fallback po wybraniu opcji ""Default""."
"New Order Confirmation Template for Guest","Szablon wiadomości potwierdzającej nowe zamówienie dla niezalogowanych"
"Send Order Email Copy To","Wyślij kopię e-maila z zamówieniem do"
"Comma-separated","Comma-separated"
"Send Order Email Copy Method","Metoda wysyłki kopii e-maila z zamówieniem"
"Order Comment Email Sender","Nadawca wiadomości z komentarzem do zamówienia"
"Order Comment Email Template","Szablon wiadomości z komentarzem do zamówienia"
"Order Comment Email Template for Guest","Szablon wiadomości z komentarzem do zamówienia (dla Gości)"
"Send Order Comment Email Copy To","Wyślij kopię e-maila z komentarzem do zamówienia do"
"Send Order Comments Email Copy Method","Wyślij kopię e-maila komentarzy do zamówienia metodą"
"Invoice Email Sender","Nadawca wiadomości o fakturze"
"Invoice Email Template","Szablon wiadomości o fakturze"
"Invoice Email Template for Guest","Szablon wiadomości o fakturze (dla Gości)"
"Send Invoice Email Copy To","Wyślij kopię e-maila z fakturą do"
"Send Invoice Email Copy Method","Wyślij kopię e-maila o fakturze metodą"
"Invoice Comment Email Sender","Nadawca wiadomości o komentarzu do faktury"
"Invoice Comment Email Template","Szablon wiadomości o komentarzu do faktury"
"Invoice Comment Email Template for Guest","Szablon wiadomości o komentarzu do faktury (dla Gości)"
"Send Invoice Comment Email Copy To","Wyślij kopię e-maila z komentarzem do faktury do"
"Send Invoice Comments Email Copy Method","Wyślij kopię e-maila komentarzy do faktury metodą"
"Shipment","Dostawa"
"Shipment Email Sender","Nadawca wiadomości o wysyłce"
"Shipment Email Template","Szablon wiadomości o wysyłce"
"Shipment Email Template for Guest","Szablon wiadomości o wysyłce (dla Gości)"
"Send Shipment Email Copy To","Wyślij kopię e-maila z wysyłką do"
"Send Shipment Email Copy Method","Wyślij kopię e-maila dostawy metodą"
"Shipment Comments","Komentarze do dostawy"
"Shipment Comment Email Sender","Nadawca wiadomości z komentarzem do wysyłki"
"Shipment Comment Email Template","Szablon wiadomości z komentarzem do wysyłki"
"Shipment Comment Email Template for Guest","Szablon wiadomości z komentarzem do wysyłki (dla Gości)"
"Send Shipment Comment Email Copy To","Wyślij kopię e-maila z komentarzem do dostawy do"
"Send Shipment Comments Email Copy Method","Wyślij kopię e-maila komentarzy do dostawy metodą"
"Credit Memo Email Sender","Nadawca wiadomości o fakturze korygującej"
"Credit Memo Email Template","Szablon wiadomości o fakturze korygującej"
"Credit Memo Email Template for Guest","Szablon wiadomości o fakturze korygującej (dla Gości)"
"Send Credit Memo Email Copy To","Wyślij kopię e-maila z fakturą korygującą do"
"Send Credit Memo Email Copy Method","Wyślij kopię e-maila o fakturze korygującej metodą"
"Credit Memo Comment Email Sender","Nadawca wiadomości o komentarzu do faktury korygującej"
"Credit Memo Comment Email Template","Szablon wiadomości o komentarzu do faktury korygującej"
"Credit Memo Comment Email Template for Guest","Szablon wiadomości o komentarzu do faktury korygującej (dla Gości)"
"Send Credit Memo Comment Email Copy To","Wyślij kopię e-maila z komentarzem do faktury korygującej do"
"Send Credit Memo Comments Email Copy Method","Wyślij kopię e-maila komentarzy do faktury korygującej metodą"
"PDF Print-outs","Wydruki PDF"
"Display Order ID in Header","Wyświetl ID zamówienia w nagłówku"
"Customer Order Status Notification","Powiadomienie o statusie zamówienia"
"Asynchronous indexing","Indeksowanie asynchroniczne"
"Orders and Returns Search Form","Formularz wyszukiwania zamówień i zwrotów"
"Anchor Custom Title","Własny tytuł kotwicy"
"Template","Szablon"
"Default Template","Domyślny szablon"
"Name","Nazwa"
"Phone","Telefon"
"ZIP/Post Code","Kod pocztowy"
"Signed-up Point","Miejsce rejestracji"
"Website","Witryna"
"Bill-to Name","Rachunek na"
"Created","Utworzono"
"Invoice Date","Data wystawienia"
"Ship-to Name","Dostawa do"
"Ship Date","Data wysyłki"
"Total Quantity","Całkowita ilość"
"Default Status","Domyślny status"
"State Code and Title","Kod stanu i tytuł"
"Item Status","Stan"
"Original Price","Oryginalna cena"
"Tax Percent","Podatek"
"All Store Views","Wszystkie widoki sklepu"
"PDF Credit Memos","Pobierz fakturę korygującą"
"Purchase Point","Miejsce zakupu"
"Print Invoices","Drukuj faktury"
"Print Packing Slips","Drukuj dokumenty dostawy"
"Print Credit Memos","Drukuj faktury korygujące"
"Print All","Drukuj wszystko"
"Print Shipping Labels","Drukuj etykiety adresowe"
"Purchase Date","Data zakupu"
"Grand Total (Base)","Łączna suma (podstawowy)"
"Grand Total (Purchased)","Łączna suma (zakupu)"
"Customer Email","E-mail klienta"
"Shipping and Handling","Dostawa i obsługa"
"PDF Invoices","Pobierz fakturę"
"PDF Shipments","Wysyłki PDF"
"PDF Creditmemos","PDF korekty"
"Refunds","Zwroty"
"Create New Order for New Customer in %1","Create New Order for New Customer in %1"
"The invoice and the shipment  have been created. The shipping label cannot be created now.","The invoice and the shipment  have been created. The shipping label cannot be created now."
"We will authorize %1 after the payment is approved at the payment gateway.","We will authorize %1 after the payment is approved at the payment gateway."
"Order is suspended as its authorizing amount %1 is suspected to be fraudulent.","Order is suspended as its authorizing amount %1 is suspected to be fraudulent."
"An amount of %1 will be captured after being approved at the payment gateway.","An amount of %1 will be captured after being approved at the payment gateway."
"Captured amount of %1 online","Captured amount of %1 online"
"The order amount of %1 is pending approval on the payment gateway.","The order amount of %1 is pending approval on the payment gateway."
"Ordered amount of %1","Ordered amount of %1"
"Registered notification about captured amount of %1.","Registered notification about captured amount of %1."
"Order is suspended as its capture amount %1 is suspected to be fraudulent.","Order is suspended as its capture amount %1 is suspected to be fraudulent."
"We found an invalid quantity to ship for item ""%1"".","We found an invalid quantity to ship for item ""%1""."
"order-header","order-header"
"Something went wrong","Something went wrong"
"Page not found.","Page not found."
"Improves dashboard performance but provides non-realtime data.","Improves dashboard performance but provides non-realtime data."
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"Sample message.","Sample message."
"Limit per cron run","Limit per cron run"
"Grid Settings","Grid Settings"
"Use Aggregated Data (beta)","Use Aggregated Data (beta)"
"Could not save the comment.","Could not save the comment."
"Authorized amount of %1.","Authorized amount of %1."
"Authorized amount of %1. Order is suspended as its authorizing amount %1 is suspected to be fraudulent.","Authorized amount of %1. Order is suspended as its authorizing amount %1 is suspected to be fraudulent."
"Captured amount of %1 online.","Captured amount of %1 online."
"Requested product doesn't exist","Requested product doesn't exist"
"Product is not salable.","Product is not salable."
"Get available payment methods","Get available payment methods"
"Allow Zero GrandTotal","Allow Zero GrandTotal"
"Allow Zero GrandTotal for Creditmemo","Allow Zero GrandTotal for Creditmemo"
"Include Discount Amount","Include Discount Amount"
"The comment is missing. Enter and try again.","The comment is missing. Enter and try again."
"The ""%1"" coupon code isn't valid. Verify the code and try again.","The ""%1"" coupon code isn't valid. Verify the code and try again."
"The quote item ID needs to be received. Set the ID and try again.","The quote item ID needs to be received. Set the ID and try again."
"The quote item needs to be loaded. Load the item and try again.","The quote item needs to be loaded. Load the item and try again."
"The invoice can't be created without products. Add products and try again.","The invoice can't be created without products. Add products and try again."
"The invoice can't be saved at this time. Please try again later.","The invoice can't be saved at this time. Please try again later."
"The shipping method is missing. Select the shipping method and try again.","The shipping method is missing. Select the shipping method and try again."
"The payment method isn't selected. Enter the payment method and try again.","The payment method isn't selected. Enter the payment method and try again."
"An ID is needed. Set the ID and try again.","An ID is needed. Set the ID and try again."
"The entity that was requested doesn't exist. Verify the entity and try again.","The entity that was requested doesn't exist. Verify the entity and try again."
"The order address couldn't be deleted.","The order address couldn't be deleted."
"The order address couldn't be saved.","The order address couldn't be saved."
"The credit memo couldn't be deleted.","The credit memo couldn't be deleted."
"The credit memo couldn't be saved.","The credit memo couldn't be saved."
"The shipment couldn't be deleted.","The shipment couldn't be deleted."
"The shipment couldn't be saved.","The shipment couldn't be saved."
"The last status can't be changed and needs to stay assigned to its current state.","The last status can't be changed and needs to stay assigned to its current state."
"The status can't be unassigned because the status is currently used by an order.","The status can't be unassigned because the status is currently used by an order."
"The status needs to remain assigned to its state.","The status needs to remain assigned to its state."
"The ""%1"" validator is not an instance of the general validator interface.","The ""%1"" validator is not an instance of the general validator interface."
"The creditmemo contains incorrect product items.","The creditmemo contains incorrect product items."
"You can not refund shipping if there is no shipping amount.","You can not refund shipping if there is no shipping amount."
