"Credit Memos","İade Kayıtları"
"VAT Request Identifier","Vergi İstek Tanımlayıcısı"
"VAT Request Date","Vergi Numarası İsteme Tarihi"
"Pending Payment","Ödeme Bekleniyor"
"Processing","İşleniyor"
"On Hold","Beklemede"
"Complete","Tamamlandı"
"Closed","Kapatıldı"
"Suspected Fraud","Sahtekarlık Şüphesi"
"Payment Review","Ödeme İnceleme"
"New","Yeni "
"Product doesn't exist","Product doesn't exist"
"test message","deneme mesajı"
"Email has not been sent","E-posta gönderilmedi"
"Authorized amount of %1","%1'in yetkili miktarı"
" Transaction ID: ""%1"""," Transaction ID: ""%1"""
"View","Göster"
"Group was removed","Grup kaldırıldı"
"Changing address information will not recalculate shipping, tax or other order amount.","Adresi bilgisini değiştirmek, kargo ücretlerini ve etkilenen diğer toplamları yeniden hesaplamaz."
"Comment Text","Açıklama Metni"
"Notify Customer by Email","Müşteriyi E-posta ile Bilgilendir"
"Visible on Storefront","Mağazada görünür"
"Customer","Müşteri"
"Notified","Bildirilmiş"
"Not Notified","Bildirilmemiş"
"No Payment Methods","Herhangi bir Ödeme Yöntemi bulunamadı"
"Order Comments","Sipariş Açıklamaları"
"Apply Coupon Code","Kupon Kodunu Uygula"
"Apply","Onayla"
"Remove Coupon Code","Kupon Kodunu Sil"
"Remove","Kaldır"
"Address Information","Adres Bilgisi"
"Payment &amp; Shipping Information","Ödeme &amp; Sevkiyat Bilgisi"
"Order Total","Sipariş Toplamı"
"Order Currency:","Sipariş Para Birimi:"
"Same As Billing Address","Fatura Adresi ile Aynı"
"Select from existing customer addresses:","Mevcut müşteri adreslerinden seçiniz"
"Add New Address","Yeni Adres Ekle"
"Save in address book","Save in address book"
"You don't need to select a shipping address.","Bir gönderim adresi seçmeniz gerekmez."
"Gift Message for the Entire Order","Siparişi Tamamı için Hediye Mesajı"
"Leave this box blank if you don't want to leave a gift message for the entire order.","Eğer tüm sipariş için hediye mesajı bırakmak istemiyorsan bu kutucuğu boş bırak."
"Row Subtotal","Satır Ara Toplamı"
"Action","Eylem"
"No ordered items","Hiç ürün sipariş edilmedi"
"Update Items and Quantities","Madde ve miktarları güncelle"
"Total %1 product(s)","Toplam %1 ürün (ler)"
"Subtotal:","Ara Toplam:"
"Tier Pricing","Kanal Fiyatı"
"Custom Price","Özel Fiyat"
"Please select","Lütfen seçiniz"
"Move to Shopping Cart","Alışveriş Sepetine Taşı"
"Move to Wish List","İstek listeme taşı"
"Subscribe to Newsletter","Duyuru Servisine Abone Ol"
"Click to change shipping method","Kargo yöntemini değiştirmek için tıklayınız"
"Sorry, no quotes are available for this order.","Üzgünüz, bu sipariş için uygun teklif yok."
"Get shipping methods and rates","Teslimat Yöntemlerini ve Fiyatları Al"
"You don't need to select a shipping method.","Bir gönderim yöntemi seçmeniz gerekmez."
"Customer's Activities","Müşterinin Faaliyetleri"
"Refresh","Yenile"
"Item","Ürün"
"Add To Order","Siparişe Ekle"
"Configure and Add to Order","Yapılandır ve Siparişe Ekle"
"No items","Ürün yok"
"Append Comments","Elenen Açıklamalar"
"Email Order Confirmation","E-posta Sipariş Onayı"
"Grand Total Excl. Tax","Genel Toplam Vergi Hariç"
"Grand Total Incl. Tax","Genel Toplam Vergi Hariç"
"Subtotal (Excl. Tax)","Ara Toplam (Vergi Hariç)"
"Subtotal (Incl. Tax)","Ara Toplam (Vergi Dahil)"
"Payment &amp; Shipping Method","Ödeme &amp; Sevkiyat yöntemi"
"Payment Information","Ödeme Bilgisi"
"The order was placed using %1.","%1 kullanılarak sipariş verilmiştir."
"Shipping Information","Teslimat Bilgisi"
"Items to Refund","İadesi Yapılacak Ürünler"
"Return to Stock","Stoğa Geri Ver"
"Qty to Refund","İadesi Yapılacak Adet"
"Tax Amount","Vergi Tutarı"
"Discount Amount","İndirim Tutarı"
"Row Total","Satır Toplamı"
"No Items To Refund","İade edilecek ürün yok"
"Credit Memo Comments","İade Kaydı Açıklamaları"
"Refund Totals","İade Toplamları"
"Email Copy of Credit Memo","İade Kaydının E-Mail Kopyası"
"Please enter a positive number in this field.","Lütfen bu alanda bir pozitif sayı girin."
"Items Refunded","İadesi Yapılan Ürünler"
"No Items","Ürün yok"
"Memo Total","Not Toplam"
"Credit Memo History","İade Kaydı Geçmişi"
"Credit Memo Totals","İade Kaydı Toplamları"
"Customer Name: %1","Müşteri Adı: %1"
"Purchased From: %1","Satın Alınan Yer: %1"
"Gift Message","Hediye Mesajı"
"From:","Kimden:"
"To:","Kime:"
"Message:","Mesaj:"
"Shipping &amp; Handling","Teslimat &amp; Teslimalma"
"Gift Options","Hediye Seçenekleri"
"Create Shipment","Kargo Oluştur"
"Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice.","Bazı öğeler için fatura ve sevk türleri eşleşmiyor. Sadece fatura oluşturduktan sonra bir sevk oluşturabilirsiniz."
"%1","%1"
"Qty to Invoice","Faturalanacak Adet"
"Invoice History","Fatura Geçmişi"
"Invoice Comments","Fatura Açıklamaları"
"Invoice Totals","Fatura Toplamları"
"Amount","Tutar"
"Capture Online","Çevrimiçi Tahsil Et"
"Capture Offline","Çevrimdışı Tahsil Et"
"Not Capture","Tahsil Edilmedi"
"The invoice will be created offline without the payment gateway.","Fatura ödeme geçidi olmadan çevrimdışı olarak oluşturulacaktır."
"Email Copy of Invoice","Faturanın E-posta Kopyası"
"Items Invoiced","Faturalanan Ürünler"
"Total Tax","Toplam Vergi"
"From Name","Gönderen Adı"
"To Name","Alıcı İsim"
"Status","Durum"
"Comment","Yorum"
"Notification Not Applicable","Uygulanamaz Bildirim"
"Order & Account Information","Sipariş ve hesap bilgileri"
"The order confirmation email was sent","Sipariş onay e-postası gönderildi"
"The order confirmation email is not sent","Sipariş onay e-postası gönderilemedi"
"Order Date","Sipariş Tarihi"
"Order Date (%1)","Sipariş tarihi (%1)"
"Purchased From","Satın Alındığı Yer"
"Link to the New Order","Yeni Bir Siparişe Bağla"
"Link to the Previous Order","Bir Önceki Siparişe Bağla"
"Placed from IP","Ip Adresinden Bağlanıldı."
"%1 / %2 rate:","%1 / %2 oran:"
"Edit Customer","Edit Customer"
"Customer Name","Müşteri Adı"
"Customer Group","Müşteri Grupları"
"Notes for this Order","Bu sipariş için notlar"
"Comment added","Yorum eklendi"
"Transaction Data","İşlem Verisi"
"Transaction ID","İşlem ID"
"Parent Transaction ID","Üst İşlem Numarası"
"Order ID","Sipariş No"
"Transaction Type","İşlem Tipi"
"Is Closed","Kapatıldı"
"Created At","Oluşturulduğu Tarih"
"Child Transactions","Alt İşlemler"
"Transaction Details","İşlem Detayları"
"Items","Ürünler"
"Gift Message for this Order","Bu sipariş için Hediye Mesajı"
"Shipped By","Gönderen"
"Tracking Number","İzleme Numarası"
"Billing Last Name","Fatura Soyadı"
"Find Order By","Sipariş Bul"
"ZIP Code","Posta Kodu"
"Billing ZIP Code","Fatura ZIP Kodu"
"Continue","Devam et"
"Print All Refunds","Tüm İadeleri Yazdır"
"Refund #","İade #"
"Print Refund","İadeleri Yazdır"
"Product Name","Ürün Adı"
"Order #","Sipariş #"
"Date","Tarih"
"Ship To","Teslim Edilen"
"Actions","İşlemler"
"View Order","Siparişi Göster"
"You have placed no orders.","Herhangi bir siparişiniz bulunmamaktadır."
"No shipping information available","Teslimat bilgisi yok"
"Print Order","Siparişi Yazdır"
"Print All Invoices","Tüm Faturaları Yazdır"
"Invoice #","Fatura #"
"Print Invoice","Faturayı Yazdır"
"Qty Invoiced","Faturalanan Adet"
"Close","Kapat"
"About Your Order","Siparişiniz Hakkında"
"<span class=""label"">Order Date:</span> %1","<span class=""label""> Sipariş Tarihi:</span> %1"
"Refund #%1","Geri Ödeme #%1"
"Shipment #%1","Nakliye #%1"
"Qty Shipped","Kargolanan Adet"
"Recent Orders","Geçmiş Siparişler"
"View All","Hepsini Göster"
"Gift Message for This Order","Bu sipariş için Hediye Mesajı"
"Recently Ordered","Son sipariş(ler)"
"Add to Cart","Sepete Ekle"
"Search","Arama"
"Credit memo for your %store_name order","%store_name siparişiniz için iade faturası"
"%name,","%isim,"
"Thank you for your order from %store_name.","%store_name den verdiğiniz sipariş için teşekkür ederiz."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","<a href=""%account_url""> hesabınıza oturum</a> açarak siparişinizin durumunu kontrol edebilirsiniz."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Sipariş hakkında sorularınız varsa, <a href=""mailto:%store_email""> %store_email</a> e-posta gönderebilirsiniz"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","or call us at <a href=""tel:%store_phone"">%store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Our hours are <span class=""no-link"">%store_hours</span>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Kredi Notunuz #%creditmemo_id Sipariş için #%order_id"
"Billing Info","Faturalandırma Bilgisi"
"Shipping Info","Shipping Info"
"Update to your %store_name credit memo","Kredi notunuzu güncelleyin %store_name"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Siparişiniz #%increment_id <strong>%order_status</strong> durumuyla güncellendi."
"Invoice for your %store_name order","Siparişiniz için fatura %store_name"
"Your Invoice #%invoice_id for Order #%order_id","Faturanız #%invoice_id Sipariş için #%order_id"
"Update to your %store_name invoice","Faturanızı güncelleyin %store_name"
"Your %store_name order confirmation","Sipariş onayınız %store_name"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","Paketiniz sevkedildiğinde size bir takip numarası göndereceğiz."
"Your Order <span class=""no-link"">#%increment_id</span>","Siparişiniz <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Yer alan <span class=""no-link"">%created_at</span>"
"Once your package ships we will send an email with a link to track your order.","Paketiniz sevkedildiğinde size siparişinizi takip edebileceğiniz bir link göndereceğiz."
"Update to your %store_name order","Siparişinizi güncelleyin %store_name"
"Your %store_name order has shipped","Siparişiniz teslim edildi %store_name"
"Your shipping confirmation is below. Thank you again for your business.","Gönderi bilgileriniz aşağıdadır. Alışverişiniz için teşekkür ederiz."
"Your Shipment #%shipment_id for Order #%order_id","Teslimat #%shipment_id için sipariş #%order_id"
"Update to your %store_name shipment","%store_name nakliyesini güncelleyin"
"Gift Options for ","Hediye Seçenekleri "
"Add Products","Ürün Ekle"
"You have item changes","Değişiklikler yaptınız"
"Ok","Tamam"
"Operations","İşlemler"
"Create","Oluştur"
"Send Order Email","Sipariş E-postası Gönder"
"Accept or Deny Payment","Ödemeyi Kabul Et veya Reddet"
"Send Sales Emails","Sipariş E-postalarını gönder"
"Sales Section","Satış Bölümü"
"Sales Emails Section","Satış E-postaları Bölümü"
"General","Genel"
"Hide Customer IP","Müşteri IP Adresini Gizle"
"Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos.","Bir müşteri IP'sinin siparişlerde, faturalarda, gönderilerde ve kredi notlarında gösterilip gösterilmeyeceğini seçin."
"Checkout Totals Sort Order","Alışveriş Toplamların Sıralanması"
"Allow Reorder","Yeniden Siparişe İzin Ver"
"Invoice and Packing Slip Design","Fatura ve Kargo Fişi Tasarımı"
"Logo for PDF Print-outs (200x50)","PDF Belgeler için Logo (200x50)"
"Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.","Varsayılan logonuz PDF ve HTML belgelerinde kullanılacak.<br />(jpeg, tiff, png) Eğer pdf görseli bozuksa daha büyük boyutlu görsel kullanmayı deneyin."
"Logo for HTML Print View","HTML Çıktı Görünümü için Logo"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","Sadece HTML belgeleri için logo. Eğer boşsa, varsayılan kullanılacak.<br />(jpeg, gif, png)"
"Address","Adres"
"Minimum Order Amount","En düşük Sipariş Tutarı"
"Enable","Aktif et"
"Minimum Amount","En düşük Toplam"
"Subtotal after discount","Subtotal after discount"
"Include Tax to Amount","Tutara Vergi Dahil Et"
"Description Message","Açıklama Mesajı"
"This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount.","Bu mesaj, alt toplam (indirimden sonra) izin verilen minimum miktardan düşük olduğunda alışveriş sepetinde gösterilecektir."
"Error to Show in Shopping Cart","Sepette Gösterilecek Hata"
"Validate Each Address Separately in Multi-address Checkout","Çoklu Adresle Sipariş Bitirmede her adresi ayrı teyid et"
"Multi-address Description Message","Çoklu Adres Açıklama Mesajı"
"We'll use the default description above if you leave this empty.","Bunu boş bırakırsanız yukarıdaki varsayılan açıklamayı kullanacağız."
"Multi-address Error to Show in Shopping Cart","Sepette gösterilecek Çoklu Adres hatası"
"We'll use the default error above if you leave this empty.","Bunu boş bırakırsanız yukarıdaki varsayılan hatayı kullanacağız."
"Dashboard","Panel"
"Use Aggregated Data","Toplu Veriyi Kullan"
"Orders Cron Settings","Siparişler Cron Ayarları"
"Pending Payment Order Lifetime (minutes)","Bekleyen Ödeme Siparişi Ömrü (dakika)"
"Sales Emails","Satış E-postaları"
"Asynchronous sending","Eşzamansız gönderme"
"Enabled","Aktif edildi"
"New Order Confirmation Email Sender","Yeni Sipariş Onay E-posta Göndericisi"
"New Order Confirmation Template","Yeni Sipariş Onay Şablonu"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-posta şablonu, ""Varsayılan"" seçeneği seçildiğinde temanın geri düşümü temel alınarak seçildi."
"New Order Confirmation Template for Guest","Yeni Sipariş Onaylaması"
"Send Order Email Copy To","Sipariş E-posta Kopyasını Gönder"
"Comma-separated","Comma-separated"
"Send Order Email Copy Method","Sipariş E-posta Kopyalama Yöntemi"
"Order Comment Email Sender","Sipariş Açıklaması E-posta Göndericisi"
"Order Comment Email Template","Sipariş Açıklaması E-posta Şablonu"
"Order Comment Email Template for Guest","Misafir için Sipariş Açıklama E-posta Şablonu"
"Send Order Comment Email Copy To","Sipariş Açıklaması E-posta Kopyasını Gönder"
"Send Order Comments Email Copy Method","Sipariş Açıklamaları E-posta Kopya Yöntemi"
"Invoice Email Sender","Fatura E-posta Göndericisi"
"Invoice Email Template","Fatura E-posta Şablonu"
"Invoice Email Template for Guest","Misafir için Fatura E-posta Şablonu"
"Send Invoice Email Copy To","Fatura E-posta Kopyasını Gönder"
"Send Invoice Email Copy Method","Fatura E-posta Kopya Yöntemi"
"Invoice Comment Email Sender","Fatura Açıklama E-posta Göndericisi"
"Invoice Comment Email Template","Fatura Açıklama E-posta Şablonu"
"Invoice Comment Email Template for Guest","Misafir için Fatura Açıklama E-posta Şablonu"
"Send Invoice Comment Email Copy To","Fatura Açıklama E-posta Kopyasını Gönder"
"Send Invoice Comments Email Copy Method","Fatura Açıklama E-posta Kopya Yöntemi"
"Shipment","Teslimat"
"Shipment Email Sender","Kargo E-posta Göndericisi"
"Shipment Email Template","Kargo E-posta Şablonu"
"Shipment Email Template for Guest","Misafir için Teslimat E-posta Şablonu"
"Send Shipment Email Copy To","Kargo E-posta Kopyasını Gönder"
"Send Shipment Email Copy Method","Teslimat E-posta Kopya Yöntemi"
"Shipment Comments","Kargo Açıklamaları"
"Shipment Comment Email Sender","Kargo Açıklama E-posta Göndericisi"
"Shipment Comment Email Template","Kargo Açıklama E-posta Şablonu"
"Shipment Comment Email Template for Guest","Misafir için Teslimat Açıklama E-posta Şablonu"
"Send Shipment Comment Email Copy To","Kargo Açıklama E-posta Kopyasını Gönder"
"Send Shipment Comments Email Copy Method","Teslimat Açıklama E-posta Kopya Yöntemi"
"Credit Memo Email Sender","İade Kaydı E-Mail Göndericisi"
"Credit Memo Email Template","İade Kaydı E-Mail Teması"
"Credit Memo Email Template for Guest","Misafir için İade kaydı E-posta Şablonu"
"Send Credit Memo Email Copy To","İade Kaydı E-Mailinin Kopyasını Gönder"
"Send Credit Memo Email Copy Method","İade Kaydı Maili Kopya Yöntemi"
"Credit Memo Comment Email Sender","İade Kaydı Açıklama E-posta Göndericisi"
"Credit Memo Comment Email Template","İade Kaydı E-posta Şablonu"
"Credit Memo Comment Email Template for Guest","Misafir için İade kaydı Açıklama E-posta Şablonu"
"Send Credit Memo Comment Email Copy To","İade Kaydı Açıklama E-posta Kopyasını Gönder"
"Send Credit Memo Comments Email Copy Method","İade Kaydı Açıklama Maili Kopya Yöntemi"
"PDF Print-outs","PDF Yazdırma"
"Display Order ID in Header","Başlıkta Sipariş Numarası Göster"
"Customer Order Status Notification","Müşteri Sipariş Durum Bildirimi"
"Asynchronous indexing","Desteklenmeyen gönderi"
"Orders and Returns Search Form","Sipariş ve İade Arama Formu"
"Anchor Custom Title","Bağlantı Özel Başlığı"
"Template","Şablon"
"Default Template","Varsayılan Şablon"
"Name","Adı"
"Phone","Telefon Numarası"
"ZIP/Post Code","ZIP/Posta Kodu"
"Signed-up Point","Kayıtlı Nokta"
"Website","Web sitesi"
"Bill-to Name","Fatura adı"
"Created","Oluşturuldu"
"Invoice Date","Fatura Tarihi"
"Ship-to Name","İsme Sevk"
"Ship Date","Sevkiyat tarihi"
"Total Quantity","Toplam Miktar"
"Default Status","Varsayılan Sipariş Durum"
"State Code and Title","Devlet Kodu ve Unvanı"
"Item Status","Ürün Durumu"
"Original Price","Orjinal Fiyat"
"Tax Percent","Vergi Yüzdesi"
"All Store Views","Tüm Mağaza Görünümleri"
"PDF Credit Memos","PDF İade Kaydı"
"Purchase Point","Satın alma Noktası"
"Print Invoices","Faturaları Yazdır"
"Print Packing Slips","Baskı Paketleme Fişleri"
"Print Credit Memos","Tüm İade Kayıtlarını Yazdır"
"Print All","Hepsini Yazdır"
"Print Shipping Labels","Kargo Etiketlerini Yazdır"
"Purchase Date","Satın alma tarihi"
"Grand Total (Base)","Genel Toplam (Temel)"
"Grand Total (Purchased)","Genel toplam (satın alınmış)"
"Customer Email","Müşteri E-posta Adresi"
"Shipping and Handling","Teslimat & Teslim Alma"
"PDF Invoices","PDF Faturalar"
"PDF Shipments","PDF Gönderileri"
"PDF Creditmemos","PDF İade Kaydı"
"Refunds","İadeler"
"Create New Order for New Customer in %1","Create New Order for New Customer in %1"
"The invoice and the shipment  have been created. The shipping label cannot be created now.","The invoice and the shipment  have been created. The shipping label cannot be created now."
"We will authorize %1 after the payment is approved at the payment gateway.","We will authorize %1 after the payment is approved at the payment gateway."
"Order is suspended as its authorizing amount %1 is suspected to be fraudulent.","Order is suspended as its authorizing amount %1 is suspected to be fraudulent."
"An amount of %1 will be captured after being approved at the payment gateway.","An amount of %1 will be captured after being approved at the payment gateway."
"Captured amount of %1 online","Captured amount of %1 online"
"The order amount of %1 is pending approval on the payment gateway.","The order amount of %1 is pending approval on the payment gateway."
"Ordered amount of %1","Ordered amount of %1"
"Registered notification about captured amount of %1.","Registered notification about captured amount of %1."
"Order is suspended as its capture amount %1 is suspected to be fraudulent.","Order is suspended as its capture amount %1 is suspected to be fraudulent."
"We found an invalid quantity to ship for item ""%1"".","We found an invalid quantity to ship for item ""%1""."
"order-header","order-header"
"Something went wrong","Something went wrong"
"Page not found.","Page not found."
"Improves dashboard performance but provides non-realtime data.","Improves dashboard performance but provides non-realtime data."
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"Sample message.","Sample message."
"Limit per cron run","Limit per cron run"
"Grid Settings","Grid Settings"
"Use Aggregated Data (beta)","Use Aggregated Data (beta)"
"Could not save the comment.","Could not save the comment."
"Authorized amount of %1.","Authorized amount of %1."
"Authorized amount of %1. Order is suspended as its authorizing amount %1 is suspected to be fraudulent.","Authorized amount of %1. Order is suspended as its authorizing amount %1 is suspected to be fraudulent."
"Captured amount of %1 online.","Captured amount of %1 online."
"Requested product doesn't exist","Requested product doesn't exist"
"Product is not salable.","Product is not salable."
"Get available payment methods","Get available payment methods"
"Allow Zero GrandTotal","Allow Zero GrandTotal"
"Allow Zero GrandTotal for Creditmemo","Allow Zero GrandTotal for Creditmemo"
"Include Discount Amount","Include Discount Amount"
"The comment is missing. Enter and try again.","The comment is missing. Enter and try again."
"The ""%1"" coupon code isn't valid. Verify the code and try again.","The ""%1"" coupon code isn't valid. Verify the code and try again."
"The quote item ID needs to be received. Set the ID and try again.","The quote item ID needs to be received. Set the ID and try again."
"The quote item needs to be loaded. Load the item and try again.","The quote item needs to be loaded. Load the item and try again."
"The invoice can't be created without products. Add products and try again.","The invoice can't be created without products. Add products and try again."
"The invoice can't be saved at this time. Please try again later.","The invoice can't be saved at this time. Please try again later."
"The shipping method is missing. Select the shipping method and try again.","The shipping method is missing. Select the shipping method and try again."
"The payment method isn't selected. Enter the payment method and try again.","The payment method isn't selected. Enter the payment method and try again."
"An ID is needed. Set the ID and try again.","An ID is needed. Set the ID and try again."
"The entity that was requested doesn't exist. Verify the entity and try again.","The entity that was requested doesn't exist. Verify the entity and try again."
"The order address couldn't be deleted.","The order address couldn't be deleted."
"The order address couldn't be saved.","The order address couldn't be saved."
"The credit memo couldn't be deleted.","The credit memo couldn't be deleted."
"The credit memo couldn't be saved.","The credit memo couldn't be saved."
"The shipment couldn't be deleted.","The shipment couldn't be deleted."
"The shipment couldn't be saved.","The shipment couldn't be saved."
"The last status can't be changed and needs to stay assigned to its current state.","The last status can't be changed and needs to stay assigned to its current state."
"The status can't be unassigned because the status is currently used by an order.","The status can't be unassigned because the status is currently used by an order."
"The status needs to remain assigned to its state.","The status needs to remain assigned to its state."
"The ""%1"" validator is not an instance of the general validator interface.","The ""%1"" validator is not an instance of the general validator interface."
"The creditmemo contains incorrect product items.","The creditmemo contains incorrect product items."
"You can not refund shipping if there is no shipping amount.","You can not refund shipping if there is no shipping amount."
