"Credit Memos","Creditfacturen"
"Authorized amount of %1","Autorisatiewaarde %1"
" Transaction ID: ""%1"""," Transactie-ID: ""%1"""
"View","Bekijk"
"Group was removed","Groep is verwijderd"
"Changing address information will not recalculate shipping, tax or other order amount.","Het wijzigen van adresinformatie zal de verzending, BTW of andere bestelling-bedragen niet herberekenen."
"Comment Text","Tekst opmerking"
"Notify Customer by Email","Bericht klant per email"
"Visible on Storefront","Zichtbaar in winkelaanzicht"
"Customer","Klant"
"Notified","Genotificeerd"
"Not Notified","Niet ge-e-maild"
"No Payment Methods","Geen betaalmethodes"
"Order Comments","Bestellingsnotities"
"Apply Coupon Code","Pas kortingscode toe"
"Apply","Toepassen"
"Remove Coupon Code","Verwijder kortingscode"
"Remove","Verwijder"
"Address Information","Adres Gegevens"
"Payment &amp; Shipping Information","Betalings- en afleveringsgegevens"
"Order Total","Totaal"
"Order Currency:","Valuta van bestelling"
"Same As Billing Address","Zelfde als factuuradres"
"Select from existing customer addresses:","Selecteer uit bestaande klantenadressen"
"Add New Address","Adres toevoegen"
"Save in address book","Opslaan in adresboek"
"You don't need to select a shipping address.","Het is niet nodig om een afleveradres te selecteren."
"Gift Message for the Entire Order","Kadobericht voor hele bestelling"
"Leave this box blank if you don't want to leave a gift message for the entire order.","Laat dit vak leeg wanneer u geen cadeau boodschap wilt achterlaten voor de volledige bestelling."
"Row Subtotal","Subtotaal rij"
"Action","Actie"
"No ordered items","Geen bestelde artikelen"
"Update Items and Quantities","Producten en aantallen bijwerken"
"Total %1 product(s)","Totaal %1 product(en)"
"Subtotal:","Subtotaal:"
"Tier Pricing","Staffelprijzen"
"Custom Price","Speciale prijs"
"Please select","Selecteer"
"Move to Shopping Cart","Verplaatsen naar winkelwagen"
"Move to Wish List","Naar verlanglijst verplaatsen"
"Subscribe to Newsletter","Abonneren op de nieuwsbrief"
"Click to change shipping method","Klik om verzendmethode te veranderen"
"Sorry, no quotes are available for this order.","Geen quotes gevonden voor deze bestelling."
"Get shipping methods and rates","Verzendmethodes en tarieven ophalen"
"You don't need to select a shipping method.","U hoeft geen afleverwijze te selecteren."
"Customer's Activities","Klant activiteiten"
"Refresh","Vernieuwen"
"Item","Product"
"Add To Order","Aan bestelling toevoegen"
"Configure and Add to Order","Configureer en voeg toe aan bestelling"
"No items","Geen items"
"Append Comments","Opmerkingen bijvoegen"
"Email Order Confirmation","E-mail bestelbevestiging"
"Grand Total Excl. Tax","Eindtotaal excl. BTW"
"Grand Total Incl. Tax","Eindtotaal incl. BTW"
"Subtotal (Excl. Tax)","Subtotaal (excl. BTW)"
"Subtotal (Incl. Tax)","Subtotaal (incl. BTW)"
"Payment &amp; Shipping Method","Betaal- &amp; verzendmethode"
"Payment Information","Betaalgegevens"
"The order was placed using %1.","De bestelling is geplaatst met %1."
"Shipping Information","Bezorg Informatie"
"Items to Refund","Terug te betalen artikelen"
"Return to Stock","Terug naar voorraad"
"Qty to Refund","Aantal terug te betalen"
"Tax Amount","BTW-bedrag"
"Discount Amount","Korting"
"Row Total","Rijtotaal"
"No Items To Refund","Geen artikelen voor terugbetaling"
"Credit Memo Comments","Opmerkingen creditfactuur"
"Refund Totals","Totaal terugbetalingen"
"Email Copy of Credit Memo","E-mail kopie van creditfactuur"
"Please enter a positive number in this field.","Vul een positief getal invullen in dit veld."
"Items Refunded","Terugbetaalde artikelen"
"No Items","Geen artikelen"
"Memo Total","Memo totaal"
"Credit Memo History","Creditfactuur-geschiedenis"
"Credit Memo Totals","Creditfactuur-totalen"
"Customer Name: %1","Klantnaam: %1"
"Purchased From: %1","Gekocht bij: %1"
"Gift Message","Cadeau-bericht"
"From:","Van:"
"To:","Tot:"
"Message:","Bericht:"
"Shipping &amp; Handling","Aflevering &amp; Verwerking"
"Gift Options","Kado opties"
"Create Shipment","Verzending aanmaken"
"Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice.","Er zijn verschillende facuur en verzendingstypes voor bepaalde producten voor deze bestelling. U kan een verzending enkel aanmaken na het aanmaken van de factuur."
"%1","%1"
"Qty to Invoice","Aantal te factureren"
"Invoice History","Factuur-geschiedenis"
"Invoice Comments","Opmerkingen factuur"
"Invoice Totals","Factuur-totalen"
"Amount","Aantal"
"Capture Online","Betaling door betaalmethode verwerken"
"Capture Offline","Handmatig betaling verwerken"
"Not Capture","Geen betaling verwerken (onbetaald)"
"The invoice will be created offline without the payment gateway.","De factuur zal offline aangemaakt worden zonder gebruik van de betaalgateway."
"Email Copy of Invoice","E-mail kopie van factuur"
"Items Invoiced","Gefactureerde artikelen"
"Total Tax","Totaal BTW"
"From Name","Van naam"
"To Name","Aan naam"
"Status","status"
"Comment","Opmerking"
"Notification Not Applicable","notificatie niet van toepassing"
"Order & Account Information","Bestelling & Account informatie"
"The order confirmation email was sent","E-mail bestelbevestiging is verzonden"
"The order confirmation email is not sent","De bevestingingsemail van de bestelling werd niet verzonden"
"Order Date","Besteldatum"
"Order Date (%1)","Besteldatum (%1)"
"Purchased From","Gekocht via"
"Link to the New Order","Link naar de nieuwe bestelling"
"Link to the Previous Order","Link naar de vorige bestelling"
"Placed from IP","Verstuurd vanaf IP"
"%1 / %2 rate:","%1 / %2 tarief:"
"Edit Customer","Klant bewerken"
"Customer Name","Naam klant"
"Customer Group","Klantengroep"
"Notes for this Order","Notities voor deze Order"
"Comment added","Opmerking toegevoegd"
"Transaction Data","Transactiedatum"
"Transaction ID","Transactie-ID"
"Parent Transaction ID","Bovenliggende transactie-ID"
"Order ID","Bestelling ID"
"Transaction Type","Transactietype"
"Is Closed","Afgerond"
"Created At","Aangemaakt Op"
"Child Transactions","Bijbehorende transacties"
"Transaction Details","Transactiedetails"
"Items","Producten"
"Gift Message for this Order","Kadobericht voor deze bestelling"
"Shipped By","Verzonden door"
"Tracking Number","Tracking-nummer"
"Billing Last Name","Achternaam op factuur"
"Find Order By","Vind bestelling op"
"ZIP Code","Postcode"
"Billing ZIP Code","Factuur postcode"
"Continue","Doorgaan"
"Print All Refunds","Alle terugbetalingen printen"
"Refund #","Restitutie #"
"Print Refund","Restitutie printen"
"Product Name","Product Naam"
"Order #","Ordernr."
"Date","Datum"
"Ship To","Verzenden aan"
"Actions","Acties"
"View Order","Bestelling bekijken"
"You have placed no orders.","U hebt tot op heden nog geen bestellingen geplaatst."
"No shipping information available","Geen verzendgegevens beschikbaar"
"Print Order","Bestelling printen"
"Print All Invoices","Alle facturen printen"
"Invoice #","Factuurnummer"
"Print Invoice","Factuur printen"
"Qty Invoiced","Gefactureerd aantal"
"Close","Sluiten"
"About Your Order","Over uw bestelling"
"<span class=""label"">Order Date:</span> %1","<span class=""label"">Datum:</span> %1"
"Refund #%1","Restitutie #%1"
"Shipment #%1","Zending #%1"
"Qty Shipped","Verzonden aantal"
"Recent Orders","Recente orders"
"View All","Bekijk alles"
"Gift Message for This Order","Kadobericht voor deze bestelling"
"Recently Ordered","Recent besteld"
"Add to Cart","In Winkelwagen"
"Search","Zoek"
"Credit memo for your %store_name order","Creditfactuur voor uw %store_name bestelling"
"%name,","%name,"
"Thank you for your order from %store_name.","Bedankt voor uw bestelling bij %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","U kunt de status van uw bestelling controleren door in te <a href=""%account_url"">loggen op uw account</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Indien u vragen heeft over uw bestelling kunt u ons e-mailen op <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","of telefonisch op <a href=""tel:%store_phone"">%store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Onze openingstijden zijn <span class=""no-link"">%store_hours</span>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Uw creditfactuur #%creditmemo_id voor bestelling #%order_id"
"Billing Info","Factuuradres"
"Shipping Info","Verzendinformatie"
"Update to your %store_name credit memo","Update van uw %store_name creditfactuur"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Uw bestelling #%increment_id werd geupdate met volgende status <strong>%order_status</strong>."
"Invoice for your %store_name order","Factuur voor uw %store_name bestelling"
"Your Invoice #%invoice_id for Order #%order_id","Uw factuur #%invoice_id voor bestelling #%order_id"
"Update to your %store_name invoice","Update van uw %store_name factuur"
"Your %store_name order confirmation","Uw %store_name bestelbevestiging"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","Zodra we uw pakket verzenden, sturen wij u een Track- en Tracenummer."
"Your Order <span class=""no-link"">#%increment_id</span>","Uw bestelling <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Geplaatst op <span class=""no-link"">%created_at</span>"
"Once your package ships we will send an email with a link to track your order.","Zodra uw pakket verstuurd is sturen we een email met een link om uw bestelling te volgen."
"Update to your %store_name order","Update van uw %store_name bestelling"
"Your %store_name order has shipped","Uw %store_name bestelling is verzonden"
"Your shipping confirmation is below. Thank you again for your business.","Hieronder kunt u uw verzendbevestiging vinden."
"Your Shipment #%shipment_id for Order #%order_id","Uw verzending #%shipment_id voor bestelling #%order_id"
"Update to your %store_name shipment","Update van uw %store_name verzending"
"Gift Options for ","Cadeau opties voor "
"Add Products","Voeg producten toe"
"You have item changes","Er zijn productwijzigingen"
"Ok","OK"
"Operations","Bewerkingen"
"Create","Creëren"
"Send Order Email","Verstuur bestelling email"
"Accept or Deny Payment","Accepteer of weiger betaling"
"Send Sales Emails","Stuur verkoopemails"
"Sales Section","Verkoopsectie"
"Sales Emails Section","Verkoop E-Mails sectie"
"General","Algemeen"
"Hide Customer IP","Verberg klant-IP"
"Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos.","Kies of een het IP van de klant in orders, facturen, verzendingen en creditfacturen wordt weergegeven."
"Checkout Totals Sort Order","Sorteervolgorde kassa-totalen"
"Allow Reorder","Opnieuw bestellen toestaan"
"Invoice and Packing Slip Design","Factuur- en pakbon-ontwerp"
"Logo for PDF Print-outs (200x50)","Logo voor PDF afdrukken (200x50)"
"Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.","Uw standaard logo zal gebruikt worden in PDF en HTML documenten.<br />(jpeg, tiff, png) Indien uw pdf afbeelding vervormd is, probeer een groter bestandsformaat van afbeelding te gebruiken."
"Logo for HTML Print View","Logo voor HTML afdruk-preview"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","Logo voor uitsluitend HTML-documenten. Leeglaten om het standaardlogo te gebruiken.<br />(jpeg, gif, png)"
"Address","Adres"
"Minimum Order Amount","Minimum bestelbedrag"
"Enable","Activeer"
"Minimum Amount","Minimum bestelbedrag"
"Subtotal after discount","Subtotaal na korting"
"Include Tax to Amount","BTW toevoegen aan bedrag"
"Description Message","Omschrijving"
"This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount.","Dit bericht wordt weergegeven in het winkelwagentje wanneer het subtotaal (na korting) lager is dan het minimaal toegestane bedrag."
"Error to Show in Shopping Cart","Foutmelding te tonen in winkelwagen"
"Validate Each Address Separately in Multi-address Checkout","Elk adres apart valideren bij Afrekenen met meer adressen"
"Multi-address Description Message","Beschrijving bij meer adressen"
"We'll use the default description above if you leave this empty.","De hierboven weergegeven standaard beschrijving wordt gebruikt, als u dit leeg laat."
"Multi-address Error to Show in Shopping Cart","Meerdere-adressen: Fout om te tonen in de Winkelwagen"
"We'll use the default error above if you leave this empty.","De hierboven weergegeven standaard foutmelding zal gebruikt worden, als u dit leeg laat."
"Dashboard","Dashboard"
"Use Aggregated Data","Toon samengevatte gegevens"
"Orders Cron Settings","Bestellingen Cron instellingen"
"Pending Payment Order Lifetime (minutes)","Levensduur bestelling bij betaling in behandeling (in minuten)"
"Sales Emails","E-mails voor verkoop"
"Asynchronous sending","Asynchrone verzenden"
"Enabled","Ingeschakeld"
"New Order Confirmation Email Sender","Afzender Nieuwe Bestelbevestiging E-mail"
"New Order Confirmation Template","Sjabloon Nieuwe Bestelbevestiging"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-mail sjabloon dat gekozen wordt op basis van thema fallback als de optie ""Standaard"" is geselecteerd."
"New Order Confirmation Template for Guest","Sjabloon Bestelbevestiging voor Gast"
"Send Order Email Copy To","Kopie bestelling mailen aan"
"Comma-separated","Komma gescheiden"
"Send Order Email Copy Method","Manier om kopie van bestelling te mailen"
"Order Comment Email Sender","Afzender Bestelling Opmerking E-mail"
"Order Comment Email Template","Bestelling opmerking E-mailtemplate"
"Order Comment Email Template for Guest","Sjabloon e-mail met bestellingsnotitie voor gast"
"Send Order Comment Email Copy To","Kopie van bestellingsnotitie mailen aan"
"Send Order Comments Email Copy Method","Stuur bestel-opmerkingen e-mail kopie methode"
"Invoice Email Sender","Afzender Factuur E-mail"
"Invoice Email Template","Template e-mail factuur"
"Invoice Email Template for Guest","Sjabloon e-mail factuur voor gast"
"Send Invoice Email Copy To","Kopie van factuur mailen aan"
"Send Invoice Email Copy Method","Stuur factuur-opmerkingen e-mail methode"
"Invoice Comment Email Sender","Afzender Factuur Opmerking E-mail"
"Invoice Comment Email Template","Factuur-opmerking e-mailtemplate"
"Invoice Comment Email Template for Guest","E-mail-sjabloon factuurnotitie voor gast"
"Send Invoice Comment Email Copy To","Kopie van factuurnotitie mailen aan"
"Send Invoice Comments Email Copy Method","Stuur factuur-opmerkingen e-mail kopie methode"
"Shipment","Verzending"
"Shipment Email Sender","Afzender Verzending E-mail"
"Shipment Email Template","Sjabloon e-mail verzending"
"Shipment Email Template for Guest","Sjabloon e-mail verzending voor gast"
"Send Shipment Email Copy To","Kopie verzending mailen aan"
"Send Shipment Email Copy Method","Stuur verzending e-mail kopie methode"
"Shipment Comments","Opmerkingen verzending"
"Shipment Comment Email Sender","Afzender Verzending Opmerking E-mail"
"Shipment Comment Email Template","Sjabloon e-mail verzendnotitie"
"Shipment Comment Email Template for Guest","Sjabloon e-mail verzendnotitie voor gast"
"Send Shipment Comment Email Copy To","Kopie van verzendnotitie mailen aan"
"Send Shipment Comments Email Copy Method","Stuur verzending-opmerkingen e-mail kopie methode"
"Credit Memo Email Sender","Afzender Creditfactuur E-mail"
"Credit Memo Email Template","Sjabloon creditfactuur"
"Credit Memo Email Template for Guest","Sjabloon creditfactuur aan gast"
"Send Credit Memo Email Copy To","Kopie van creditfactuur mailen aan"
"Send Credit Memo Email Copy Method","Verstuur creditfactuur-opmerkingen e-mail methode"
"Credit Memo Comment Email Sender","Afzender Creditfactuur Opmerking E-mail"
"Credit Memo Comment Email Template","Sjabloon e-mail notitie bij creditfactuur"
"Credit Memo Comment Email Template for Guest","E-mail-sjabloon notitie bij creditfactuur voor gast"
"Send Credit Memo Comment Email Copy To","Kopie notitie bij creditfactuur mailen aan"
"Send Credit Memo Comments Email Copy Method","Verstuur creditfactuur-opmerkingen e-mail kopie methode"
"PDF Print-outs","PDF afdrukken"
"Display Order ID in Header","Toon Bestel-ID in kopregel"
"Customer Order Status Notification","Melding bestelstatus van klant"
"Asynchronous indexing","Asynchrone indexeren"
"Orders and Returns Search Form","Bestellingen en terugsturingen zoekformulier"
"Anchor Custom Title","Zet eigen titel vast"
"Template","Template"
"Default Template","Standaard template"
"Name","Naam"
"Phone","Telefoonnummer"
"ZIP/Post Code","Postcode"
"Signed-up Point","Inschrijvingspunt"
"Website","Website"
"Bill-to Name","Factuurnaam"
"Created","Aangemaakt"
"Invoice Date","Factuurdatum"
"Ship-to Name","Verzendnaam"
"Ship Date","Verzenddatum"
"Total Quantity","Totaal aantal"
"Default Status","Standaard Status"
"State Code and Title","Staat code en titel"
"Item Status","Artikelstatus"
"Original Price","Oorspronkelijke prijs"
"Tax Percent","BTW-percentage"
"All Store Views","Alle Winkelaanzichten"
"PDF Credit Memos","PDF creditfacturen"
"Purchase Point","Verkooppunt"
"Print Invoices","Facturen printen"
"Print Packing Slips","Pakbonnen afdrukken"
"Print Credit Memos","Alle creditfacturen printen"
"Print All","Alles printen"
"Print Shipping Labels","Print verzendlabels"
"Purchase Date","Aankoopdatum"
"Grand Total (Base)","Eindtotaal (Basis)"
"Grand Total (Purchased)","Eindtotaal (Gekocht)"
"Customer Email","Klant e-mail"
"Shipping and Handling","Verzend- en administratiekosten"
"PDF Invoices","PDF facturen"
"PDF Shipments","PDF-zendingen"
"PDF Creditmemos","PDF-Creditfacturen"
"Refunds","Terugbetalingen"
"Create New Order for New Customer in %1","Maak een nieuwe bestelling aan voor nieuwe klant in %1"
"The invoice and the shipment  have been created. The shipping label cannot be created now.","De factuur en de afleveropdracht zijn aangemaakt. Het verzendlabel kan momenteel niet aangemaakt worden."
"We will authorize %1 after the payment is approved at the payment gateway.","We zullen %1 toestaan nadat de betaling is goedgekeurd via de betaalgateway."
"Order is suspended as its authorizing amount %1 is suspected to be fraudulent.","Order is geschorst omdat het te authoriseren bedrag %1 als frauduleus gemarkeerd is."
"An amount of %1 will be captured after being approved at the payment gateway.","Een bedrag van %1 zal worden vastgelegd nadat het is goedgekeurd via de betaalgateway."
"Captured amount of %1 online","Bedrag van %1 via betaalplatform geregistreerd"
"The order amount of %1 is pending approval on the payment gateway.","Het bestelde aantal van %1 wacht op goedkeuring van de betaal gateway."
"Ordered amount of %1","Besteld totaal van %1"
"Registered notification about captured amount of %1.","Notificatie ontvangen: Betaling vastgelegd voor %1."
"Order is suspended as its capture amount %1 is suspected to be fraudulent.","Bestelling is uitgesteld aangezienhet geïnde bedrag %1 frauduleus lijkt."
"We found an invalid quantity to ship for item ""%1"".","We vonden een ongeldig aantal om te verzenden voor product ""%1""."
"order-header","order-header"
"Something went wrong","Er ging iets mis"
"Page not found.","Pagina niet gevonden."
"Improves dashboard performance but provides non-realtime data.","Verbetert de prestaties van het dashboard, maar biedt geen realtime gegevens."
"Invalid Form Key. Please refresh the page.","Ongeldige formuliersleutel. Ververs de pagina."
"Sample message.","Voorbeeld bericht."
"Limit per cron run","Limiet per cron run"
"Grid Settings","Tabel instellingen"
"Use Aggregated Data (beta)","Toon recente data (beta)"
"Could not save the comment.","Opmerking kon niet opgeslagen worden."
"Authorized amount of %1.","Autorisatiewaarde %1."
"Authorized amount of %1. Order is suspended as its authorizing amount %1 is suspected to be fraudulent.","Goedgekeurd bedrag van %1. Order is aangehouden omdat het te authoriseren bedrag %1 als frauduleus gemarkeerd is."
"Captured amount of %1 online.","Bedrag van %1 via betaalplatform geregistreerd."
"Requested product doesn't exist","Gevraagde product bestaat niet"
"Product is not salable.","Product is niet verkoopbaar."
"Get available payment methods","Haal een lijst op met beschikbaar betaalmethoden"
"Allow Zero GrandTotal","Sta Zero GrandTotal toe"
"Allow Zero GrandTotal for Creditmemo","Sta Zero GrandTotal toe voor Creditfactuur"
"Include Discount Amount","Voeg kortingsbedrag toe"
"The comment is missing. Enter and try again.","De opmerking ontbreekt. Probeer het opnieuw."
"The ""%1"" coupon code isn't valid. Verify the code and try again.","De kortingscode ""%1"" is niet geldig. Controleer de code en probeer het opnieuw."
"The quote item ID needs to be received. Set the ID and try again.","Het offerte item ID moet worden ontvangen. Stel het ID in en probeer het opnieuw."
"The quote item needs to be loaded. Load the item and try again.","Het offerte item moet geladen worden. Laad het item en probeer het opnieuw."
"The invoice can't be created without products. Add products and try again.","De factuur kan niet worden gemaakt zonder producten. Voeg producten toe en probeer het opnieuw."
"The invoice can't be saved at this time. Please try again later.","De factuur kan op dit moment niet worden opgeslagen. Probeer het later opnieuw."
"The shipping method is missing. Select the shipping method and try again.","De verzendmethode ontbreekt. Selecteer de verzendmethode en probeer het opnieuw."
"The payment method isn't selected. Enter the payment method and try again.","De betaalmethode is niet geselecteerd. Voer de betaalmethode in en probeer het opnieuw."
"An ID is needed. Set the ID and try again.","Een ID is nodig. Stel het ID in en probeer het opnieuw."
"The entity that was requested doesn't exist. Verify the entity and try again.","De aangevraagde entiteit bestaat niet. Controleer de entiteit en probeer het opnieuw."
"The order address couldn't be deleted.","Het besteladres kan niet worden verwijderd."
"The order address couldn't be saved.","Het besteladres kan niet worden opgeslagen."
"The credit memo couldn't be deleted.","Kan de creditnota niet verwijderen."
"The credit memo couldn't be saved.","Kan de creditnota niet opslaan."
"The shipment couldn't be deleted.","Kan de zending niet verwijderen."
"The shipment couldn't be saved.","Kan de zending niet opslaan."
"The last status can't be changed and needs to stay assigned to its current state.","De laatste status kan niet worden gewijzigd en moet toegewezen blijven aan de huidige staat."
"The status can't be unassigned because the status is currently used by an order.","De status kan niet worden losgekoppeld omdat de status momenteel wordt gebruikt door een bestelling."
"The status needs to remain assigned to its state.","De status moet aan zijn staat toegewezen blijven."
"The ""%1"" validator is not an instance of the general validator interface.","De ""%1"" validator is geen instantie van de algemene validatorinterface."
"The creditmemo contains incorrect product items.","De creditfactuur bevat onjuiste productitems."
"You can not refund shipping if there is no shipping amount.","U kunt de verzending niet terugbetalen als er geen verzendbedrag is."
