"Credit Memos","Notas de Crédito"
"Email Copy of Invoice","Email Copy of Invoice"
"Items Invoiced","Items Invoiced"
"Total Tax","Total Tax"
"From Name","Remetente"
"To Name","Destinatário"
"Status","Estado"
"Comment","Comentário"
"Notification Not Applicable","Notification Not Applicable"
"Order & Account Information","Order & Account Information"
"The order confirmation email was sent","The order confirmation email was sent"
"The order confirmation email is not sent","The order confirmation email is not sent"
"Order Date","Data da Encomenda"
"Order Date (%1)","Data da encomenda (%1)"
"Purchased From","Comprado De"
"Link to the New Order","Link to the New Order"
"Link to the Previous Order","Link to the Previous Order"
"Placed from IP","Placed from IP"
"%1 / %2 rate:","%1 / %2 rate:"
"Edit Customer","Edit Customer"
"Customer Name","Nome de Cliente"
"Customer Group","Grupos de Clientes"
"Notes for this Order","Notes for this Order"
"Comment added","Comentário adicionado"
"Transaction Data","Data da transação"
"Transaction ID","ID da Transação"
"Parent Transaction ID","ID da Última Transação"
"Order ID","ID da Encomenda"
"Transaction Type","Tipo de Transação"
"Is Closed","Está fechado"
"Created At","Criado em"
"Child Transactions","Child Transactions"
"Transaction Details","Transaction Details"
"Items","Itens"
"Gift Message for this Order","Gift Message for this Order"
"Shipped By","Enviado por"
"Tracking Number","Número de envio"
"Billing Last Name","Último Nome de Faturação"
"Find Order By","Find Order By"
"ZIP Code","Código postal"
"Billing ZIP Code","Billing ZIP Code"
"Continue","Continuar"
"Print All Refunds","Imprimir todos os reembolsos"
"Refund #","Reembolso #"
"Print Refund","Imprimir reembolso"
"Product Name","Nome do Produto"
"Order #","Encomenda #"
"Date","Data"
"Ship To","Enviar para"
"Actions","Ações"
"View Order","Ver Encomenda"
"You have placed no orders.","You have placed no orders."
"No shipping information available","Não há informações de expedição disponíveis"
"Print Order","Imprimir encomenda"
"Print All Invoices","Imprimir todas as faturas"
"Invoice #","Fatura #"
"Print Invoice","Imprimir fatura"
"Qty Invoiced","Qtd Faturada"
"Close","Fechar"
"About Your Order","Sobre a sua encomenda"
"<span class=""label"">Order Date:</span> %1","<span class=""label"">Data da encomenda:</span> %1"
"Refund #%1","Reembolso #%1"
"Shipment #%1","Expedição #%1"
"Qty Shipped","Qtd Enviada"
"Recent Orders","Encomendas recentes"
"View All","Ver tudo"
"Gift Message for This Order","Mensagem de oferta para esta encomenda"
"Recently Ordered","Recentemente encomendado"
"Add to Cart","Adicionar ao carrinho"
"Search","Pesquisa"
"Credit memo for your %store_name order","Nota de crédito para a sua encomenda em %store_name"
"%name,","%name,"
"Thank you for your order from %store_name.","Obrigado pela sua encomenda em %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Pode verificar o estado da sua encomenda ao <a href=""%account_url"">iniciar sessão</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Se tiver alguma questão sobre a sua encomenda, pode enviar-nos um email para <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","or call us at <a href=""tel:%store_phone"">%store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Our hours are <span class=""no-link"">%store_hours</span>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","A sua Nota de Crédito #%creditmemo_id para a Encomenda #%order_id"
"Billing Info","Informação de faturação"
"Shipping Info","Shipping Info"
"Update to your %store_name credit memo","Atualizar a sua nota de crédito em %store_name"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","A sua encomenda #%increment_id foi atualizada para o estado <strong>%order_status</strong>."
"Invoice for your %store_name order","Fatura para a sua encomenda em %store_name"
"Your Invoice #%invoice_id for Order #%order_id","A sua fatura #%invoice_id para a Encomenda #%order_id"
"Update to your %store_name invoice","Atualizar a sua fatura em %store_name"
"Your %store_name order confirmation","Confirmação de encomenda em %store_name"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","Assim que a sua encomenda for enviada irá receber um código para que possa acompanhar a mesma no seu trajeto."
"Your Order <span class=""no-link"">#%increment_id</span>","A sua encomenda <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Efetuada em <span class=""no-link"">%created_at</span>"
"Once your package ships we will send an email with a link to track your order.","Assim que a sua encomenda for enviada irá receber um e-mail com um link para que possa acompanhar a mesma no seu trajeto."
"Update to your %store_name order","Atualização da sua encomenda em %store_name"
"Your %store_name order has shipped","A sua encomenda em %store_name foi expedida"
"Your shipping confirmation is below. Thank you again for your business.","A confirmação de envio encontra-se na secção seguinte. Agradecemos novamente a sua compra."
"Your Shipment #%shipment_id for Order #%order_id","A sua Expedição #%shipment_id para a Encomenda #%order_id"
"Update to your %store_name shipment","Atualização de expedição em %store_name"
"Gift Options for ","Opções de oferta para "
"Add Products","Adicionar produtos"
"You have item changes","You have item changes"
"Ok","Ok"
"Operations","Operações"
"Create","Criar"
"Send Order Email","Send Order Email"
"Accept or Deny Payment","Accept or Deny Payment"
"Send Sales Emails","Send Sales Emails"
"Sales Section","Sales Section"
"Sales Emails Section","Sales Emails Section"
"General","Geral"
"Hide Customer IP","Hide Customer IP"
"Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos.","Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos."
"Checkout Totals Sort Order","Checkout Totals Sort Order"
"Allow Reorder","Allow Reorder"
"Invoice and Packing Slip Design","Invoice and Packing Slip Design"
"Logo for PDF Print-outs (200x50)","Logo for PDF Print-outs (200x50)"
"Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.","O seu logotipo padrão será usado em documentos PDF e HTML. <br /> (jpeg, tiff, png) Se a imagem do pdf for distorcida, tente usar uma imagem de tamanho de arquivo maior."
"Logo for HTML Print View","Logo for HTML Print View"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","Logo apenas para documentos HTML. Se estiver vazio, o padrão será usado. <br /> (jpeg, gif, png)"
"Address","Morada"
"Minimum Order Amount","Valor Mínimo do Pedido"
"Enable","Ativar"
"Minimum Amount","Valor Mínimo"
"Subtotal after discount","Subtotal after discount"
"Include Tax to Amount","Include Tax to Amount"
"Description Message","Description Message"
"This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount.","This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount."
"Error to Show in Shopping Cart","Error to Show in Shopping Cart"
"Validate Each Address Separately in Multi-address Checkout","Validate Each Address Separately in Multi-address Checkout"
"Multi-address Description Message","Multi-address Description Message"
"We'll use the default description above if you leave this empty.","We'll use the default description above if you leave this empty."
"Multi-address Error to Show in Shopping Cart","Multi-address Error to Show in Shopping Cart"
"We'll use the default error above if you leave this empty.","We'll use the default error above if you leave this empty."
"Dashboard","Painel de Administração"
"Use Aggregated Data","Use Aggregated Data"
"Orders Cron Settings","Orders Cron Settings"
"Pending Payment Order Lifetime (minutes)","Pending Payment Order Lifetime (minutes)"
"Sales Emails","Sales Emails"
"Asynchronous sending","Asynchronous sending"
"Enabled","Ativo"
"New Order Confirmation Email Sender","New Order Confirmation Email Sender"
"New Order Confirmation Template","New Order Confirmation Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","O template de email é escolhido com base no tema de recurso quando a opção ""Default"" está selecionada."
"New Order Confirmation Template for Guest","New Order Confirmation Template for Guest"
"Send Order Email Copy To","Send Order Email Copy To"
"Comma-separated","Comma-separated"
"Send Order Email Copy Method","Send Order Email Copy Method"
"Order Comment Email Sender","Order Comment Email Sender"
"Order Comment Email Template","Order Comment Email Template"
"Order Comment Email Template for Guest","Order Comment Email Template for Guest"
"Send Order Comment Email Copy To","Send Order Comment Email Copy To"
"Send Order Comments Email Copy Method","Send Order Comments Email Copy Method"
"Invoice Email Sender","Invoice Email Sender"
"Invoice Email Template","Invoice Email Template"
"Invoice Email Template for Guest","Invoice Email Template for Guest"
"Send Invoice Email Copy To","Send Invoice Email Copy To"
"Send Invoice Email Copy Method","Send Invoice Email Copy Method"
"Invoice Comment Email Sender","Invoice Comment Email Sender"
"Invoice Comment Email Template","Invoice Comment Email Template"
"Invoice Comment Email Template for Guest","Invoice Comment Email Template for Guest"
"Send Invoice Comment Email Copy To","Send Invoice Comment Email Copy To"
"Send Invoice Comments Email Copy Method","Send Invoice Comments Email Copy Method"
"Shipment","Expedição"
"Shipment Email Sender","Shipment Email Sender"
"Shipment Email Template","Shipment Email Template"
"Shipment Email Template for Guest","Shipment Email Template for Guest"
"Send Shipment Email Copy To","Send Shipment Email Copy To"
"Send Shipment Email Copy Method","Send Shipment Email Copy Method"
"Shipment Comments","Comentários expedição"
"Shipment Comment Email Sender","Shipment Comment Email Sender"
"Shipment Comment Email Template","Shipment Comment Email Template"
"Shipment Comment Email Template for Guest","Shipment Comment Email Template for Guest"
"Send Shipment Comment Email Copy To","Send Shipment Comment Email Copy To"
"Send Shipment Comments Email Copy Method","Send Shipment Comments Email Copy Method"
"Credit Memo Email Sender","Credit Memo Email Sender"
"Credit Memo Email Template","Credit Memo Email Template"
"Credit Memo Email Template for Guest","Credit Memo Email Template for Guest"
"Send Credit Memo Email Copy To","Send Credit Memo Email Copy To"
"Send Credit Memo Email Copy Method","Send Credit Memo Email Copy Method"
"Credit Memo Comment Email Sender","Credit Memo Comment Email Sender"
"Credit Memo Comment Email Template","Credit Memo Comment Email Template"
"Credit Memo Comment Email Template for Guest","Credit Memo Comment Email Template for Guest"
"Send Credit Memo Comment Email Copy To","Send Credit Memo Comment Email Copy To"
"Send Credit Memo Comments Email Copy Method","Send Credit Memo Comments Email Copy Method"
"PDF Print-outs","Impressos PDF"
"Display Order ID in Header","Display Order ID in Header"
"Customer Order Status Notification","Customer Order Status Notification"
"Asynchronous indexing","Asynchronous indexing"
"Orders and Returns Search Form","Formulário de Pesquisa de Pedidos e Devoluções"
"Anchor Custom Title","Título Personalizado da Âncora"
"Template","Modelo"
"Default Template","Template Pré-definido"
"Name","Nome"
"Phone","Telefone"
"ZIP/Post Code","Código Postal"
"Signed-up Point","Signed-up Point"
"Website","Site"
"Bill-to Name","Nome do Destinatário de Faturação"
"Created","Criado"
"Invoice Date","Data da Fatura"
"Ship-to Name","Nome do Destinatário de Envio"
"Ship Date","Data de Envio"
"Total Quantity","Quantidade Total"
"Default Status","Estado predefinido"
"State Code and Title","State Code and Title"
"Item Status","Estado do artigo"
"Original Price","Preço original"
"Tax Percent","Percentagem de taxa"
"All Store Views","Todas as Vistas de Loja"
"PDF Credit Memos","Notas de Crédito em PDF"
"Purchase Point","Ponto de Compra"
"Print Invoices","Imprimir Facturas"
"Print Packing Slips","Imprimir Documento de Envio"
"Print Credit Memos","Imprimir Notas de Crédito"
"Print All","Imprimir Tudo"
"Print Shipping Labels","Imprimir as Etiquetas de Envio"
"Purchase Date","Data da Compra"
"Grand Total (Base)","Total (Base)"
"Grand Total (Purchased)","Total (Comprado)"
"Customer Email","Email do Cliente"
"Shipping and Handling","Transporte e Processamento"
"PDF Invoices","Faturas PDF"
"PDF Shipments","Expedições PDF"
"PDF Creditmemos","PDF Notas de crédito"
"Refunds","Reembolsos"
"Create New Order for New Customer in %1","Create New Order for New Customer in %1"
"The invoice and the shipment  have been created. The shipping label cannot be created now.","The invoice and the shipment  have been created. The shipping label cannot be created now."
"We will authorize %1 after the payment is approved at the payment gateway.","We will authorize %1 after the payment is approved at the payment gateway."
"Order is suspended as its authorizing amount %1 is suspected to be fraudulent.","Order is suspended as its authorizing amount %1 is suspected to be fraudulent."
"An amount of %1 will be captured after being approved at the payment gateway.","An amount of %1 will be captured after being approved at the payment gateway."
"Captured amount of %1 online","Captured amount of %1 online"
"The order amount of %1 is pending approval on the payment gateway.","The order amount of %1 is pending approval on the payment gateway."
"Ordered amount of %1","Ordered amount of %1"
"Registered notification about captured amount of %1.","Registered notification about captured amount of %1."
"Order is suspended as its capture amount %1 is suspected to be fraudulent.","Order is suspended as its capture amount %1 is suspected to be fraudulent."
"We found an invalid quantity to ship for item ""%1"".","We found an invalid quantity to ship for item ""%1""."
"order-header","order-header"
"Something went wrong","Something went wrong"
"Page not found.","Page not found."
"Improves dashboard performance but provides non-realtime data.","Improves dashboard performance but provides non-realtime data."
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"Sample message.","Sample message."
"Limit per cron run","Limit per cron run"
"Grid Settings","Grid Settings"
"Use Aggregated Data (beta)","Use Aggregated Data (beta)"
"Could not save the comment.","Could not save the comment."
"Authorized amount of %1.","Authorized amount of %1."
"Authorized amount of %1. Order is suspended as its authorizing amount %1 is suspected to be fraudulent.","Authorized amount of %1. Order is suspended as its authorizing amount %1 is suspected to be fraudulent."
"Captured amount of %1 online.","Captured amount of %1 online."
"Requested product doesn't exist","Requested product doesn't exist"
"Product is not salable.","Product is not salable."
"Get available payment methods","Get available payment methods"
"Allow Zero GrandTotal","Allow Zero GrandTotal"
"Allow Zero GrandTotal for Creditmemo","Allow Zero GrandTotal for Creditmemo"
"Include Discount Amount","Include Discount Amount"
"The comment is missing. Enter and try again.","The comment is missing. Enter and try again."
"The ""%1"" coupon code isn't valid. Verify the code and try again.","The ""%1"" coupon code isn't valid. Verify the code and try again."
"The quote item ID needs to be received. Set the ID and try again.","The quote item ID needs to be received. Set the ID and try again."
"The quote item needs to be loaded. Load the item and try again.","The quote item needs to be loaded. Load the item and try again."
"The invoice can't be created without products. Add products and try again.","The invoice can't be created without products. Add products and try again."
"The invoice can't be saved at this time. Please try again later.","The invoice can't be saved at this time. Please try again later."
"The shipping method is missing. Select the shipping method and try again.","The shipping method is missing. Select the shipping method and try again."
"The payment method isn't selected. Enter the payment method and try again.","The payment method isn't selected. Enter the payment method and try again."
"An ID is needed. Set the ID and try again.","An ID is needed. Set the ID and try again."
"The entity that was requested doesn't exist. Verify the entity and try again.","The entity that was requested doesn't exist. Verify the entity and try again."
"The order address couldn't be deleted.","The order address couldn't be deleted."
"The order address couldn't be saved.","The order address couldn't be saved."
"The credit memo couldn't be deleted.","The credit memo couldn't be deleted."
"The credit memo couldn't be saved.","The credit memo couldn't be saved."
"The shipment couldn't be deleted.","The shipment couldn't be deleted."
"The shipment couldn't be saved.","The shipment couldn't be saved."
"The last status can't be changed and needs to stay assigned to its current state.","The last status can't be changed and needs to stay assigned to its current state."
"The status can't be unassigned because the status is currently used by an order.","The status can't be unassigned because the status is currently used by an order."
"The status needs to remain assigned to its state.","The status needs to remain assigned to its state."
"The ""%1"" validator is not an instance of the general validator interface.","The ""%1"" validator is not an instance of the general validator interface."
"The creditmemo contains incorrect product items.","The creditmemo contains incorrect product items."
"You can not refund shipping if there is no shipping amount.","You can not refund shipping if there is no shipping amount."
