"Credit Memos","Memorandos de Crédito"
"Customer's Activities","Atividades do cliente"
"Refresh","Atualizar"
"Item","Item"
"Add To Order","Adicionar ao pedido"
"Configure and Add to Order","Configurar e adicionar ao pedido"
"No items","Não há itens"
"Append Comments","Acrescentar comentários"
"Email Order Confirmation","E-mail de confirmação de pedido"
"Grand Total Excl. Tax","Preço Final Sem Impostos"
"Grand Total Incl. Tax","Preço Final Com Impostos"
"Subtotal (Excl. Tax)","Subtotal (Sem Impostos)"
"Subtotal (Incl. Tax)","Subtotal (Incluindo Impostos)"
"Payment &amp; Shipping Method","Pagamento &amp; método de envio"
"Payment Information","Informação de Pagamento"
"The order was placed using %1.","O pedido foi realizado usando %1."
"Shipping Information","Dados de Entrega"
"Items to Refund","Itens para reembolso"
"Return to Stock","Retornar ao estoque"
"Qty to Refund","Qtde para reembolso"
"Tax Amount","Valor do imposto"
"Discount Amount","Quantidade do Desconto"
"Row Total","Linha Total"
"No Items To Refund","Não há itens para reembolso"
"Credit Memo Comments","Comentários de memorando de crédito"
"Refund Totals","Total reembolsado"
"Email Copy of Credit Memo","E-mail cópia da nota de crédito"
"Please enter a positive number in this field.","Por favor insira um número positivo neste campo."
"Items Refunded","Itens reembolsados"
"No Items","Não há itens"
"Memo Total","Total do Memorando de crédito"
"Credit Memo History","História de memorando de crédito"
"Credit Memo Totals","Totais de memorando de crédito"
"Customer Name: %1","Nome do cliente: %1"
"Purchased From: %1","Comprado de: %1"
"Gift Message","Mensagem do presente"
"From:","De:"
"To:","Para:"
"Message:","Mensagem:"
"Shipping &amp; Handling","Envio &amp; Manuseio"
"Gift Options","Opções de presente"
"Create Shipment","Criar o carregamento"
"Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice.","Tipos de fatura e entrega não correspondem para alguns itens neste pedido. Você só pode criar uma entrega depois de criar a fatura."
"%1","%1"
"Qty to Invoice","Quantidade para faturar"
"Invoice History","Histórico de Faturas"
"Invoice Comments","Comentários da Fatura"
"Invoice Totals","Totais da Fatura"
"Amount","Quantidade"
"Capture Online","Capturar on-line"
"Capture Offline","Capturar off-line"
"Not Capture","Não capturar"
"The invoice will be created offline without the payment gateway.","A fatura será criada off-line sem o gateway de pagamento."
"Email Copy of Invoice","Cópia do e-mail de fatura"
"Items Invoiced","Itens faturados"
"Total Tax","Imposto total"
"From Name","Nome do remetente"
"To Name","Para"
"Status","Situação"
"Comment","Comente"
"Notification Not Applicable","Notificação não aplicável"
"Order & Account Information","Pedido e Informações de Conta"
"The order confirmation email was sent","O e-mail de confirmação de pedido foi enviado"
"The order confirmation email is not sent","O e-mail de confirmação de pedido não foi enviado"
"Order Date","Data do Pedido"
"Order Date (%1)","Data do pedido (%1)"
"Purchased From","Comprado De"
"Link to the New Order","Link para Novo Pedido"
"Link to the Previous Order","Link para Pedido Anterior"
"Placed from IP","Efetuado do IP"
"%1 / %2 rate:","%1 / %2 taxa:"
"Edit Customer","Editar Cliente"
"Customer Name","Nome do cliente"
"Customer Group","Grupo de clientes"
"Notes for this Order","Notas para esse Pedido"
"Comment added","Comentário Adicionado"
"Transaction Data","Dados da Transação"
"Transaction ID","ID Transação"
"Parent Transaction ID","ID da Transacção pai"
"Order ID","ID do Pedido"
"Transaction Type","Tipo de Transação"
"Is Closed","Está fechado"
"Created At","Criado em"
"Child Transactions","Transacções filhas"
"Transaction Details","Detalhes da transação"
"Items","Itens"
"Gift Message for this Order","Mensagem de presente para este pedido"
"Shipped By","Entregue por"
"Tracking Number","Número de rastreamento"
"Billing Last Name","Sobrenome de cobrança"
"Find Order By","Localizar ordem por"
"ZIP Code","Código postal"
"Billing ZIP Code","Código postal de cobrança"
"Continue","Próximo"
"Print All Refunds","Imprimir todos os reembolsos"
"Refund #","Reembolso #"
"Print Refund","Impressão reembolso"
"Product Name","Nome do produto"
"Order #","Pedido #"
"Date","Data"
"Ship To","Enviar para"
"Actions","Ações"
"View Order","Visualizar pedido"
"You have placed no orders.","Você não postou nenhum pedido."
"No shipping information available","Nenhuma informações de entrega esta disponível"
"Print Order","Imprimir pedido"
"Print All Invoices","Imprimir Todas as Faturas"
"Invoice #","Fatura #"
"Print Invoice","Imprimir fatura"
"Qty Invoiced","Quantidade faturada"
"Close","Fechar"
"About Your Order","Sobre este pedido"
"<span class=""label"">Order Date:</span> %1","<span class=""label"">Data do pedido:</span> %1"
"Refund #%1","Reembolso #%1"
"Shipment #%1","Entrega #%1"
"Qty Shipped","Quantidade enviada"
"Recent Orders","Pedidos Recentes"
"View All","Ver tudo"
"Gift Message for This Order","Mensagem de presente para este pedido"
"Recently Ordered","Pedidos feitos recentemente"
"Add to Cart","Adicionar ao Carrinho"
"Search","Pesquisa"
"Credit memo for your %store_name order","Nota de crédito para o seu pedido %store_name"
"%name,","%name,"
"Thank you for your order from %store_name.","Obrigado pelo seu pedido na loja %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Você pode verificar o status do seu pedido ao <a href=""%account_url""> logar em sua conta</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Se você tem perguntas sobre seu pedido, você pode nos enviar em <a href=""mailto:%store_email""> %store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","ou ligue-nos para o número <a href=""tel:%store_phone"">%store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Horário de Funcionamento:<span class=""no-link"">%store_hours</span>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","A sua Nota de Crédito #%creditmemo_id para o Pedido #%order_id"
"Billing Info","Informações de cobrança"
"Shipping Info","Informações de entrega"
"Update to your %store_name credit memo","Atualização para sua nota de crédito de %store_name"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Seu pedido #%increment_id foi atualizado com um status de <strong>%order_status</strong>."
"Invoice for your %store_name order","Fatura para o seu pedido de %store_name"
"Your Invoice #%invoice_id for Order #%order_id","A sua Fatura #%invoice_id para o Pedido #%order_id"
"Update to your %store_name invoice","Atualização para a sua fatura de %store_name"
"Your %store_name order confirmation","Confirmação do seu pedido de %store_name"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","Assim que a sua encomenda for enviada você irá receber um código para que possa acompanhar seu pedido."
"Your Order <span class=""no-link"">#%increment_id</span>","O seu pedido <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Efetuada em <span class=""no-link"">%created_at</span>"
"Once your package ships we will send an email with a link to track your order.","Uma vez que seu pacote for enviado, nós enviaremos um e-mail com um link para rastrear seu pedido."
"Update to your %store_name order","Atualização do seu pedido de %store_name"
"Your %store_name order has shipped","Seu pedido de %store_name foi enviado"
"Your shipping confirmation is below. Thank you again for your business.","A confirmação de envio encontra-se a seguir. Agradecemos novamente a sua compra."
"Your Shipment #%shipment_id for Order #%order_id","Sua entrega #%shipment_id para o pedido #%order_id"
"Update to your %store_name shipment","Atualização da sua entrega de %store_name"
"Gift Options for ","Opções de presente para "
"Add Products","Adicionar Produtos"
"You have item changes","Você tem alterações de item"
"Ok","Ok"
"Operations","Operações"
"Create","Criar"
"Send Order Email","Enviar E-mail de pedido"
"Accept or Deny Payment","Aceitar ou negar pagamento"
"Send Sales Emails","Enviar e-mail de vendas"
"Sales Section","Seção de vendas"
"Sales Emails Section","Seção de E-mail de vendas"
"General","Geral"
"Hide Customer IP","Esconder IP do Cliente"
"Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos.","Escolher se o IP do cliente é exibido em Pedidos, Faturas, Envios e memos de créditos."
"Checkout Totals Sort Order","Totais de checkout ordenados por pedido"
"Allow Reorder","Permitir Recompra"
"Invoice and Packing Slip Design","Factura e embalagem Slip Design"
"Logo for PDF Print-outs (200x50)","Logotipo para impressões PDF (200x50)"
"Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.","O seu logotipo padrão será usado em documentos PDF e HTML<br/>(jpeg, tiff, png) Se a sua imagem de PDF estiver distorcida tente usar uma imagem maior."
"Logo for HTML Print View","Logotipo para impressão de visualização HTML"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","Logotipo apenas para documentos HTML. Se vazio, padrão será usado.<br/>(jpeg, gif, png)"
"Address","Endereço"
"Minimum Order Amount","Quantidade mínima do Pedido"
"Enable","Habilitado"
"Minimum Amount","Quantidade mínima"
"Subtotal after discount","Subtotal após desconto"
"Include Tax to Amount","Incluso o imposto sobre a quantidade"
"Description Message","Mensagem de descrição"
"This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount.","Esta mensagem será exibida no carrinho de compras quando o subtotal (após desconto) for menor que a quantia mínima permitida."
"Error to Show in Shopping Cart","Erro a exibir no Carrinho de compras"
"Validate Each Address Separately in Multi-address Checkout","Valide cada endereço separadamente num checkout de endereços múltiplos"
"Multi-address Description Message","Multi-Endereço mensagem de descrição"
"We'll use the default description above if you leave this empty.","Usaremos a descrição padrão acima caso deixe isto vazio."
"Multi-address Error to Show in Shopping Cart","Erro a exibir no Carrinho de compras Multi-Endereço"
"We'll use the default error above if you leave this empty.","Usaremos a mensagem padrão acima caso deixe este campo vazio."
"Dashboard","Painel de Controle"
"Use Aggregated Data","Usar dados agregados"
"Orders Cron Settings","Configurações de pedidos do Cron"
"Pending Payment Order Lifetime (minutes)","Tempo de vida (minutos) de um pedido de pagamento"
"Sales Emails","E-mails de vendas"
"Asynchronous sending","Envio asincrono"
"Enabled","Habilitado"
"New Order Confirmation Email Sender","E-mail de origem de confirmação de novos pedidos"
"New Order Confirmation Template","Template de confirmação de novos pedidos"
"Email template chosen based on theme fallback when ""Default"" option is selected.","O modelo de e-mail escolhido baseado no tema ""fallback"" quando a opção ""Padrão"" é selecionada."
"New Order Confirmation Template for Guest","Template para convidado para confirmação de pedido"
"Send Order Email Copy To","Enviar cópia de pedido para"
"Comma-separated","Separado por vírgula"
"Send Order Email Copy Method","Método de Envio da Cópia do E-mail de Pedido"
"Order Comment Email Sender","Remetente do Comentário do E-mail de Pedido"
"Order Comment Email Template","Modelo de E-mail do Comentário de Pedido"
"Order Comment Email Template for Guest","Modelo de E-mail do Comentário de Pedido para Convidado"
"Send Order Comment Email Copy To","Enviar Cópia de E-mail do Comentário de Pedido Para"
"Send Order Comments Email Copy Method","Método de Envio da Cópia do E-mail de Comentário de Pedido"
"Invoice Email Sender","Remetente do E-mail de Fatura"
"Invoice Email Template","Modelo do E-mail de Fatura"
"Invoice Email Template for Guest","Template de fatura para convidado"
"Send Invoice Email Copy To","Enviar cópia de fatura para"
"Send Invoice Email Copy Method","Método de cópia para envio de fatura de e-mail"
"Invoice Comment Email Sender","Comentário de origem para fatura"
"Invoice Comment Email Template","Modelo do E-mail de Fatura"
"Invoice Comment Email Template for Guest","Modelo de E-mail do Comentário de Pedido para Convidado"
"Send Invoice Comment Email Copy To","Enviar cópia de fatura para"
"Send Invoice Comments Email Copy Method","Enviar a factura comentários E-mail cópia método"
"Shipment","Envio"
"Shipment Email Sender","Envio E-mail remetente"
"Shipment Email Template","Selecionar Template do E-mail"
"Shipment Email Template for Guest","Modelo de E-mail RMA para convidados"
"Send Shipment Email Copy To","Enviar cópia de E-mail de carregamento para"
"Send Shipment Email Copy Method","Enviar E-mail RMA com cópia"
"Shipment Comments","Comentários sobre o envio"
"Shipment Comment Email Sender","Remetente do Comentário do E-mail de Pedido"
"Shipment Comment Email Template","Selecionar Template do E-mail"
"Shipment Comment Email Template for Guest","Modelo de e-mail de comentário de entrega para convidado"
"Send Shipment Comment Email Copy To","Envie Cópia de E-mail de Comentário de Entrega Para"
"Send Shipment Comments Email Copy Method","Enviar a factura comentários E-mail cópia método"
"Credit Memo Email Sender","Remetente de E-mail de nota de crédito"
"Credit Memo Email Template","Modelo de E-mail de nota de crédito"
"Credit Memo Email Template for Guest","Modelo de E-mail de nota de crédito para convidado"
"Send Credit Memo Email Copy To","Enviar cópia de E-mail de memorando de crédito para"
"Send Credit Memo Email Copy Method","Enviar E-mail falha de método de cópia"
"Credit Memo Comment Email Sender","Remetente do Comentário do E-mail de Pedido"
"Credit Memo Comment Email Template","Modelo de E-mail de comentário de nota de crédito"
"Credit Memo Comment Email Template for Guest","Modelo de E-mail do Comentário de Reembolso para Convidado"
"Send Credit Memo Comment Email Copy To","Envie Cópia de E-mail do Comentário de Reembolso Para"
"Send Credit Memo Comments Email Copy Method","Método de Envio da Cópia do E-mail de Comentário de Reembolso"
"PDF Print-outs","Impressos PDF"
"Display Order ID in Header","Exibir ID do pedido no cabeçalho"
"Customer Order Status Notification","Notificação de Status de pedido de cliente"
"Asynchronous indexing","Indexação assíncrona"
"Orders and Returns Search Form","Formulário de Pesquisa de Pedidos e Devoluções"
"Anchor Custom Title","Título Personalizado da Âncora"
"Template","Modelo"
"Default Template","Modelo padrão"
"Name","Nome"
"Phone","Telefone"
"ZIP/Post Code","Código postal / CEP"
"Signed-up Point","Ponto de Inscrição"
"Website","Site"
"Bill-to Name","Nome de Cobrança"
"Created","Criado"
"Invoice Date","Data da factura"
"Ship-to Name","Nome de Entrega"
"Ship Date","Data de envio"
"Total Quantity","Quantidade total"
"Default Status","Status Padrão"
"State Code and Title","Título e Código de Status"
"Item Status","Status do Item"
"Original Price","Preço original"
"Tax Percent","Porcentagem de imposto"
"All Store Views","Todas as Visões de Loja"
"PDF Credit Memos","Notas de Crédito em PDF"
"Purchase Point","Ponto de compra"
"Print Invoices","Imprimir Faturas"
"Print Packing Slips","Imprimir Documento de Envio"
"Print Credit Memos","Imprimir Notas de Crédito"
"Print All","Imprimir tudo"
"Print Shipping Labels","Imprimir as Etiquetas de Envio"
"Purchase Date","Data da Compra"
"Grand Total (Base)","Total geral (Base)"
"Grand Total (Purchased)","Total geral (comprado)"
"Customer Email","E-mail do cliente"
"Shipping and Handling","Envio e Processamento"
"PDF Invoices","Faturas PDF"
"PDF Shipments","PDF de Entregas"
"PDF Creditmemos","PDF de Reembolsos"
"Refunds","Reembolsos"
"Create New Order for New Customer in %1","Criar novo pedido, para um novo cliente em %1"
"The invoice and the shipment  have been created. The shipping label cannot be created now.","A fatura e o envio foram criados. A etiqueta de envio não pode ser criada no momento."
"We will authorize %1 after the payment is approved at the payment gateway.","Nós vamos autorizar %1 depois que o pagamento for aprovado no gateway de pagamento."
"Order is suspended as its authorizing amount %1 is suspected to be fraudulent.","O pedido foi suspenso pois o seu valor autorizado de %1é suspeito de fraude."
"An amount of %1 will be captured after being approved at the payment gateway.","A quantia de %1 será capturada após aprovação do gateway de pagamento."
"Captured amount of %1 online","Capturado o valor de %1 online"
"The order amount of %1 is pending approval on the payment gateway.","A quantia de %1 do pedido está pendente de aprovação no gateway de pagamento."
"Ordered amount of %1","Valor comprado de %1"
"Registered notification about captured amount of %1.","Registrada notificação sobre quantia de captura de %1."
"Order is suspended as its capture amount %1 is suspected to be fraudulent.","O pedido foi suspenso, o valor capturado %1 está suspenso, suspeito de fraude."
"We found an invalid quantity to ship for item ""%1"".","Encontramos uma quantidade inválida para o envio do item ""%1""."
"order-header","cabeçalho do pedido"
"Something went wrong","Algo deu errado"
"Page not found.","Página não encontrada."
"Improves dashboard performance but provides non-realtime data.","Melhora o desempenho do painel de controle, mas fornece dados de tempo não-real."
"Invalid Form Key. Please refresh the page.","Chave de formulário inválida. Por favor, atualize a página."
"Sample message.","Alguma Mensagem."
"Limit per cron run","Limite por execução cron"
"Grid Settings","Configurações de grade"
"Use Aggregated Data (beta)","Use Dados Agregados (beta)"
"Could not save the comment.","Não foi possível salvar o comentário."
"Authorized amount of %1.","Valor autorizado de %1."
"Authorized amount of %1. Order is suspended as its authorizing amount %1 is suspected to be fraudulent.","Valor autorizado de %1. Pedidio é suspenso como o número de sua autorizadora %1 é suspeito de ser fraudulento."
"Captured amount of %1 online.","Capturado o valor de %1 online."
"Requested product doesn't exist","Produto requisitado não existe"
"Product is not salable.","Produto não é vendável."
"Get available payment methods","Métodos de pagamento disponíveis"
"Allow Zero GrandTotal","Permitir Zero GrandTotal"
"Allow Zero GrandTotal for Creditmemo","Allow Zero GrandTotal for Creditmemo"
"Include Discount Amount","Incluir valor do desconto"
"The comment is missing. Enter and try again.","Está faltando o comentário. Preencha e tente novamente."
"The ""%1"" coupon code isn't valid. Verify the code and try again.","O código de cupom ""%1"" não é válido. Verifique o código e tente novamente."
"The quote item ID needs to be received. Set the ID and try again.","O ID do item de cotação precisa ser recebido. Defina o ID e tente novamente."
"The quote item needs to be loaded. Load the item and try again.","O item de cotação precisa ser carregado. Carregue o item e tente novamente."
"The invoice can't be created without products. Add products and try again.","A fatura não pode ser criada sem produtos. Adicione produtos e tente novamente."
"The invoice can't be saved at this time. Please try again later.","O pedido não pôde ser salvo neste momento. Por favor, tente novamente mais tarde."
"The shipping method is missing. Select the shipping method and try again.","O método de envio não está disponível. Selecione o método de envio e tente novamente."
"The payment method isn't selected. Enter the payment method and try again.","O método de pagamento não está selecionado. Selecione o método de pagamento e tente novamente."
"An ID is needed. Set the ID and try again.","Um ID é necessário. Defina o ID e tente novamente."
"The entity that was requested doesn't exist. Verify the entity and try again.","A entidade solicitada não existe. Verifique as informações e tente novamente."
"The order address couldn't be deleted.","O endereço do pedido não pôde ser deletado."
"The order address couldn't be saved.","O endereço do pedido não pôde ser salvo."
"The credit memo couldn't be deleted.","O memorando de crédito não pode ser excluído."
"The credit memo couldn't be saved.","O memorando de crédito não pode ser salvo."
"The shipment couldn't be deleted.","A entrega não pode ser deletada."
"The shipment couldn't be saved.","A opção de entrega não pode ser salva."
"The last status can't be changed and needs to stay assigned to its current state.","O último status não pode ser alterado e precisa ficar atribuído ao seu estado atual."
"The status can't be unassigned because the status is currently used by an order.","O estado não pode ser atribuído porque o status é usado atualmente por uma ordem."
"The status needs to remain assigned to its state.","O status precisa permanecer atribuído ao seu estado."
"The ""%1"" validator is not an instance of the general validator interface.","O validador de ""%1"" não é uma instância da interface do validador geral."
"The creditmemo contains incorrect product items.","O creditmemo contém itens de produto incorretos."
"You can not refund shipping if there is no shipping amount.","Você não pode reembolsar o envio se não houver nenhum valor de envio."
