"Credit Memos","ક્રેડિટ મેમોસ"
"Voided authorization.","વોઈડેડ અધિકૃતતા."
"Amount: %1.","રકમ:%1."
"Transaction ID: ""%1""","ટ્રાંઝેક્શન ID: ""%1"""
"The payment method you requested is not available.","તમે વિનંતી કરેલ ચુકવણી પદ્ધતિ ઉપલબ્ધ નથી."
"The payment disallows storing objects.","ચુકવણી ઑબ્જેક્ટ્સ સંગ્રહિત કરવાની મંજૂરી આપે છે."
"The transaction ""%1"" cannot be captured yet.","ટ્રાંઝેક્શન ""%1"" હજી સુધી કેપ્ચર કરી શકાતું નથી."
"The parent transaction ID must have a transaction ID.","પિતૃ ટ્રાંઝેક્શન ID પાસે ટ્રાંઝેક્શન ID હોવો આવશ્યક છે."
"Payment transactions disallow storing objects.","પેમેન્ટ ટ્રાંઝેક્શન્સ ઓબ્જેક્ટ્સને સંગ્રહિત કરવાની પરવાનગી આપે"
"The transaction ""%1"" (%2) is already closed.","ટ્રાંઝેક્શન ""%1"" (%2) પહેલાથી બંધ છે."
"Set order for existing transactions not allowed","હાલના વ્યવહારો માટે ઑર્ડર સેટ કરવાની મંજૂરી નથી"
"At minimum, you need to set a payment ID.","ઓછામાં ઓછા, તમારે ચુકવણી આઈડી સેટ કરવાની જરૂર છે."
"Order","ઓર્ડર"
"Authorization","અધિકૃતતા"
"We found an unsupported transaction type ""%1"".","અમને અસમર્થિત ટ્રાંઝેક્શન પ્રકાર ""%1"" મળ્યો."
"Please set a proper payment and order id.","કૃપા કરીને યોગ્ય ચુકવણી અને ઑર્ડર ID સેટ કરો."
"Please enter a Transaction ID.","કૃપા કરી કોઈ ટ્રાંઝેક્શન ID દાખલ કરો."
"You can't do this without a transaction object.","તમે આ ટ્રાન્ઝેક્શન ઑબ્જેક્ટ વિના કરી શકતા નથી."
"Order # ","ઑર્ડર # "
"Order Date: ","ઑર્ડર તારીખ: "
"Sold to:","વેચવા માટે:"
"Ship to:","મોકલી આપ્યું:"
"Payment Method:","ચુકવણી ની રીત:"
"Shipping Method:","શીપીંગ પદ્ધતિ:"
"Total Shipping Charges","કુલ શિપિંગ ખર્ચ"
"Title","શીર્ષક"
"Number","નંબર"
"We found an invalid renderer model.","અમને અમાન્ય રેન્ડરર મોડેલ મળ્યું."
"Please define the PDF object before using.","ઉપયોગ કરતાં પહેલા પીડીએફ ઓબ્જેક્ટ વ્યાખ્યાયિત કરો."
"We don't recognize the draw line data. Please define the ""lines"" array.","અમે ડ્રો લાઇન ડેટાને ઓળખતા નથી. મહેરબાની કરીને ""રેખાઓ"" એરે વ્યાખ્યાયિત કરો."
"Products","પ્રોડક્ટ્સ"
"Total (ex)","કુલ (પૂર્વ)"
"Qty","જથ્થો"
"Tax","કર"
"Total (inc)","કુલ (ઇંક)"
"Credit Memo # ","ક્રેડિટ મેમો # "
"Invoice # ","ભરતિયું # "
"The order object is not specified.","ઑર્ડર ઑબ્જેક્ટ ઉલ્લેખિત નથી."
"The source object is not specified.","સ્રોત ઑબ્જેક્ટ ઉલ્લેખિત નથી."
"An item object is not specified.","આઇટમ ઑબ્જેક્ટ ઉલ્લેખિત નથી."
"A PDF object is not specified.","પીડીએફ ઑબ્જેક્ટ ઉલ્લેખિત નથી."
"A PDF page object is not specified.","પીડીએફ પૃષ્ઠ ઑબ્જેક્ટ ઉલ્લેખિત નથી."
"Excl. Tax","Excl. કર"
"Incl. Tax","શામેલ કર"
"Packing Slip # ","બાંધેલા સામાનની ચિઠઠી # "
"title","શીર્ષક"
"The PDF total model %1 must be or extend \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal.","પીડીએફ કુલ મોડેલ%1 \ Magento \ Sales \ Model \ Order \ Pdf \ કુલ \ ડિફોલ્ટટૉલ્ટ હોવું આવશ્યક છે અથવા વધારવું આવશ્યક છે."
"Received check doesn't match interface","Received check doesn't match interface"
"We cannot register an existing shipment","અમે અસ્તિત્વમાંના શિપમેન્ટની નોંધણી કરી શકતા નથી"
"Could not delete the shipment comment.","Could not delete the shipment comment."
"Could not save the shipment comment.","Could not save the shipment comment."
"Could not delete the shipment item.","Could not delete the shipment item."
"Could not save the shipment item.","Could not save the shipment item."
"Parent shipment cannot be loaded for track object.","માતાપિતાના શિપમેન્ટને ટ્રેક ઑબ્જેક્ટ માટે લોડ કરી શકાતા નથી."
"Could not delete the shipment tracking.","Could not delete the shipment tracking."
"Could not save the shipment tracking.","Could not save the shipment tracking."
"Order Id is required for shipment document","શિપમેન્ટ ડોક્યુમેન્ટ માટે ઓર્ડર આઈડી જરૂરી છે"
"You can't create a shipment without products.","તમે ઉત્પાદનો વિના કોઈ શિપમેન્ટ બનાવી શકતા નથી."
"The shipment contains product SKU ""%1"" that is not part of the original order.","શિપમેન્ટમાં ઉત્પાદન SKU ""%1"" શામેલ છે જે મૂળ ઑર્ડરનો ભાગ નથી."
"The quantity to ship must not be greater than the unshipped quantity for product SKU ""%1"".","એસ.ટી.યુ. ""%1"" ઉત્પાદન માટેના જથ્થાબંધ જથ્થા કરતાં જહાજની સંખ્યા કરતાં વધુ હોવી આવશ્યક નથી."
"Please enter a tracking number.","કૃપા કરીને ટ્રેકિંગ નંબર દાખલ કરો."
"Could not delete shipment","Could not delete shipment"
"Could not save shipment","Could not save shipment"
"The last status can't be unassigned from its current state.","The last status can't be unassigned from its current state."
"Status can't be unassigned, because it is used by existing order(s).","Status can't be unassigned, because it is used by existing order(s)."
"Could not delete the order status history.","Could not delete the order status history."
"Could not save the order status history.","Could not save the order status history."
"The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal.","કુલ મોડેલ \ Magento \ Sales \ Model \ Order \ કુલ \ એબ્સ્ટ્રેક્ટટૉટલથી વિસ્તૃત હોવું જોઈએ."
"An invoice cannot be created when an order has a status of %1","કોઈ ઓર્ડરની રચના કરી શકાતી નથી જ્યારે ઑર્ડરની%1 ની સ્થિતિ હોય છે"
"A creditmemo can not be created when an order has a status of %1","જ્યારે ક્રમમાં%1 ની સ્થિતિ હોય ત્યારે ક્રેડિટમેમો બનાવી શકાતા નથી"
"The order does not allow a creditmemo to be created.","ઑર્ડર ક્રેડિટમીમો બનાવવાની મંજૂરી આપતું નથી."
"A shipment cannot be created when an order has a status of %1","જ્યારે કોઈ ઓર્ડરની%1 ની સ્થિતિ હોય ત્યારે શિપમેન્ટ બનાવી શકાતું નથી"
"The order does not allow a shipment to be created.","ઓર્ડર કોઈ લવાજમ બનાવવાની મંજૂરી આપતું નથી."
"""Creditmemo Document Validation Error(s):\n"" .","""ક્રેડિટમેનો દસ્તાવેજ માન્યતા ભૂલ (ઓ): \n""."
"Could not save a Creditmemo, see error log for details","ક્રેડિટમેમો સાચવી શક્યાં નથી, વિગતો માટે ભૂલ લૉગ જુઓ"
"We cannot determine the field name.","આપણે ફીલ્ડ નામ નક્કી કરી શકતા નથી."
"City","શહેર"
"Company","કંપની"
"Country","દેશ"
"Email","ઇમેઇલ"
"First Name","પ્રથમ નામ"
"Last Name","છેલ્લું નામ"
"State/Province","રાજ્ય / પ્રાંત"
"Street Address","શેરીનુ સરનામું"
"Phone Number","ફોન નંબર"
"Zip/Postal Code","ઝીપ / પોસ્ટલ કોડ"
"We can't save the address:\n%1","અમે સરનામું સાચવી શકતા નથી: \n%1"
"Cannot save comment:\n%1","ટિપ્પણી સાચવી શકતા નથી: \n%1"
"We don't have enough information to save the parent transaction ID.","અમારી પાસે પિતૃ ટ્રાંઝેક્શન ID સાચવવા માટે પૂરતી માહિતી નથી."
"We cannot create an empty shipment.","આપણે ખાલી શિપમેન્ટ બનાવી શકતા નથી."
"Cannot save track:\n%1","ટ્રૅક સાચવી શકતા નથી: \n%1"
"Cannot unassign status from state","Cannot unassign status from state"
"New Orders","નવા આદેશો"
"Order #%1 created at %2","ઑર્ડર #%1%2 પર બનાવેલ"
"Details for %1 #%2","%1 #%2 માટે વિગતો"
"Notified Date: %1","સૂચિત તારીખ:%1"
"Comment: %1<br/>","ટિપ્પણી:%1 <br/>"
"Current Status: %1<br/>","વર્તમાન સ્થિતિ:%1 <br/>"
"Total: %1<br/>","કુલ:%1 <br/>"
"Order # %1 Notification(s)","ઑર્ડર #%1 સૂચના (ઓ)"
"You can not cancel Credit Memo","તમે ક્રેડિટ મેમો રદ કરી શકતા નથી"
"Could not cancel creditmemo","Could not cancel creditmemo"
"We cannot register an existing credit memo.","અમે અસ્તિત્વમાં છે તે ક્રેડિટ મેમો રજીસ્ટર કરી શકતા નથી."
"We found an invalid quantity to invoice item ""%1"".","અમને ઇન્વૉઇસ આઇટમ ""%1"" પર અમાન્ય જથ્થો મળ્યો."
"The Order State ""%1"" must not be set manually.","ઑર્ડર સ્ટેટ ""%1"" મેન્યુઅલી સેટ થવી જોઈએ નહીં."
"""Shipment Document Validation Error(s):\n"" .","""શિપમેન્ટ દસ્તાવેજ માન્યતા ભૂલ (ઓ): \n""."
"Could not save a shipment, see error log for details","શિપમેન્ટ સાચવી શક્યાં નથી, વિગતો માટે ભૂલ લોગ જુઓ"
"VAT Request Identifier","વેટ વિનંતી ઓળખકર્તા"
"VAT Request Date","વેટ વિનંતી તારીખ"
"Pending Payment","બાકી ચુકવણી"
"Processing","પ્રક્રિયા"
"On Hold","હોલ્ડ પર"
"Complete","પૂર્ણ"
"Closed","બંધ"
"Suspected Fraud","શંકાસ્પદ બનાવટ"
"Payment Review","ચુકવણી સમીક્ષા"
"New","નવું"
"Product doesn't exist","Product doesn't exist"
"test message","પરીક્ષણ સંદેશ"
"Email has not been sent","ઇમેઇલ મોકલવામાં આવ્યો નથી"
"Authorized amount of %1","અધિકૃત રકમ%1"
" Transaction ID: ""%1"""," Transaction ID: ""%1"""
"View","જુઓ"
"Group was removed","જૂથ દૂર કરવામાં આવ્યો હતો"
"Changing address information will not recalculate shipping, tax or other order amount.","સરનામાંની માહિતી બદલવાનું શિપિંગ, ટેક્સ અથવા અન્ય ઓર્ડરની રકમનું પુન: મૂલ્યાંકન કરશે નહીં."
"Comment Text","ટિપ્પણી ટેક્સ્ટ"
"Notify Customer by Email","ઇમેઇલ દ્વારા ગ્રાહકને સૂચિત કરો"
"Visible on Storefront","Storefront પર દૃશ્યમાન"
"Customer","ગ્રાહક"
"Notified","સૂચિત"
"Not Notified","સૂચિત નથી"
"No Payment Methods","કોઈ ચુકવણી પદ્ધતિઓ"
"Order Comments","ઓર્ડર ટિપ્પણીઓ"
"Apply Coupon Code","કૂપન કોડ લાગુ કરો"
"Apply","અરજી કરો"
"Remove Coupon Code","કૂપન કોડ દૂર કરો"
"Remove","દૂર કરો"
"Address Information","સરનામાંની માહિતી"
"Payment &amp; Shipping Information","ચુકવણી અને amp; શિપિંગ માહિતી"
"Order Total","ઓર્ડર કુલ"
"Order Currency:","ઑર્ડર ચલણ:"
"Same As Billing Address","બિલિંગ સરનામું જેવું જ"
"Select from existing customer addresses:","હાલના ગ્રાહક સરનામાંઓમાંથી પસંદ કરો:"
"Add New Address","નવું સરનામું ઉમેરો"
"Save in address book","Save in address book"
"You don't need to select a shipping address.","તમારે શિપિંગ સરનામું પસંદ કરવાની જરૂર નથી."
"Gift Message for the Entire Order","સંપૂર્ણ ઓર્ડર માટે ગિફ્ટ સંદેશ"
"Leave this box blank if you don't want to leave a gift message for the entire order.","જો તમે આખા ઑર્ડર માટે ગિફ્ટ સંદેશ છોડવાનું ન ઇચ્છતા હો તો આ બૉક્સને ખાલી રાખો."
"Row Subtotal","પંક્તિ પેટાસરવાળો"
"Action","ક્રિયા"
"No ordered items","કોઈ આદેશ આપ્યો વસ્તુઓ"
"Update Items and Quantities","આઇટમ અને જથ્થો અપડેટ કરો"
"Total %1 product(s)","કુલ%1 ઉત્પાદન (ઓ)"
"Subtotal:","સબટૉટલ"
"Tier Pricing","ટાયર પ્રાઇસીંગ"
"Custom Price","કસ્ટમ ભાવ"
"Please select","મહેરબાની કરી, પસંદ કરો"
"Move to Shopping Cart","શોપિંગ કાર્ટ પર ખસેડો"
"Move to Wish List","વિશસૂચિમાં ખસેડો"
"Subscribe to Newsletter","ન્યૂઝલેટર સબ્સ્ક્રાઇબ કરો"
"Click to change shipping method","શિપિંગ પદ્ધતિને બદલવા માટે ક્લિક કરો"
"Sorry, no quotes are available for this order.","માફ કરશો, આ ક્રમમાં કોઈ અવતરણ ઉપલબ્ધ નથી."
"Get shipping methods and rates","શિપિંગ પદ્ધતિઓ અને દરો મેળવો"
"You don't need to select a shipping method.","તમારે શિપિંગ પદ્ધતિ પસંદ કરવાની જરૂર નથી."
"Customer's Activities","ગ્રાહકની પ્રવૃત્તિઓ"
"Refresh","તાજું કરો"
"Item","આઇટમ"
"Add To Order","ઓર્ડર ઉમેરો"
"Configure and Add to Order","ગોઠવો અને ઑર્ડર ઉમેરો"
"No items","કોઈ વસ્તુ નથી"
"Append Comments","ટિપ્પણીઓ ઉમેરો"
"Email Order Confirmation","ઇમેઇલ ઓર્ડર પુષ્ટિ"
"Grand Total Excl. Tax","ગ્રાન્ડ ટોટલ એક્સક્લુઝ. કર"
"Grand Total Incl. Tax","ગ્રાન્ડ ટોટલ ઇન્ક. કર"
"Subtotal (Excl. Tax)","સબટૉટલ (એક્ક્લે. કર)"
"Subtotal (Incl. Tax)","સબટૉટલ (શાખ કર)"
"Payment &amp; Shipping Method","ચુકવણી અને amp; શીપીંગ પદ્ધતિ"
"Payment Information","ચુકવણી માહિતી"
"The order was placed using %1.","આદેશ%1 નો ઉપયોગ કરીને મૂકવામાં આવ્યો હતો."
"Shipping Information","શિપિંગ માહિતી"
"Items to Refund","પરત કરવા માટેની વસ્તુઓ"
"Return to Stock","સ્ટોક પર પાછા ફરો"
"Qty to Refund","રિફંડ માટે રકમ"
"Tax Amount","કર રકમ"
"Discount Amount","ડિસ્કાઉન્ટ રકમ"
"Row Total","પંક્તિ કુલ"
"No Items To Refund","રિફંડ કરવા માટે કોઈ વસ્તુઓ નથી"
"Credit Memo Comments","ક્રેડિટ મેમો ટિપ્પણીઓ"
"Refund Totals","રિફંડ ટોટલ્સ"
"Email Copy of Credit Memo","ક્રેડિટ મેમોની ઇમેઇલ કૉપિ"
"Please enter a positive number in this field.","કૃપા કરીને આ ફીલ્ડમાં હકારાત્મક નંબર દાખલ કરો."
"Items Refunded","પૈસા પાછા ફર્યા"
"No Items","કોઈ વસ્તુઓ નથી"
"Memo Total","મેમો કુલ"
"Credit Memo History","ક્રેડિટ મેમો ઇતિહાસ"
"Credit Memo Totals","ક્રેડિટ મેમો totals"
"Customer Name: %1","ગ્રાહક નામ:%1"
"Purchased From: %1","ખરીદ્યું:%1"
"Gift Message","ભેટ સંદેશ"
"From:","પ્રતિ:"
"To:","ને:"
"Message:","સંદેશ"
"Shipping &amp; Handling","શિપિંગ અને amp; હેન્ડલિંગ"
"Gift Options","ભેટ વિકલ્પો"
"Create Shipment","શિપમેન્ટ બનાવો"
"Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice.","આ ક્રમમાં કેટલીક આઇટમ્સ માટે ઇન્વૉઇસ અને શિપમેન્ટ પ્રકારો મેળ ખાતા નથી. તમે ભરતિયું બનાવતા જ ફક્ત શિપમેન્ટ બનાવી શકો છો."
"%1","%1"
"Qty to Invoice","ભરતિયું માટે Qty"
"Invoice History","ભરતિયું ઇતિહાસ"
"Invoice Comments","ભરતિયું ટિપ્પણીઓ"
"Invoice Totals","ભરતિયું totals"
"Amount","રકમ"
"Capture Online","ઑનલાઇન કેપ્ચર"
"Capture Offline","ઑફલાઇન કેપ્ચર"
"Not Capture","કેપ્ચર નથી"
"The invoice will be created offline without the payment gateway.","ચુકવણી ગેટવે વિના ઑફલાઇન બનાવવામાં આવશે."
"Email Copy of Invoice","ભરતિયુંની ઇમેઇલ કૉપિ"
"Items Invoiced","ભરતિયું વસ્તુઓ"
"Total Tax","કુલ કર"
"From Name","નામ પ્રતિ"
"To Name","નામ માટે"
"Status","સ્થિતિ"
"Comment","ટિપ્પણી"
"Notification Not Applicable","સૂચના લાગુ નથી"
"Order & Account Information","ઓર્ડર અને એકાઉન્ટ માહિતી"
"The order confirmation email was sent","ઑર્ડર પુષ્ટિ ઇમેઇલ મોકલવામાં આવ્યો હતો"
"The order confirmation email is not sent","ઓર્ડર પુષ્ટિ ઇમેઇલ મોકલવામાં આવ્યો નથી"
"Order Date","ઓર્ડર તારીખ"
"Order Date (%1)","ઑર્ડર તારીખ (%1)"
"Purchased From","થી ખરીદી"
"Link to the New Order","નવા ઓર્ડર લિંક"
"Link to the Previous Order","પાછલા ઓર્ડરની લિંક"
"Placed from IP","આઇપી થી મુક્યા"
"%1 / %2 rate:","%1 /%2 દર:"
"Edit Customer","Edit Customer"
"Customer Name","ગ્રાહક નું નામ"
"Customer Group","ગ્રાહક જૂથ"
"Notes for this Order","આ ઓર્ડર માટે નોંધો"
"Comment added","ટિપ્પણી ઉમેરાઈ"
"Transaction Data","ટ્રાંઝેક્શન ડેટા"
"Transaction ID","ટ્રાન્ઝેક્શન આઈડી"
"Parent Transaction ID","પિતૃ ટ્રાન્ઝેક્શન ID"
"Order ID","ઓર્ડર આઈડી"
"Transaction Type","ટ્રાન્ઝેક્શન પ્રકાર"
"Is Closed","બંધ છે"
"Created At","બનાવ્યું"
"Child Transactions","બાળ વ્યવહારો"
"Transaction Details","ટ્રાંઝેક્શન વિગતો"
"Items","વસ્તુઓ"
"Gift Message for this Order","આ ઓર્ડર માટે ગિફ્ટ સંદેશ"
"Shipped By","દ્વારા મોકલેલ"
"Tracking Number","મૂલ્યાંકન અંક"
"Billing Last Name","છેલ્લું નામ બિલિંગ"
"Find Order By","દ્વારા ઓર્ડર શોધો"
"ZIP Code","પિન કોડ"
"Billing ZIP Code","બિલિંગ ઝીપ કોડ"
"Continue","ચાલુ રાખો"
"Print All Refunds","બધા રિફંડ્સ છાપો"
"Refund #","પરત કરેલી રકમ #"
"Print Refund","રિફંડ પ્રિંટ કરો"
"Product Name","ઉત્પાદન નામ"
"Order #","ઑર્ડર #"
"Date","તારીખ"
"Ship To","મોકલી આપ્યું"
"Actions","ક્રિયાઓ"
"View Order","ઑર્ડર જુઓ"
"You have placed no orders.","તમે કોઈ ઓર્ડર મૂક્યા નથી."
"No shipping information available","કોઈ શિપિંગ માહિતી ઉપલબ્ધ નથી"
"Print Order","પ્રિન્ટ ઑર્ડર"
"Print All Invoices","બધા ઇનવોઇસ છાપો"
"Invoice #","ભરતિયું #"
"Print Invoice","પ્રિંટ ઇનવોઇસ"
"Qty Invoiced","Qty ભરતિયું"
"Close","બંધ"
"About Your Order","તમારા ઓર્ડર વિશે"
"<span class=""label"">Order Date:</span> %1","<span class = ""લેબલ""> ઓર્ડર તારીખ: </ span>%1"
"Refund #%1","રીફંડ #%1"
"Shipment #%1","શિપમેન્ટ #%1"
"Qty Shipped","જથ્થો મોકલો"
"Recent Orders","તાજેતરના આદેશો"
"View All","બધુજ જુઓ"
"Gift Message for This Order","આ ઓર્ડર માટે ભેટ સંદેશ"
"Recently Ordered","તાજેતરમાં આદેશ આપ્યો"
"Add to Cart","સૂચી માં સામેલ કરો"
"Search","શોધો"
"Credit memo for your %store_name order","તમારા%store_name ઑર્ડર માટે ક્રેડિટ મેમો"
"%name,","%નામ,"
"Thank you for your order from %store_name.","%Store_name થી તમારા ઓર્ડર બદલ આભાર."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","તમે તમારા ઑર્ડરની સ્થિતિ <a href=""%account_url""> તમારા એકાઉન્ટમાં લૉગ ઇન કરીને </a> જોઈ શકો છો."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","જો તમારી પાસે તમારા ઓર્ડર વિશે કોઈ પ્રશ્નો હોય, તો તમે અમને <a href=""mailto:%store_email"">%store_email </a> પર ઇમેઇલ કરી શકો છો"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","or call us at <a href=""tel:%store_phone"">%store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Our hours are <span class=""no-link"">%store_hours</span>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","ઑર્ડર #%order_id માટે તમારા ક્રેડિટ મેમો #%creditmemo_id"
"Billing Info","બિલની માહિતી"
"Shipping Info","Shipping Info"
"Update to your %store_name credit memo","તમારા%store_name ક્રેડિટ મેમો પર અપડેટ કરો"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","તમારું ઑર્ડર #%ઇન્ક્રીમેન્ટ_આઇડી <strong>%order_status </ strong> ની સ્થિતિથી અપડેટ કરવામાં આવ્યું છે."
"Invoice for your %store_name order","તમારા%store_name ઑર્ડર માટે ભરતિયું"
"Your Invoice #%invoice_id for Order #%order_id","ઓર્ડર #%ઓર્ડર_આઈડી માટે તમારા ઇન્વૉઇસ #%ઇન્વૉઇસ_ઇડ"
"Update to your %store_name invoice","તમારા%store_name ઇન્વૉઇસ પર અપડેટ કરો"
"Your %store_name order confirmation","તમારું%store_name ઓર્ડર પુષ્ટિ"
"%customer_name,","%ગ્રાહક નું નામ,"
"Once your package ships we will send you a tracking number.","એકવાર તમારું પેકેજ જહાજો અમે તમને એક ટ્રેકિંગ નંબર મોકલીશું."
"Your Order <span class=""no-link"">#%increment_id</span>","તમારો ઑર્ડર <span class = ""no-link""> #%increment_id </ span>"
"Placed on <span class=""no-link"">%created_at</span>","<Span class = ""no-link"">%created_at </ span> પર મૂકો"
"Once your package ships we will send an email with a link to track your order.","એકવાર તમારું પેકેજ જહાજો એકવાર અમે તમારા ઑર્ડરને ટ્રૅક કરવા માટે એક લિંક મોકલીશું."
"Update to your %store_name order","તમારા%store_name ઑર્ડર પર અપડેટ કરો"
"Your %store_name order has shipped","તમારું%store_name ઓર્ડર મોકલ્યું છે"
"Your shipping confirmation is below. Thank you again for your business.","તમારી શિપિંગ પુષ્ટિકરણ નીચે છે. તમારા વ્યવસાય માટે ફરીથી આભાર."
"Your Shipment #%shipment_id for Order #%order_id","ઓર્ડર #%order_id માટે તમારું શિપમેન્ટ #%shipment_id"
"Update to your %store_name shipment","તમારા%store_name શિપમેન્ટ પર અપડેટ કરો"
"Gift Options for ","માટે ભેટ વિકલ્પો "
"Add Products","પ્રોડક્ટ્સ ઉમેરો"
"You have item changes","તમારી પાસે આઇટમ ફેરફારો છે"
"Ok","ઠીક છે"
"Operations","ઓપરેશન્સ"
"Create","બનાવો"
"Send Order Email","ઓર્ડર ઇમેઇલ મોકલો"
"Accept or Deny Payment","ચુકવણી સ્વીકારો અથવા નકારો"
"Send Sales Emails","વેચાણ ઇમેઇલ્સ મોકલો"
"Sales Section","વેચાણ વિભાગ"
"Sales Emails Section","સેલ્સ ઇમેઇલ વિભાગ"
"General","જનરલ"
"Hide Customer IP","કસ્ટમર આઇપી છુપાવો"
"Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos.","ઑર્ડર, ઇન્વૉઇસેસ, શિપમેન્ટ્સ અને ક્રેડિટ મેમોમાં કોઈ ગ્રાહક IP બતાવવામાં આવે છે કે નહીં તે પસંદ કરો."
"Checkout Totals Sort Order","ચેકઆઉટ ટૉટલ્સ સોર્ટ ઓર્ડર"
"Allow Reorder","પુનઃક્રમાંકિત મંજૂરી આપો"
"Invoice and Packing Slip Design","ભરતિયું અને પેકિંગ સ્લિપ ડિઝાઇન"
"Logo for PDF Print-outs (200x50)","પીડીએફ પ્રિન્ટ-આઉટ્સ માટે લોગો (200x50)"
"Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.","તમારા ડિફોલ્ટ લોગોનો ઉપયોગ પીડીએફ અને એચટીએમએલ દસ્તાવેજોમાં કરવામાં આવશે. <br /> (JPEG, ટિફ, PNG) જો તમારી પીડીએફ ઇમેજ વિકૃત થાય, તો મોટી ફાઇલ-કદની છબીનો ઉપયોગ કરવાનો પ્રયાસ કરો."
"Logo for HTML Print View","એચટીએમએલ પ્રિંટ વ્યુ માટે લોગો"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","ફક્ત એચટીએમએલ દસ્તાવેજો માટે લોગો. જો ખાલી હોય, તો ડિફોલ્ટનો ઉપયોગ કરવામાં આવશે. <br /> (JPEG, GIF, PNG)"
"Address","સરનામું"
"Minimum Order Amount","ન્યૂનતમ ઓર્ડર રકમ"
"Enable","સક્ષમ કરો"
"Minimum Amount","ન્યૂનતમ રકમ"
"Subtotal after discount","Subtotal after discount"
"Include Tax to Amount","રકમ કર શામેલ કરો"
"Description Message","વર્ણન સંદેશ"
"This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount.","આ સંદેશ શોપિંગ કાર્ટમાં બતાવવામાં આવશે જ્યારે પેટાસરવાળો (ડિસ્કાઉન્ટ પછી) ન્યૂનતમ મંજૂર રકમ કરતાં ઓછો હોય છે."
"Error to Show in Shopping Cart","શોપિંગ કાર્ટમાં બતાવવામાં ભૂલ"
"Validate Each Address Separately in Multi-address Checkout","મલ્ટિ-સરનામાં ચેકઆઉટમાં અલગથી દરેક સરનામાંને માન્ય કરો"
"Multi-address Description Message","બહુ-સરનામું વર્ણન સંદેશ"
"We'll use the default description above if you leave this empty.","જો તમે આને ખાલી છોડી દો છો તો અમે ઉપરોક્ત ડિફોલ્ટ વર્ણનનો ઉપયોગ કરીશું."
"Multi-address Error to Show in Shopping Cart","શોપિંગ કાર્ટમાં બતાવવા માટે બહુ-સરનામાં ભૂલ"
"We'll use the default error above if you leave this empty.","જો તમે આને ખાલી છોડી દો છો તો અમે ઉપરોક્ત ડિફૉલ્ટ ભૂલનો ઉપયોગ કરીશું."
"Dashboard","ડેશબોર્ડ"
"Use Aggregated Data","એકત્રિત ડેટાનો ઉપયોગ કરો"
"Orders Cron Settings","ઓર્ડર ક્રોન સેટિંગ્સ"
"Pending Payment Order Lifetime (minutes)","બાકી ચુકવણી ઓર્ડર લાઇફટાઇમ (મિનિટ)"
"Sales Emails","વેચાણ ઇમેઇલ્સ"
"Asynchronous sending","અસુમેળ મોકલવું"
"Enabled","સક્ષમ"
"New Order Confirmation Email Sender","નવી ઓર્ડર પુષ્ટિ ઇમેઇલ મોકલનાર"
"New Order Confirmation Template","નવી ઓર્ડર પુષ્ટિ ઢાંચો"
"Email template chosen based on theme fallback when ""Default"" option is selected.","જ્યારે ""ડિફૉલ્ટ"" વિકલ્પ પસંદ કરવામાં આવે ત્યારે થીમ ફૉલબેક પર આધારિત ઇમેઇલ નમૂનો પસંદ કરે છે."
"New Order Confirmation Template for Guest","અતિથિ માટે નવું ઑર્ડર પુષ્ટિકરણ ઢાંચો"
"Send Order Email Copy To","ઓર્ડર ઇમેઇલ કૉપિ મોકલો"
"Comma-separated","Comma-separated"
"Send Order Email Copy Method","ઓર્ડર ઇમેઇલ કૉપિ પદ્ધતિ મોકલો"
"Order Comment Email Sender","ઓર્ડર ટિપ્પણી ઇમેઇલ પ્રેષક"
"Order Comment Email Template","ઓર્ડર ટિપ્પણી ઇમેઇલ ઢાંચો"
"Order Comment Email Template for Guest","ગેસ્ટ માટે ઓર્ડર ટિપ્પણી ઇમેઇલ ઢાંચો"
"Send Order Comment Email Copy To","ઓર્ડર ટિપ્પણી ઇમેઇલ કૉપિ મોકલો"
"Send Order Comments Email Copy Method","ઓર્ડર ટિપ્પણીઓ ઇમેઇલ નકલ પદ્ધતિ મોકલો"
"Invoice Email Sender","ભરતિયું ઇમેઇલ પ્રેષક"
"Invoice Email Template","ભરતિયું ઇમેઇલ ઢાંચો"
"Invoice Email Template for Guest","ગેસ્ટ માટે ભરતિયું ઇમેઇલ ઢાંચો"
"Send Invoice Email Copy To","ભરતિયું ઇમેઇલ કૉપિ કરવા માટે મોકલો"
"Send Invoice Email Copy Method","ભરતિયું ઇમેઇલ કૉપિ પદ્ધતિ મોકલો"
