"Credit Memos","یادداشت‌های بستانکاری"
"We can't save the address:\n%1","ما نمی توانیم آدرس \n%1 را ذخیره کنیم"
"Cannot save comment:\n%1","نمی توان نظر:\n%1 را ذخیره کرد"
"We don't have enough information to save the parent transaction ID.","ما اطلاعات کافی برای ذخیره شناسه اصلی را نداریم."
"We cannot create an empty shipment.","ما نمی توانیم یک بار یا حمل و نقل خالی ایجاد کنیم."
"Cannot save track:\n%1","ردیابی: \n%1 نمی تواند ذخیره شود"
"Cannot unassign status from state","Cannot unassign status from state"
"New Orders","سفارش‌های جدید"
"Order #%1 created at %2","سفارش #%1 ایجاد شده در %2"
"Details for %1 #%2","جزئیات برای %1 #%2"
"Notified Date: %1","تاریخ:%1 اعلام شده"
"Comment: %1<br/>","نظر: %1<br/>"
"Current Status: %1<br/>","وضعیت فعلی: %1<br/>"
"Total: %1<br/>","مجموع: %1<br/>"
"Order # %1 Notification(s)","سفارش # %1 اطلاع رسانی(ها)"
"You can not cancel Credit Memo","شما نمیتوانید یادداشت اعتباری را لغو کنید"
"Could not cancel creditmemo","Could not cancel creditmemo"
"We cannot register an existing credit memo.","ما نمیتوانیم یادداشت اعتباری موجود را ثبت کنیم."
"We found an invalid quantity to invoice item ""%1"".","یک مقدار نامعتبر برای مورد فاکتور ""%1"" یافتیم."
"The Order State ""%1"" must not be set manually.","حالت سفارش ""%1"" نباید به صورت دستی تنظیم شود."
"""Shipment Document Validation Error(s):\n"" .","""خطا (ها) ی اعتبار سنجی حمل و نقل: \n""."
"Could not save a shipment, see error log for details","حمل و نقل را نمی توان ذخیره کرد ، برای ورود به جزئیات خطا را ببینید"
"VAT Request Identifier","شناسه درخواست ماليات"
"VAT Request Date","تاريخ درخواست ماليات"
"Pending Payment","پرداخت در انتظار"
"Processing","پردازش"
"On Hold","در تعلیق"
"Complete","کامل"
"Closed","بسته"
"Suspected Fraud","تقلب مشکوک"
"Payment Review","بازبینی پرداخت"
"New","جدید"
"Product doesn't exist","Product doesn't exist"
"test message","پیغام آزمایشی"
"Email has not been sent","ایمیل ارسال نشده است"
"Authorized amount of %1","مقدار مجاز %1"
" Transaction ID: ""%1"""," Transaction ID: ""%1"""
"View","مشاهده"
"Group was removed","گروه حذف شد"
"Changing address information will not recalculate shipping, tax or other order amount.","تغییر اطلاعات آدرس باعث نمی شود هزینه پستی، مالیات و دیگر هزینه ها تغییری کنند."
"Comment Text","متن توضیح"
"Notify Customer by Email","آگاه‌سازی مشتری توسط ایمیل"
"Visible on Storefront","قابل مشاهده در فروشگاه"
"Customer","مشتری"
"Notified","آگاه شده"
"Not Notified","آگاه نشده"
"No Payment Methods","بدون روش پرداخت"
"Order Comments","توضیحات سفارش"
"Apply Coupon Code","اعمال کد کوپن"
"Apply","اعمال"
"Remove Coupon Code","حذف کد کوپن"
"Remove","برداشتن"
"Address Information","اطلاعات آدرس"
"Payment &amp; Shipping Information","پرداخت &amp; اطلاعات حمل و نقل"
"Order Total","مجموع سفارش"
"Order Currency:","ارز سفارش:"
"Same As Billing Address","همان آدرس صورت حساب"
"Select from existing customer addresses:","انتخاب از آدرس‌های مشتری موجود:"
"Add New Address","افزودن آدرس جدید"
"Save in address book","Save in address book"
"You don't need to select a shipping address.","شما نیازی به انتخاب یک آدرس حمل و نقل ندارید."
"Gift Message for the Entire Order","پیام هدیه برای همه‌ی سفارش"
"Leave this box blank if you don't want to leave a gift message for the entire order.","اگر شما نمی خواهید یک پیام هدیه را برای کل سفارش ترک کنید، این کادر را خالی بگذارید."
"Row Subtotal","مجموع ردیف"
"Action","اقدام"
"No ordered items","هیچ محصولی در سفارش شما وجود ندارد"
"Update Items and Quantities","اعمال تغییرات در نوع و تعداد محصولات"
"Total %1 product(s)","مجموعا %1 محصول"
"Subtotal:","مجموع:"
"Tier Pricing","قیمت گذاری ردیفی"
"Custom Price","قیمت سفارشی"
"Please select","لطفا انتخاب نمایید"
"Move to Shopping Cart","انتقال به سبد خرید"
"Move to Wish List","انتقال به لیست علاقه مندی"
"Subscribe to Newsletter","عضویت در خبرنامه"
"Click to change shipping method","برای تغییر روش ارسال کلیک کنید"
"Sorry, no quotes are available for this order.","با عرض پوزش، هیچ نظری برای این سفارش در دسترس نیست."
"Get shipping methods and rates","دریافت روش‌های ارسال و نرخ‌ها"
"You don't need to select a shipping method.","شما نیازی به انتخاب یک روش حمل و نقل ندارید."
"Customer's Activities","فعالیت های مشتری"
"Refresh","به روز رسانی"
"Item","آیتم"
"Add To Order","افزودن به سفارش"
"Configure and Add to Order","پیکربندی و افزودن به سفارش"
"No items","هیچ محصولی"
"Append Comments","پیوست کردن توضیحات"
"Email Order Confirmation","ایمیل تایید سفارش"
"Grand Total Excl. Tax","جمع کل نهایی بی مالیات"
"Grand Total Incl. Tax","جمع کل نهایی با مالیات"
"Subtotal (Excl. Tax)","جمع ​​(مالیات غیر)"
"Subtotal (Incl. Tax)","جمع (شامل مالیات)"
"Payment &amp; Shipping Method","پرداخت &amp; و روش حمل و نقل"
"Payment Information","اطلاعات پرداخت"
"The order was placed using %1.","سفارش با استفاده از %1 قرار گرفت."
"Shipping Information","اطلاعات ارسال"
"Items to Refund","آیتم‌ها برای استرداد"
"Return to Stock","بازگشت به موجودی"
"Qty to Refund","تعداد برای استرداد"
"Tax Amount","مبلغ مالیات"
"Discount Amount","مبلغ تخفیف"
"Row Total","جمع سطر"
"No Items To Refund","هیچ آیتمی برای استرداد"
"Credit Memo Comments","توضیحات یادداشت بستانکاری"
"Refund Totals","جمع کل استرداد"
"Email Copy of Credit Memo","ایمیل یک کپی از یادداشت بستانکاری"
"Please enter a positive number in this field.","لطفا یک عدد مثبت در این فیلد وارد کنید."
"Items Refunded","آیتم‌های مسترد شده"
"No Items","هیچ آیتمی"
"Memo Total","مجموع یادداشت"
"Credit Memo History","پیشینه‌ی یادداشت بستانکاری"
"Credit Memo Totals","جمع کل یادداشت بستانکاری"
"Customer Name: %1","نام مشتری: %1"
"Purchased From: %1","خریداری شده از: %1"
"Gift Message","پيغام هديه"
"From:","از:"
"To:","به:"
"Message:","پیغام:"
"Shipping &amp; Handling","ارسال و رسیدگی"
"Gift Options","گزینه های هدیه"
"Create Shipment","ایجاد محموله"
"Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice.","صورتحساب و انواع حمل و نقل برای برخی از اقلام در این سفارش مطابقت ندارد. شما می توانید یک حمل و نقل تنها پس از فاکتور ایجاد کنید."
"%1","%1"
"Qty to Invoice","تعداد برای فاکتور"
"Invoice History","پیشینه‌ی فاکتور"
"Invoice Comments","توضیحات فاکتور"
"Invoice Totals","جمع کل فاکتور"
"Amount","مبلغ"
"Capture Online","ضبط آنلاین"
"Capture Offline","ضبط آفلاین"
"Not Capture","ضبط نشد"
"The invoice will be created offline without the payment gateway.","صورتحساب بدون درگاه پرداخت ایجاد خواهد شد."
"Email Copy of Invoice","ایمیل یک کپی از فاکتور"
"Items Invoiced","آیتم‌های فاکتور شده"
"Total Tax","مجموع مالیات"
"From Name","نام از"
"To Name","به نام"
"Status","وضعيت"
"Comment","نظر"
"Notification Not Applicable","اطلاعیه اجرا شدنی نیست"
"Order & Account Information","سفارش و اطلاعات حساب"
"The order confirmation email was sent","ایمیل تاییدیه‌ی سفارش ارسال شد"
"The order confirmation email is not sent","ایمیل تاییدیه‌ی سفارش ارسال نشده است"
"Order Date","تاريخ سفارش"
"Order Date (%1)","تاریخ سفارش (%1)"
"Purchased From","خریداری شده از"
"Link to the New Order","لینک به سفارش جدید"
"Link to the Previous Order","لینک به سفارش قبلی"
"Placed from IP","از IP قرار داده شده"
"%1 / %2 rate:","%1 / %2 میزان:"
"Edit Customer","Edit Customer"
"Customer Name","نام مشتری"
"Customer Group","گروه مشتری"
"Notes for this Order","یادداشت برای این سفارش"
"Comment added","نظر افزوده شده"
"Transaction Data","دیتای تراکنش"
"Transaction ID","شناسه تراکنش"
"Parent Transaction ID","شناسه‌ی تراکنش منشا"
"Order ID","شناسه سفارش"
"Transaction Type","نوع تراکنش"
"Is Closed","بسته شده است"
"Created At","ايجاد شده در"
"Child Transactions","تراکنش‌های ولد"
"Transaction Details","جزییات تراکنش"
"Items","موارد"
"Gift Message for this Order","پیام هدیه برای این سفارش"
"Shipped By","ارسال شده با"
"Tracking Number","شماره‌ی پیگیری"
"Billing Last Name","نام صورت حساب"
"Find Order By","يافتن سفارش توسط"
"ZIP Code","کدپستی"
"Billing ZIP Code","كد پستي صورت حساب"
"Continue","ادامه"
"Print All Refunds","چاپ همه‌ی استردادها"
"Refund #","استرداد شماره‌ی"
"Print Refund","چاپ استرداد"
"Product Name","نام محصول"
"Order #","سفارش #"
"Date","تاریخ"
"Ship To","ارسال به"
"Actions","کنش‌ها"
"View Order","مشاهده‌ی سفارش"
"You have placed no orders.","شما سفارشی نداده‌اید."
"No shipping information available","هیچ اطلاعات ارسالی موجود نیست"
"Print Order","چاپ سفارش"
"Print All Invoices","چاپ همه‌ی فاکتورها"
"Invoice #","فاکتور شماره‌ی"
"Print Invoice","چاپ فاکتور"
"Qty Invoiced","تعداد فاکتور شده"
"Close","بستن"
"About Your Order","درباره‌ی سفارش‌تان"
"<span class=""label"">Order Date:</span> %1","<span class=""label"">تاریخ سفارش:</span> %1"
"Refund #%1","بازپرداخت #%1"
"Shipment #%1","حمل و نقل%1 #"
"Qty Shipped","تعداد ارسال شده"
"Recent Orders","سفارش‌های اخیر"
"View All","مشاهده‌ی همه"
"Gift Message for This Order","پیام هدیه برای این سفارش"
"Recently Ordered","سفارش‌های اخیر"
"Add to Cart","اضافه کردن به سبد خرید"
"Search","جستجو"
"Credit memo for your %store_name order","یادداشت اعتباری برای شما %store_name order"
"%name,","%name"
"Thank you for your order from %store_name.","از سفارش %store_name شما متشکریم."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","شما می توانید وضعیت سفارش خود را با <a href=""%account_url"">ورود به حساب کاربری شما</a>بررسی کنید."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","اگر در مورد سفارش خود سؤال دارید، می توانید به ما در <a href=""mailto:<a href=""mailto:%store_email"">tore_email"">%store_email </a> ایمیل بفرستید"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","or call us at <a href=""tel:%store_phone"">%store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Our hours are <span class=""no-link"">%store_hours</span>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","یادداشت اعتبار شما #%creditmemo_id برای سفارش #%order_id"
"Billing Info","اطلاعات صورتحساب"
"Shipping Info","Shipping Info"
"Update to your %store_name credit memo","یادداشت اعتبار %store_name خود را به روزرسانی کنید"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","سفارش شما #%increment_id به روز شده با وضعیت <strong>%order_status</strong>."
"Invoice for your %store_name order","صورت حساب برای سفارش %store_name شما"
"Your Invoice #%invoice_id for Order #%order_id","فاکتور شما #%invoice_id برای سفارش #%order_id"
"Update to your %store_name invoice","حساب %store_name خود را به روزرسانی کنید"
"Your %store_name order confirmation","سفارش %store_name تایید شده"
"%customer_name,","%customer_name"
"Once your package ships we will send you a tracking number.","هنگامی که بسته شما حمل می شود  ما یک شماره پیگیری را برای شما ارسال خواهیم کرد."
"Your Order <span class=""no-link"">#%increment_id</span>","سقارش شما <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","قرار داده شده در <span class=""no-link"">%created_at</span>"
"Once your package ships we will send an email with a link to track your order.","هنگامی که بسته شما حمل می شود  ما یک پیغام را برای پیگیری سفارش شما خواهیم فرستاد."
"Update to your %store_name order","حمل و نقل فروشگاه %store_name را به روزرسانی کنید"
"Your %store_name order has shipped","سفارش شما %store_name ارسال شده است"
"Your shipping confirmation is below. Thank you again for your business.","تأییدیه حمل و نقل شما در زیر آمده است. با تشکر از شما برای کسب و کار تان."
"Your Shipment #%shipment_id for Order #%order_id","حمل و نقل شما #%shipment_id برای سفارش #%order_id"
"Update to your %store_name shipment","فروشگاه %store_name خود را به روزرسانی کنید"
"Gift Options for ","گزینه های هدیه برای "
"Add Products","افزودن محصولات"
"You have item changes","شما تغییراتی آیتمی دارید"
"Ok","قبول"
"Operations","عملیات"
"Create","ایجاد"
"Send Order Email","ارسال ایمیل سفارش"
"Accept or Deny Payment","پذیرش یا رد پرداخت"
"Send Sales Emails","ارسال ایمیل‌های فروش‌ها"
"Sales Section","بخش فروش‌ها"
"Sales Emails Section","بخش ایمیل‌های فروش‌ها"
"General","عمومی"
"Hide Customer IP","مخفی کردن IP مشتري"
"Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos.","انتخاب کنید که آیا IP مشتری در سفارشات، فاکتورها، محموله ها و یادداشت های اعتباری نمایش داده می شود."
"Checkout Totals Sort Order","ترتیب ردیف جمع‌های تسویه"
"Allow Reorder","اجازه‌ی سفارش دوباره"
"Invoice and Packing Slip Design","طراحی فاکتور و رسید بسته"
"Logo for PDF Print-outs (200x50)","لوگو برای PDF خروجی‌های چاپی (200x50)"
"Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.","آرم پیش فرض شما در اسناد PDF و HTML استفاده خواهد شد<br />(jpeg, tiff, png) اگر تصویر پی دی اف شما تحریف شده باشد، سعی کنید از تصویر بزرگتر فایل استفاده کنید."
"Logo for HTML Print View","لوگو برای نمای HTML چاپ"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","لوگو برای اسناد HTML تنها اگر خالی باشد، پیش فرض استفاده خواهد شد. <br /> (jpeg، gif، png)"
"Address","آدرس"
"Minimum Order Amount","حداقل مبلغ سفارش"
"Enable","فعال"
"Minimum Amount","حداقل مبلغ"
"Subtotal after discount","Subtotal after discount"
"Include Tax to Amount","شامل مالیات به مقدار"
"Description Message","توصیف پیام"
"This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount.","این پیغام هنگامی که مجموع پرداختی (پس از تخفیف) کمتر از حداقل مبلغ مجاز باشد، در سبد خرید نمایش داده می شود."
"Error to Show in Shopping Cart","خطا برای نمایش در سبد خرید"
"Validate Each Address Separately in Multi-address Checkout","تایید اعتبار جداگانه‌ی هر آدرس در تسویه‌ی چند آدرسی"
"Multi-address Description Message","پیام توصیف چند آدرسی"
"We'll use the default description above if you leave this empty.","ما از توصیف پیش فرض در بالا استفاده میکنیم اگر این خالی را ترک کنید."
"Multi-address Error to Show in Shopping Cart","خطای چند آدرسی برای نمایش در سبد خرید"
"We'll use the default error above if you leave this empty.","اگر این قطعه را ترک کنید، از خطای پیش فرض بالا استفاده می کنیم."
"Dashboard","داشبورد"
"Use Aggregated Data","استفاده از اطلاعات جمع آوری شده"
"Orders Cron Settings","تنظیمات سفارشات Cron"
"Pending Payment Order Lifetime (minutes)","زمان انتظار دستور پرداخت (دقیقه)"
"Sales Emails","ایمیل‌های فروش‌ها"
"Asynchronous sending","ارسال ناهمزمان"
"Enabled","فعال"
"New Order Confirmation Email Sender","فرستنده‌ی ایمیل تاییدیه سفارش جدید"
"New Order Confirmation Template","قالب تاییدیه سفارش جدید"
"Email template chosen based on theme fallback when ""Default"" option is selected.","قالب ایمیل انتخاب شده بر اساس پشت زمینه تم هنگامی که گزینه "" پیش فرض"" انتخاب شده است."
"New Order Confirmation Template for Guest","قالب تاییدیه سفارش جدید برای مهمان"
"Send Order Email Copy To","ارسال کپی ایمیل سفارش به"
"Comma-separated","Comma-separated"
"Send Order Email Copy Method","روش کپی ارسال ایمیل سفارش"
"Order Comment Email Sender","فرستنده‌ی ایمیل توضیح سفارش"
"Order Comment Email Template","قالب ایمیل توضیح سفارش"
"Order Comment Email Template for Guest","قالب ایمیل توضیح سفارش برای مهمان"
"Send Order Comment Email Copy To","ارسال کپی ایمیل توضیح سفارش به"
"Send Order Comments Email Copy Method","روش ارسال کپی ایمیل توضیح سفارش "
"Invoice Email Sender","فرستنده‌ی ایمیل فاکتور"
"Invoice Email Template","قالب ایمیل فاکتور"
"Invoice Email Template for Guest","قالب ایمیل فاکتور برای مهمان"
"Send Invoice Email Copy To","ارسال کپی ایمیل فاکتور به"
"Send Invoice Email Copy Method","روش ارسال كپي ايميل فاكتور"
"Invoice Comment Email Sender","فرستنده‌ی ایمیل توضیح فاکتور"
"Invoice Comment Email Template","قالب ایمیل توضیح فاکتور"
"Invoice Comment Email Template for Guest","قالب ایمیل توضیح فاکتور برای مهمان"
"Send Invoice Comment Email Copy To","ارسال کپی ایمیل توضیح فاکتور به"
"Send Invoice Comments Email Copy Method","روش ارسال ايميل كپي توضيح فاكتور"
"Shipment","محموله"
"Shipment Email Sender","فرستنده‌ی ایمیل محموله"
"Shipment Email Template","قالب ایمیل محموله"
"Shipment Email Template for Guest","قالب ایمیل محموله برای مهمان"
"Send Shipment Email Copy To","ارسال کپی ایمیل محموله به"
"Send Shipment Email Copy Method","روش ارسال کپی ایمیل محموله"
"Shipment Comments","توضیحات محموله"
"Shipment Comment Email Sender","فرستنده‌ی ایمیل توضیح محموله"
"Shipment Comment Email Template","قالب ایمیل توضیح محموله"
"Shipment Comment Email Template for Guest","قالب ایمیل توضیح محموله برای مهمان"
"Send Shipment Comment Email Copy To","ارسال کپی ایمیل توضیح محموله به"
"Send Shipment Comments Email Copy Method","روش ارسال کپی ایمیل توضیح محموله "
"Credit Memo Email Sender","فرستنده‌ی ایمیل یادداشت بستانکاری"
"Credit Memo Email Template","قالب ایمیل یادداشت بستانکاری"
"Credit Memo Email Template for Guest","قالب ایمیل یادداشت بستانکاری برای مهمان"
"Send Credit Memo Email Copy To","ارسال کپی ایمیل یادداشت بستانکاری به"
"Send Credit Memo Email Copy Method","ارسال یادداشت به ایمیل اعتباری روش کپی"
"Credit Memo Comment Email Sender","فرستنده‌ی ایمیل توضیح یادداشت بستانکاری"
"Credit Memo Comment Email Template","قالب ایمیل توضیح یادداشت بستانکاری"
"Credit Memo Comment Email Template for Guest","قالب ایمیل توضیح یادداشت بستانکاری برای مهمان"
"Send Credit Memo Comment Email Copy To","ارسال کپی ایمیل توضیح یادداشت بستانکاری به"
"Send Credit Memo Comments Email Copy Method","روش ارسال کپی ایمیل توضیح یادداشت بستانکاری "
"PDF Print-outs","PDF خروجی‌های چاپی"
"Display Order ID in Header","نمایش شناسه‌ی سفارش در هدر"
"Customer Order Status Notification","اطلاعیه‌ی وضیعت سفارش مشتری"
"Asynchronous indexing","نمایه سازی نامتقارن"
"Orders and Returns Search Form","سفارشات و بازده فرم جستجو"
"Anchor Custom Title","عنوان سفارشی مرجع"
"Template","قالب"
"Default Template","قالب پیش فرض"
"Name","نام"
"Phone","تلفن"
"ZIP/Post Code","کد پستی"
"Signed-up Point","نقطه امضاء شده"
"Website","وب سایت"
"Bill-to Name","صورتحساب به نام"
"Created","ايجاد شد"
"Invoice Date","تاریخ فاکتور"
"Ship-to Name","ارسال به نام"
"Ship Date","تاریخ حمل"
"Total Quantity","تعداد کل"
"Default Status","وضعیت پیش فرض"
"State Code and Title","کد کشور و عنوان"
"Item Status","وضعیت آیتم"
"Original Price","قيمت اصلي"
"Tax Percent","درصد ماليات"
"All Store Views","همه‌ی نماهای فروشگاه"
"PDF Credit Memos","PDF یادداشت‌های بستانکاری"
"Purchase Point","نقطه خرید"
"Print Invoices","چاپ فاکتورها"
"Print Packing Slips","بسته بندی چاپ ورقه"
"Print Credit Memos","چاپ یادداشت‌های بستانکاری"
"Print All","چاپ همه"
"Print Shipping Labels","چاپ برچسب های حمل و نقل"
"Purchase Date","تاریخ خرید"
"Grand Total (Base)","مجموع کل (پایه)"
"Grand Total (Purchased)","مجموع کل (خریداری شده)"
"Customer Email","ایمیل مشتری"
"Shipping and Handling","حمل و نقل و بررسی"
"PDF Invoices","PDF فاکتورها"
"PDF Shipments","محموله های PDF"
"PDF Creditmemos","PDF یادداشت اعتبار"
"Refunds","استردادها"
"Create New Order for New Customer in %1","Create New Order for New Customer in %1"
"The invoice and the shipment  have been created. The shipping label cannot be created now.","The invoice and the shipment  have been created. The shipping label cannot be created now."
"We will authorize %1 after the payment is approved at the payment gateway.","We will authorize %1 after the payment is approved at the payment gateway."
"Order is suspended as its authorizing amount %1 is suspected to be fraudulent.","Order is suspended as its authorizing amount %1 is suspected to be fraudulent."
"An amount of %1 will be captured after being approved at the payment gateway.","An amount of %1 will be captured after being approved at the payment gateway."
"Captured amount of %1 online","Captured amount of %1 online"
"The order amount of %1 is pending approval on the payment gateway.","The order amount of %1 is pending approval on the payment gateway."
"Ordered amount of %1","Ordered amount of %1"
"Registered notification about captured amount of %1.","Registered notification about captured amount of %1."
"Order is suspended as its capture amount %1 is suspected to be fraudulent.","Order is suspended as its capture amount %1 is suspected to be fraudulent."
"We found an invalid quantity to ship for item ""%1"".","We found an invalid quantity to ship for item ""%1""."
"order-header","order-header"
"Something went wrong","Something went wrong"
"Page not found.","Page not found."
"Improves dashboard performance but provides non-realtime data.","Improves dashboard performance but provides non-realtime data."
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"Sample message.","Sample message."
"Limit per cron run","Limit per cron run"
"Grid Settings","Grid Settings"
"Use Aggregated Data (beta)","Use Aggregated Data (beta)"
"Could not save the comment.","Could not save the comment."
"Authorized amount of %1.","Authorized amount of %1."
"Authorized amount of %1. Order is suspended as its authorizing amount %1 is suspected to be fraudulent.","Authorized amount of %1. Order is suspended as its authorizing amount %1 is suspected to be fraudulent."
"Captured amount of %1 online.","Captured amount of %1 online."
"Requested product doesn't exist","Requested product doesn't exist"
"Product is not salable.","Product is not salable."
"Get available payment methods","Get available payment methods"
"Allow Zero GrandTotal","Allow Zero GrandTotal"
"Allow Zero GrandTotal for Creditmemo","Allow Zero GrandTotal for Creditmemo"
"Include Discount Amount","Include Discount Amount"
"The comment is missing. Enter and try again.","The comment is missing. Enter and try again."
"The ""%1"" coupon code isn't valid. Verify the code and try again.","The ""%1"" coupon code isn't valid. Verify the code and try again."
"The quote item ID needs to be received. Set the ID and try again.","The quote item ID needs to be received. Set the ID and try again."
"The quote item needs to be loaded. Load the item and try again.","The quote item needs to be loaded. Load the item and try again."
"The invoice can't be created without products. Add products and try again.","The invoice can't be created without products. Add products and try again."
"The invoice can't be saved at this time. Please try again later.","The invoice can't be saved at this time. Please try again later."
"The shipping method is missing. Select the shipping method and try again.","The shipping method is missing. Select the shipping method and try again."
"The payment method isn't selected. Enter the payment method and try again.","The payment method isn't selected. Enter the payment method and try again."
"An ID is needed. Set the ID and try again.","An ID is needed. Set the ID and try again."
"The entity that was requested doesn't exist. Verify the entity and try again.","The entity that was requested doesn't exist. Verify the entity and try again."
"The order address couldn't be deleted.","The order address couldn't be deleted."
"The order address couldn't be saved.","The order address couldn't be saved."
"The credit memo couldn't be deleted.","The credit memo couldn't be deleted."
"The credit memo couldn't be saved.","The credit memo couldn't be saved."
"The shipment couldn't be deleted.","The shipment couldn't be deleted."
"The shipment couldn't be saved.","The shipment couldn't be saved."
"The last status can't be changed and needs to stay assigned to its current state.","The last status can't be changed and needs to stay assigned to its current state."
"The status can't be unassigned because the status is currently used by an order.","The status can't be unassigned because the status is currently used by an order."
"The status needs to remain assigned to its state.","The status needs to remain assigned to its state."
"The ""%1"" validator is not an instance of the general validator interface.","The ""%1"" validator is not an instance of the general validator interface."
"The creditmemo contains incorrect product items.","The creditmemo contains incorrect product items."
"You can not refund shipping if there is no shipping amount.","You can not refund shipping if there is no shipping amount."
