"Credit Memos","المذكرة الائتمانية"
"Capture Offline","اسر خارج الشبكة"
"Not Capture","غير اسرة"
"The invoice will be created offline without the payment gateway.","سيتم إنشاء الفاتورة دون اتصال بدون بوابة الدفع."
"Email Copy of Invoice","ارسال نسخة من الفاتورة بالبريد الإلكتروني"
"Items Invoiced","بنود الفواتير"
"Total Tax","إجمالي الضريبة"
"From Name","اسم المرسل"
"To Name","اسم المستقبل"
"Status","الحاله"
"Comment","تعليق"
"Notification Not Applicable","إعلام غير قابل للتطبيق"
"Order & Account Information","معلومات الطلب و الحساب"
"The order confirmation email was sent","تم إرسال رسالة على البريد الإلكتروني لتأكيد الطلب"
"The order confirmation email is not sent","لم نتمكن من إرسال رسالة تأكيد الطلب"
"Order Date","تاريخ الطلب"
"Order Date (%1)","تاريخ الطلب (%1)"
"Purchased From","تم شراؤها من"
"Link to the New Order","ربط بالطلب الجديد"
"Link to the Previous Order","ربط بالطلب السابق"
"Placed from IP","Placed from IP"
"%1 / %2 rate:","%1/معدل %2:"
"Edit Customer","Edit Customer"
"Customer Name","اسم العميل"
"Customer Group","مجموعات العملاء"
"Notes for this Order","ملاحظات على هذا الطلب"
"Comment added","تم إضافة التعليق"
"Transaction Data","بيانات المعاملات"
"Transaction ID","رقم المعاملة"
"Parent Transaction ID","Parent Transaction ID"
"Order ID","رقم الطلب"
"Transaction Type","نوع المعاملة التجارية"
"Is Closed","مغلق"
"Created At","انشئة في "
"Child Transactions","Child Transactions"
"Transaction Details","تفاصيل المعاملة"
"Items","المنتجات"
"Gift Message for this Order","رسالة الإهداء لهذا الطلب"
"Shipped By","شحنت بواسطة"
"Tracking Number","رقم التتبع"
"Billing Last Name","الإسم الأخير للفواتير"
"Find Order By","ايجاد الطلب بواسطة"
"ZIP Code","الرمز البريدي"
"Billing ZIP Code","الرمز البريدي للفاتوترة"
"Continue","استمر"
"Print All Refunds","طباعة جميع المبالغ المستردة"
"Refund #","مبلغ مسترد #"
"Print Refund","طباعة المبلغ المسترد"
"Product Name","اسم المنتج"
"Order #","رقم الطلب"
"Date","التاريخ"
"Ship To","يرسل الي "
"Actions","اعمال"
"View Order","تفاصيل الطلب"
"You have placed no orders.","لم تقم باي طلبات شراء."
"No shipping information available","معلومات الشحن غير متوفرة"
"Print Order","طباعة الطلب"
"Print All Invoices","طباعة كافة الفواتير"
"Invoice #","الفاتورة #"
"Print Invoice","طباعة الفاتورة"
"Qty Invoiced","الكمية المفوترة"
"Close","إغلاق"
"About Your Order","حول طلبك"
"<span class=""label"">Order Date:</span> %1","<span class=""label""> تاريخ الطلب:</span> %1"
"Refund #%1","Refund #%1"
"Shipment #%1","Shipment #%1"
"Qty Shipped","الكمية المشحونة"
"Recent Orders","الطلبات الأخيرة"
"View All","عرض الكل"
"Gift Message for This Order","Gift Message for This Order"
"Recently Ordered","طلبت مؤخراً"
"Add to Cart","أضف لسلة التسوق"
"Search","بحث"
"Credit memo for your %store_name order","مذكرة الائتمان لطلبك %store_name"
"%name,","%name،"
"Thank you for your order from %store_name.","شكرا لك على الشراء من %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","يمكنك التحقق من حالة طلبك عبر <a href=""%account_url""> تسجيل الدخول إلى حسابك</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","إذا كان لديك أسئلة حول الطلب، يمكنك مراسلتنا على <a href=""mailto:%store_email""> %store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","or call us at <a href=""tel:%store_phone"">%store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Our hours are <span class=""no-link"">%store_hours</span>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","مذكره الإئتمان رقم #%creditmemo_id لأمر #%order_id"
"Billing Info","بيانات الدفع"
"Shipping Info","Shipping Info"
"Update to your %store_name credit memo","تحديث لمذكرة الائتمان الخاصة بك %store_name"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","طلبك #%increment_id تم تحديث حالته إلى <strong>%order_status</strong>."
"Invoice for your %store_name order","فاتورة لطلبك %store_name"
"Your Invoice #%invoice_id for Order #%order_id","فاتورتك #%invoice_id للطلب #%order_id"
"Update to your %store_name invoice","تحديث للفاتورة %store_name"
"Your %store_name order confirmation","تأكيد طلبك في %store_name"
"%customer_name,","%customer_name،"
"Once your package ships we will send you a tracking number.","سوف نرسلك لم رقم بوليصة الشحن فور شحن طلبكم."
"Your Order <span class=""no-link"">#%increment_id</span>","طلبك <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","بتاريخ <span class=""no-link"">%created_at</span>"
"Once your package ships we will send an email with a link to track your order.","Once your package ships we will send an email with a link to track your order."
"Update to your %store_name order","تحديث طلبك في %store_name"
"Your %store_name order has shipped","لقد تم شحن طلبك %store_name"
"Your shipping confirmation is below. Thank you again for your business.","تأكيد الشحن الخاص بك أدناه. أشكركم مرة أخرى على عملك."
"Your Shipment #%shipment_id for Order #%order_id","شحنتك #%shipment_id لطلب رقم #%order_id"
"Update to your %store_name shipment","تحديث للشحنة الخاصة بك %store_name"
"Gift Options for ","خيارات هدية ل "
"Add Products","إضافة منتجات"
"You have item changes","You have item changes"
"Ok","موافق"
"Operations","عمليات"
"Create","إنشاء"
"Send Order Email","Send Order Email"
"Accept or Deny Payment","Accept or Deny Payment"
"Send Sales Emails","Send Sales Emails"
"Sales Section","Sales Section"
"Sales Emails Section","Sales Emails Section"
"General","عام"
"Hide Customer IP","Hide Customer IP"
"Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos.","Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos."
"Checkout Totals Sort Order","Checkout Totals Sort Order"
"Allow Reorder","السماح بإعادة الطلب"
"Invoice and Packing Slip Design","Invoice and Packing Slip Design"
"Logo for PDF Print-outs (200x50)","Logo for PDF Print-outs (200x50)"
"Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.","سيتم استخدام الشعار الافتراضي الخاص بك في وثائق PDF و HTML.<br />(jpeg، tiff، png) إذا كانت صورة pdf الخاصة بك مشوهه، حاول استخدام صورة ذات دقة عالية."
"Logo for HTML Print View","Logo for HTML Print View"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","الشعار لوثائق HTML فقط. في حال تركها فارغة، سيتم استخدام الشعار الافتراضي <br /> (jpeg, gif, png)"
"Address","العنوان"
"Minimum Order Amount","Minimum Order Amount"
"Enable","تفعيل"
"Minimum Amount","Minimum Amount"
"Subtotal after discount","Subtotal after discount"
"Include Tax to Amount","Include Tax to Amount"
"Description Message","Description Message"
"This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount.","This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount."
"Error to Show in Shopping Cart","Error to Show in Shopping Cart"
"Validate Each Address Separately in Multi-address Checkout","Validate Each Address Separately in Multi-address Checkout"
"Multi-address Description Message","Multi-address Description Message"
"We'll use the default description above if you leave this empty.","We'll use the default description above if you leave this empty."
"Multi-address Error to Show in Shopping Cart","Multi-address Error to Show in Shopping Cart"
"We'll use the default error above if you leave this empty.","We'll use the default error above if you leave this empty."
"Dashboard","لوحة التحكم"
"Use Aggregated Data","Use Aggregated Data"
"Orders Cron Settings","Orders Cron Settings"
"Pending Payment Order Lifetime (minutes)","Pending Payment Order Lifetime (minutes)"
"Sales Emails","البريد الالكتروني للبيع"
"Asynchronous sending","إرسال غير متزامن"
"Enabled","تفعيل"
"New Order Confirmation Email Sender","النظام الجديد تأكيد البريد الألكتروني المرسل"
"New Order Confirmation Template","تأكيد نموذج النظام الجديد"
"Email template chosen based on theme fallback when ""Default"" option is selected.","اختيار قالب البريد الإلكتروني استناداً إلى الثيم عند تحديد الخيار ""الإفتراضي""."
"New Order Confirmation Template for Guest","تأكيد نموذج النظام الجديد للضيف"
"Send Order Email Copy To","ارسال نسخة بالطلب على البريد الالكتروني"
"Comma-separated","Comma-separated"
"Send Order Email Copy Method","Send Order Email Copy Method"
"Order Comment Email Sender","البريد الالكتروني المرسل من اجل التعليق"
"Order Comment Email Template","البريد الالكتروني للقالب في البريد الالكتروني"
"Order Comment Email Template for Guest","قالب البريد الالكتروني لطلبات للزائرين"
"Send Order Comment Email Copy To","من اجل ارسال نسخة منها الى البريد الالكتروني التعليق"
"Send Order Comments Email Copy Method","Send Order Comments Email Copy Method"
"Invoice Email Sender","فاتورة البريد الالكتروني المرسل"
"Invoice Email Template","فاتورة قالب البريد الالكتروني"
"Invoice Email Template for Guest","البريد الالكتروني فاتوره نموذج للضيف"
"Send Invoice Email Copy To","ارسال نسخة فاتورة بالبريد الالكتروني الى"
"Send Invoice Email Copy Method","Send Invoice Email Copy Method"
"Invoice Comment Email Sender","فاتوره التعليق البريد الالكتروني للمرسل"
"Invoice Comment Email Template","فاتوره التعليق قالب البريد الالكتروني"
"Invoice Comment Email Template for Guest","فاتوره التعليق البريد الالكتروني نموذج للضيف"
"Send Invoice Comment Email Copy To","ارسال الفاتوره الى التعليق على نسخة البريد الالكتروني"
"Send Invoice Comments Email Copy Method","Send Invoice Comments Email Copy Method"
"Shipment","شحنه"
"Shipment Email Sender","مرسل البريد الالكتروني للشحنه"
"Shipment Email Template","قالب البريد الالكتروني للشحنه"
"Shipment Email Template for Guest","قالب البريد الالكتروني للشحنه للزائر"
"Send Shipment Email Copy To","ارسال نسخة الى شحن البريد الالكتروني"
"Send Shipment Email Copy Method","Send Shipment Email Copy Method"
"Shipment Comments","تعليقات الشحنه"
"Shipment Comment Email Sender","التعليق شحن البريد الالكتروني للمرسل"
"Shipment Comment Email Template","التعليق قالب شحن البريد الالكتروني"
"Shipment Comment Email Template for Guest","التعليق شحن البريد الالكتروني نموذج للضيف"
"Send Shipment Comment Email Copy To","ارسال شحنة التعليق على نسخة البريد الالكتروني"
"Send Shipment Comments Email Copy Method","Send Shipment Comments Email Copy Method"
"Credit Memo Email Sender","الائتمان مذكرة البريد الالكتروني للمرسل"
"Credit Memo Email Template","مذكرة الائتمان نموذج البريد الالكتروني"
"Credit Memo Email Template for Guest","مذكرة البريد الالكتروني الائتمان نموذج للضيف"
"Send Credit Memo Email Copy To","ارسال بريد الكتروني الائتمان المذكره نسخة إلي"
"Send Credit Memo Email Copy Method","Send Credit Memo Email Copy Method"
"Credit Memo Comment Email Sender","التعليق الائتمان مذكرة البريد الالكتروني للمرسل"
"Credit Memo Comment Email Template","مذكرة التعليق الائتمان نموذج البريد الالكتروني"
"Credit Memo Comment Email Template for Guest","التعليق الائتمان مذكرة البريد الالكتروني نموذج للضيف"
"Send Credit Memo Comment Email Copy To","ارسال نسخة ملاحظة مذكرة ائتمانية للبريد الالكتروني "
"Send Credit Memo Comments Email Copy Method","Send Credit Memo Comments Email Copy Method"
"PDF Print-outs","PDF Print-outs"
"Display Order ID in Header","Display Order ID in Header"
"Customer Order Status Notification","حالة الاحاطة بطلب العميل"
"Asynchronous indexing","الفهرسة الغير متزامنة"
"Orders and Returns Search Form","نموزج بحث الطلبات والمرتجعات"
"Anchor Custom Title","عنوان مرساة مخصص"
"Template","قالب"
"Default Template","Default Template"
"Name","اسم"
"Phone","رقم الهاتف"
"ZIP/Post Code","الرقم البريدي"
"Signed-up Point","Signed-up Point"
"Website","الموقع"
"Bill-to Name","فاتورة باسم"
"Created","إنشاء"
"Invoice Date","تاريخ الفاتورة"
"Ship-to Name","شحن باسم"
"Ship Date","Ship Date"
"Total Quantity","إجمالي الكمية"
"Default Status","Default Status"
"State Code and Title","State Code and Title"
"Item Status","حالة المادة"
"Original Price","السعر الأصلي"
"Tax Percent","نسبة الضريبة"
"All Store Views","واجهه جميع المواقع"
"PDF Credit Memos","PDF مذكرات ائتمانية"
"Purchase Point","تكلفة الشراء"
"Print Invoices","طباعة الفواتير"
"Print Packing Slips","Print Packing Slips"
"Print Credit Memos","طباعة المذكرة الائتمانية"
"Print All","طباعة الكل"
"Print Shipping Labels","Print Shipping Labels"
"Purchase Date","تاريخ الشراء"
"Grand Total (Base)","المجموع الكلي (قاعدة)"
"Grand Total (Purchased)","المجموع الكلي (مدفوع)"
"Customer Email","البريد الإلكتروني للعميل"
"Shipping and Handling","الشحن و التوصيل"
"PDF Invoices","PDF فواتير"
"PDF Shipments","PDF Shipments"
"PDF Creditmemos","PDF Creditmemos"
"Refunds","ردود"
"Create New Order for New Customer in %1","Create New Order for New Customer in %1"
"The invoice and the shipment  have been created. The shipping label cannot be created now.","The invoice and the shipment  have been created. The shipping label cannot be created now."
"We will authorize %1 after the payment is approved at the payment gateway.","We will authorize %1 after the payment is approved at the payment gateway."
"Order is suspended as its authorizing amount %1 is suspected to be fraudulent.","Order is suspended as its authorizing amount %1 is suspected to be fraudulent."
"An amount of %1 will be captured after being approved at the payment gateway.","An amount of %1 will be captured after being approved at the payment gateway."
"Captured amount of %1 online","Captured amount of %1 online"
"The order amount of %1 is pending approval on the payment gateway.","The order amount of %1 is pending approval on the payment gateway."
"Ordered amount of %1","Ordered amount of %1"
"Registered notification about captured amount of %1.","Registered notification about captured amount of %1."
"Order is suspended as its capture amount %1 is suspected to be fraudulent.","Order is suspended as its capture amount %1 is suspected to be fraudulent."
"We found an invalid quantity to ship for item ""%1"".","We found an invalid quantity to ship for item ""%1""."
"order-header","order-header"
"Something went wrong","Something went wrong"
"Page not found.","Page not found."
"Improves dashboard performance but provides non-realtime data.","Improves dashboard performance but provides non-realtime data."
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"Sample message.","Sample message."
"Limit per cron run","Limit per cron run"
"Grid Settings","Grid Settings"
"Use Aggregated Data (beta)","Use Aggregated Data (beta)"
"Could not save the comment.","Could not save the comment."
"Authorized amount of %1.","Authorized amount of %1."
"Authorized amount of %1. Order is suspended as its authorizing amount %1 is suspected to be fraudulent.","Authorized amount of %1. Order is suspended as its authorizing amount %1 is suspected to be fraudulent."
"Captured amount of %1 online.","Captured amount of %1 online."
"Requested product doesn't exist","Requested product doesn't exist"
"Product is not salable.","Product is not salable."
"Get available payment methods","Get available payment methods"
"Allow Zero GrandTotal","Allow Zero GrandTotal"
"Allow Zero GrandTotal for Creditmemo","Allow Zero GrandTotal for Creditmemo"
"Include Discount Amount","Include Discount Amount"
"The comment is missing. Enter and try again.","The comment is missing. Enter and try again."
"The ""%1"" coupon code isn't valid. Verify the code and try again.","The ""%1"" coupon code isn't valid. Verify the code and try again."
"The quote item ID needs to be received. Set the ID and try again.","The quote item ID needs to be received. Set the ID and try again."
"The quote item needs to be loaded. Load the item and try again.","The quote item needs to be loaded. Load the item and try again."
"The invoice can't be created without products. Add products and try again.","The invoice can't be created without products. Add products and try again."
"The invoice can't be saved at this time. Please try again later.","The invoice can't be saved at this time. Please try again later."
"The shipping method is missing. Select the shipping method and try again.","The shipping method is missing. Select the shipping method and try again."
"The payment method isn't selected. Enter the payment method and try again.","The payment method isn't selected. Enter the payment method and try again."
"An ID is needed. Set the ID and try again.","An ID is needed. Set the ID and try again."
"The entity that was requested doesn't exist. Verify the entity and try again.","The entity that was requested doesn't exist. Verify the entity and try again."
"The order address couldn't be deleted.","The order address couldn't be deleted."
"The order address couldn't be saved.","The order address couldn't be saved."
"The credit memo couldn't be deleted.","The credit memo couldn't be deleted."
"The credit memo couldn't be saved.","The credit memo couldn't be saved."
"The shipment couldn't be deleted.","The shipment couldn't be deleted."
"The shipment couldn't be saved.","The shipment couldn't be saved."
"The last status can't be changed and needs to stay assigned to its current state.","The last status can't be changed and needs to stay assigned to its current state."
"The status can't be unassigned because the status is currently used by an order.","The status can't be unassigned because the status is currently used by an order."
"The status needs to remain assigned to its state.","The status needs to remain assigned to its state."
"The ""%1"" validator is not an instance of the general validator interface.","The ""%1"" validator is not an instance of the general validator interface."
"The creditmemo contains incorrect product items.","The creditmemo contains incorrect product items."
"You can not refund shipping if there is no shipping amount.","You can not refund shipping if there is no shipping amount."
