"Credit Memos","Kreditnotor"
"Refund Totals","Återbetalningssumma"
"Email Copy of Credit Memo","E-posta kreditnotan"
"Please enter a positive number in this field.","Ange ett positivt tal i fältet."
"Items Refunded","Återbetalda Artiklar"
"No Items","Inga Artiklar"
"Memo Total","Memo Total"
"Credit Memo History","Historik kreditnotor"
"Credit Memo Totals","Kreditnotesumma"
"Customer Name: %1","Kundens namn: %1"
"Purchased From: %1","Köpt från: %1"
"Gift Message","Presentmeddelande"
"From:","Från:"
"To:","Till:"
"Message:","Meddelande:"
"Shipping &amp; Handling","Frakt & hantering"
"Gift Options","Presentalternativ"
"Create Shipment","Skapa sändning"
"Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice.","Faktura- och leveranstyper passar inte vissa artiklar i denna order. Du kan skapa en leverans först efter att fakturan skapats."
"%1","%1"
"Qty to Invoice","Antal att Fakturera"
"Invoice History","Faktureringshistorik"
"Invoice Comments","Faktura kommentarer"
"Invoice Totals","Fakturasummor"
"Amount","Belopp"
"Capture Online","Fånga Online"
"Capture Offline","Fånga Offline"
"Not Capture","Fånga inte"
"The invoice will be created offline without the payment gateway.","Fakturan skapas offline utan betalningsgateway."
"Email Copy of Invoice","E-posta kopia av fakturan"
"Items Invoiced","Antal Fakturerade"
"Total Tax","Total skatt"
"From Name","Från Namn"
"To Name","Till namn"
"Status","Status"
"Comment","Kommentarer"
"Notification Not Applicable","Notifikation ej tillämpligt"
"Order & Account Information","Beställning & kontoinformation"
"The order confirmation email was sent","Orderbekräftelse skickades"
"The order confirmation email is not sent","Orderbekräftelsen skickas inte"
"Order Date","Orderdatum"
"Order Date (%1)","Orderdatum (%1)"
"Purchased From","Köpt från"
"Link to the New Order","Länk till den nya beställningen"
"Link to the Previous Order","Länk till tidigare beställningar"
"Placed from IP","Placerad från IP"
"%1 / %2 rate:","%1 / %2 ränta:"
"Edit Customer","Redigera kund"
"Customer Name","Kundnamn"
"Customer Group","Kundgrupp"
"Notes for this Order","Anteckningar för denna beställning"
"Comment added","Kommentar tillagd"
"Transaction Data","Transaktionsdata"
"Transaction ID","Transaktions-ID"
"Parent Transaction ID","Överordnat transaktions-ID"
"Order ID","Order-ID"
"Transaction Type","Transaktionstyp"
"Is Closed","Är stängd"
"Created At","Skapades"
"Child Transactions","Child Transactions"
"Transaction Details","Transaktionsdetaljer"
"Items","Artiklar"
"Gift Message for this Order","Gåvomeddelande för den här ordern"
"Shipped By","Skickat av"
"Tracking Number","Spårningsnummer"
"Billing Last Name","Fakturering efternamn"
"Find Order By","Filtrera beställningar på"
"ZIP Code","Postnummer"
"Billing ZIP Code","Postnummer för Fakturering"
"Continue","Fortsätt"
"Print All Refunds","Skriv ut alla återbetalningar"
"Refund #","Återbetala #"
"Print Refund","Skriv ut återbetalning"
"Product Name","Produktnamn"
"Order #","Beställning #"
"Date","Datum"
"Ship To","Frakta till"
"Actions","Åtgärder"
"View Order","Visa beställning"
"You have placed no orders.","Du har inte gjort några beställningar."
"No shipping information available","Ingen fraktinformation tillgänglig"
"Print Order","Skriv ut beställning"
"Print All Invoices","Skriv ut alla fakturor"
"Invoice #","Faktura nr"
"Print Invoice","Skriv ut faktura"
"Qty Invoiced","Antal fakturerade"
"Close","Stäng"
"About Your Order","Om din beställning"
"<span class=""label"">Order Date:</span> %1","<span class=""label""> beställningsdatum:</span> %1"
"Refund #%1","Återbetalning #%1"
"Shipment #%1","Leverans #%1"
"Qty Shipped","Antal Levererade"
"Recent Orders","Senaste beställningar"
"View All","Visa alla"
"Gift Message for This Order","Gåvomeddelande för den här ordern"
"Recently Ordered","Senaste beställningar"
"Add to Cart","Lägg till i kundvagn"
"Search","Sök"
"Credit memo for your %store_name order","Kreditnota för beställningen %store_name"
"%name,","%name"
"Thank you for your order from %store_name.","Tack för din beställning från %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Du kan kolla statusen på din order genom att <a href=""%account_url"">logga in på ditt konto</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Om du har några frågor angående din order kan du mejla oss på <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","eller ring oss på <a href=""tel:%store_phone"">%store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Öppettider: <br /><span class=""no-link"">%store_hours</span>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Din kreditnota #%creditmemo_id för Order nr%order_id"
"Billing Info","Faktureringsinformation"
"Shipping Info","Leveransinformation"
"Update to your %store_name credit memo","Uppdatering för din kreditnota från %store_name"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Din beställning #%increment_id har uppdaterats med statusen <strong>%order_status</strong>."
"Invoice for your %store_name order","Faktura för din beställning från %store_name"
"Your Invoice #%invoice_id for Order #%order_id","Din faktura #%invoice_id för beställning #%order_id"
"Update to your %store_name invoice","Uppdatering för din faktura från %store_name"
"Your %store_name order confirmation","Beställningsbekräftelse från %store_name"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","När din order är behandlad och skickad kommer vi skicka dig ett trackning nummer som du kan spåra din beställning med."
"Your Order <span class=""no-link"">#%increment_id</span>","Din beställning <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Lagd <span class=""no-link"">%created_at</span>"
"Once your package ships we will send an email with a link to track your order.","När ditt paket levereras skickar vi ett mail med en länk till spåra din beställning."
"Update to your %store_name order","Uppdatera din %store_name order"
"Your %store_name order has shipped","Din %store_name beställning har skickats"
"Your shipping confirmation is below. Thank you again for your business.","Din leveransbekräftelse finns nedan. Tack för att du handlar hos oss."
"Your Shipment #%shipment_id for Order #%order_id","Din försändelse #%shipment_id för order nr #%order_id"
"Update to your %store_name shipment","Uppdatering för din försändelse från %store_name"
"Gift Options for ","Gift Options for "
"Add Products","Lägg till produkter"
"You have item changes","You have item changes"
"Ok","Ok"
"Operations","Operations"
"Create","Skapa"
"Send Order Email","Send Order Email"
"Accept or Deny Payment","Accept or Deny Payment"
"Send Sales Emails","Send Sales Emails"
"Sales Section","Sales Section"
"Sales Emails Section","Sales Emails Section"
"General","Allmänt"
"Hide Customer IP","Hide Customer IP"
"Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos.","Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos."
"Checkout Totals Sort Order","Checkout Totals Sort Order"
"Allow Reorder","Allow Reorder"
"Invoice and Packing Slip Design","Invoice and Packing Slip Design"
"Logo for PDF Print-outs (200x50)","Logo for PDF Print-outs (200x50)"
"Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.","Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image."
"Logo for HTML Print View","Logo for HTML Print View"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)"
"Address","Adress"
"Minimum Order Amount","Minimum Order Amount"
"Enable","Aktivera"
"Minimum Amount","Minimum Amount"
"Subtotal after discount","Delsumma efter rabatt"
"Include Tax to Amount","Include Tax to Amount"
"Description Message","Beskrivning meddelande"
"This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount.","Detta meddelande kommer att visas i kundvagnen när delsumman (efter rabatt) är lägre än det minsta tillåtna belopp."
"Error to Show in Shopping Cart","Går ej att visa i kundvagn"
"Validate Each Address Separately in Multi-address Checkout","Validera varje adress separat i kassan med flera adresser"
"Multi-address Description Message","Beskrivande meddelande för flera adresser"
"We'll use the default description above if you leave this empty.","Vi använder standardbeskrivningen ovan om du lämnar detta tomt."
"Multi-address Error to Show in Shopping Cart","Felmeddelandet som visas i kundvarukorgen vid multi-adressproblem"
"We'll use the default error above if you leave this empty.","Vi använder standardfelet ovan om du lämnar det tomt."
"Dashboard","Översikt"
"Use Aggregated Data","Använda aggregerade Data"
"Orders Cron Settings","Cron inställningar för beställningar"
"Pending Payment Order Lifetime (minutes)","Väntar betalning bestäningslivstid (minuter)"
"Sales Emails","Försäljningsmail"
"Asynchronous sending","Asynkron sändning"
"Enabled","Aktiverad"
"New Order Confirmation Email Sender","E-postavsändare för beställningsbekräftelse"
"New Order Confirmation Template","Beställningsbekräftelse mall"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-postmallen valt baserat på tema reserv när ""Standard"" alternativet är valt."
"New Order Confirmation Template for Guest","Beställningsbekräftelse mall för gäst"
"Send Order Email Copy To","Skicka beställnings e-kopia till"
"Comma-separated","Kommaseparerad"
"Send Order Email Copy Method","Skicka E-postkopia av beställningen"
"Order Comment Email Sender","Order kommentar e-postavsändare"
"Order Comment Email Template","Beställningskommentar e-post mall"
"Order Comment Email Template for Guest","Beställningskommentar e-post mall för gäst"
"Send Order Comment Email Copy To","Skicka beställningskommentar e-postkopia till"
"Send Order Comments Email Copy Method","Skicka beställningskommentarer e-mail kopiametoden"
"Invoice Email Sender","Faktura-avsändare"
"Invoice Email Template","E-post fakturamall"
"Invoice Email Template for Guest","E-postmall för faktura för gäst"
"Send Invoice Email Copy To","Skicka faktura e-postkopia till"
"Send Invoice Email Copy Method","Skicka faktura e-postkopia-metoden"
"Invoice Comment Email Sender","Faktura kommentar e-postavsändare"
"Invoice Comment Email Template","Faktura kommentar e-postmall"
"Invoice Comment Email Template for Guest","Faktura kommentar e-postmall för gäst"
"Send Invoice Comment Email Copy To","Skicka faktura kommentar e-postkopia till"
"Send Invoice Comments Email Copy Method","Skicka faktura kommentarer e-postkopie-metoden"
"Shipment","Frakt"
"Shipment Email Sender","Frakt e-postavsändare"
"Shipment Email Template","E-post fraktmail"
"Shipment Email Template for Guest","Frakt e-postmall för gäst"
"Send Shipment Email Copy To","Skicka Frakt e-postkopia till"
"Send Shipment Email Copy Method","Skicka frakt e-postkopia-metod"
"Shipment Comments","Fraktkommentarer"
"Shipment Comment Email Sender","Fraktkommentar e-postavsändare"
"Shipment Comment Email Template","Fraktkommentar e-postmall"
"Shipment Comment Email Template for Guest","Fraktkommentar E-postmall för gäst"
"Send Shipment Comment Email Copy To","Skicka fraktkommentar e-postkopia till"
"Send Shipment Comments Email Copy Method","Skicka försändelsekommentarer via e-postkopie-metoden"
"Credit Memo Email Sender","Kredit Memo-avsändare"
"Credit Memo Email Template","Kredit Memo e-postmall"
"Credit Memo Email Template for Guest","Credit Memo Email Template for Guest"
"Send Credit Memo Email Copy To","Send Credit Memo Email Copy To"
"Send Credit Memo Email Copy Method","Send Credit Memo Email Copy Method"
"Credit Memo Comment Email Sender","Credit Memo Comment Email Sender"
"Credit Memo Comment Email Template","Credit Memo Comment Email Template"
"Credit Memo Comment Email Template for Guest","Credit Memo Comment Email Template for Guest"
"Send Credit Memo Comment Email Copy To","Send Credit Memo Comment Email Copy To"
"Send Credit Memo Comments Email Copy Method","Send Credit Memo Comments Email Copy Method"
"PDF Print-outs","PDF Print-outs"
"Display Order ID in Header","Display Order ID in Header"
"Customer Order Status Notification","Customer Order Status Notification"
"Asynchronous indexing","Asynkron indexering"
"Orders and Returns Search Form","Order och returer sökformuläret"
"Anchor Custom Title","Ankarets anpassade titel"
"Template","Mall"
"Default Template","Förvald mall"
"Name","Namn"
"Phone","Telefon"
"ZIP/Post Code","Postnummer"
"Signed-up Point","Anmälningstillfälle"
"Website","Webbplats"
"Bill-to Name","Fakturamottagarens namn"
"Created","Skapad"
"Invoice Date","Fakturadatum"
"Ship-to Name","Mottagarnamn"
"Ship Date","Transportdatum"
"Total Quantity","Total kvantitet"
"Default Status","Standardvärden"
"State Code and Title","Statskod och titel"
"Item Status","Objektets Status"
"Original Price","Ursprungspris"
"Tax Percent","Skatt procent"
"All Store Views","Alla butiksvyer"
"PDF Credit Memos","PDF-kreditnotor"
"Purchase Point","Beställningspunkt"
"Print Invoices","Skriv ut fakturor"
"Print Packing Slips","Skriv ut följesedlar"
"Print Credit Memos","Skriv ut kreditnotor"
"Print All","Skriv ut alla"
"Print Shipping Labels","Skriv ut följesedel"
"Purchase Date","Inköpsdatum"
"Grand Total (Base)","Totalsumma (bas)"
"Grand Total (Purchased)","Totalsumma (köpt)"
"Customer Email","Kund e-post"
"Shipping and Handling","Frakt & hantering"
"PDF Invoices","PDF-fakturor"
"PDF Shipments","PDF-transporter"
"PDF Creditmemos","PDF-kreditnotor"
"Refunds","Återbetala"
"Create New Order for New Customer in %1","Create New Order for New Customer in %1"
"The invoice and the shipment  have been created. The shipping label cannot be created now.","Fakturan och leveransen har skapats. ' ' Fraktetiketten kan inte skapas nu."
"We will authorize %1 after the payment is approved at the payment gateway.","Vi kommer att tillåta %1 när betalningen har godkänts vid betalningsgateway."
"Order is suspended as its authorizing amount %1 is suspected to be fraudulent.","Order is suspended as its authorizing amount %1 is suspected to be fraudulent."
"An amount of %1 will be captured after being approved at the payment gateway.","Summan %1 kommer att dras efter godkännande av betalningsleverantör."
"Captured amount of %1 online","Captured amount of %1 online"
"The order amount of %1 is pending approval on the payment gateway.","Orderkostnaden %1 väntar på godkännande av betallösning."
"Ordered amount of %1","Beställd mängd %1"
"Registered notification about captured amount of %1.","Registrerad anmälan om dragning av summan %1."
"Order is suspended as its capture amount %1 is suspected to be fraudulent.","Beställning avbryts eftersom dragna beloppet %1 misstänks vara falskt."
"We found an invalid quantity to ship for item ""%1"".","We found an invalid quantity to ship for item ""%1""."
"order-header","order-header"
"Something went wrong","Något gick fel"
"Page not found.","Sidan kunde inte hittas."
"Improves dashboard performance but provides non-realtime data.","Improves dashboard performance but provides non-realtime data."
"Invalid Form Key. Please refresh the page.","Ogiltig Form nyckel. Vänligen uppdatera sidan."
"Sample message.","Sample message."
"Limit per cron run","Limit per cron run"
"Grid Settings","Grid Settings"
"Use Aggregated Data (beta)","Use Aggregated Data (beta)"
"Could not save the comment.","Could not save the comment."
"Authorized amount of %1.","Godkänt belopp av %1."
"Authorized amount of %1. Order is suspended as its authorizing amount %1 is suspected to be fraudulent.","Godkänt belopp av %1. Beställning avbryts eftersom dess bemyndigade belopp %1 misstänks vara ogiltigt."
"Captured amount of %1 online.","Fakturerade %1 online."
"Requested product doesn't exist","Requested product doesn't exist"
"Product is not salable.","Product is not salable."
"Get available payment methods","Get available payment methods"
"Allow Zero GrandTotal","Allow Zero GrandTotal"
"Allow Zero GrandTotal for Creditmemo","Allow Zero GrandTotal for Creditmemo"
"Include Discount Amount","Include Discount Amount"
"The comment is missing. Enter and try again.","The comment is missing. Enter and try again."
"The ""%1"" coupon code isn't valid. Verify the code and try again.","The ""%1"" coupon code isn't valid. Verify the code and try again."
"The quote item ID needs to be received. Set the ID and try again.","The quote item ID needs to be received. Set the ID and try again."
"The quote item needs to be loaded. Load the item and try again.","The quote item needs to be loaded. Load the item and try again."
"The invoice can't be created without products. Add products and try again.","The invoice can't be created without products. Add products and try again."
"The invoice can't be saved at this time. Please try again later.","The invoice can't be saved at this time. Please try again later."
"The shipping method is missing. Select the shipping method and try again.","The shipping method is missing. Select the shipping method and try again."
"The payment method isn't selected. Enter the payment method and try again.","The payment method isn't selected. Enter the payment method and try again."
"An ID is needed. Set the ID and try again.","An ID is needed. Set the ID and try again."
"The entity that was requested doesn't exist. Verify the entity and try again.","The entity that was requested doesn't exist. Verify the entity and try again."
"The order address couldn't be deleted.","The order address couldn't be deleted."
"The order address couldn't be saved.","The order address couldn't be saved."
"The credit memo couldn't be deleted.","The credit memo couldn't be deleted."
"The credit memo couldn't be saved.","The credit memo couldn't be saved."
"The shipment couldn't be deleted.","The shipment couldn't be deleted."
"The shipment couldn't be saved.","The shipment couldn't be saved."
"The last status can't be changed and needs to stay assigned to its current state.","The last status can't be changed and needs to stay assigned to its current state."
"The status can't be unassigned because the status is currently used by an order.","The status can't be unassigned because the status is currently used by an order."
"The status needs to remain assigned to its state.","The status needs to remain assigned to its state."
"The ""%1"" validator is not an instance of the general validator interface.","The ""%1"" validator is not an instance of the general validator interface."
"The creditmemo contains incorrect product items.","The creditmemo contains incorrect product items."
"You can not refund shipping if there is no shipping amount.","You can not refund shipping if there is no shipping amount."
