"Delete Customer","පාරිභෝගිකයා මකන්න"
"Default 'Customer Status Active' Email","පෙරනිමි 'පාරිභෝගික තත්ත්‍වය සක්‍රීය' විද්‍යුත් තැපෑල"
"Default 'Customer Status Inactive' Email","පෙරනිමි 'පාරිභෝගික තත්ත්වය අක්‍රිය' ඊමේල්"
"Company Status Change","සමාගමේ තත්ත්වය වෙනස් කිරීම"
"Send Company Status Change Email Copy To","සමාගමේ තත්ත්‍වය වෙනස් කරන්න ඊමේල් පිටපතක් යවන්න"
"Comma-separated. The recipient(s) will get a copy of an email which is by default sent to the Company Admin only.","කොමාවකින් වෙන් කරන ලද. ලබන්නන්ට (ලා) ඊමේල් පිටපතක් ලැබෙනු ඇත, එය පෙරනිමියෙන් සමාගම් පරිපාලක වෙත යවනු ලැබේ."
"Default 'Company Status Change To Active 1"" Email","පෙරනිමි 'සමාගම තත්ත්‍වය සක්‍රිය 1"" ඊමේල් වෙත වෙනස් කිරීම"
"This email is sent when company status changes from Pending Approval to Active.","සමාගමේ තත්ත්වය පොරොත්තු අනුමැතියේ සිට සක්‍රිය වෙත වෙනස් වූ විට මෙම විද්‍යුත් තැපෑල යවනු ලැබේ."
"Default 'Company Status Change To Active 2"" Email","පෙරනිමි 'සමාගම තත්ත්‍වය සක්‍රිය 2"" ඊමේල් වෙත වෙනස් කිරීම"
"This email is sent when company status changes from Rejected or Blocked to Active.","සමාගමේ තත්ත්වය ප්‍රතික්ෂේප කළ හෝ අවහිර කළ සිට සක්‍රිය වෙත වෙනස් වූ විට මෙම විද්‍යුත් තැපෑල යවනු ලැබේ."
"Default 'Company Status Change To Rejected"" Email","පෙරනිමි 'සමාගම තත්ත්‍වය ප්‍රතික්ෂේප කළ බවට වෙනස් කිරීම"" විද්‍යුත් තැපෑල"
"This email is sent when company status changes to Rejected.","සමාගමේ තත්ත්වය ප්‍රතික්ෂේප කළ බවට වෙනස් වූ විට මෙම විද්‍යුත් තැපෑල යවනු ලැබේ."
"Default 'Company Status Change To Blocked"" Email","පෙරනිමි 'සමාගම තත්ත්‍වය අවහිර කළ බවට වෙනස් කිරීම"" විද්‍යුත් තැපෑල"
"This email is sent when company status changes Blocked.","සමාගමේ තත්ත්වය වෙනස් වූ විට මෙම විද්‍යුත් තැපෑල යවනු ලැබේ අවහිර කර ඇත."
"Default 'Company Status Change To Pending Approval"" Email","පෙරනිමි 'සමාගම තත්ත්‍වය පොරොත්තු අනුමැතියට වෙනස් කිරීම"" විද්‍යුත් තැපෑල"
"This email is sent when company status changes to Pending Approval.","සමාගමේ තත්ත්වය පොරොත්තු අනුමැතියට වෙනස් වූ විට මෙම විද්‍යුත් තැපෑල යවනු ලැබේ."
"All","සියලුම"
"Account Information (View)","ගිණුම් තොරතුරු (බලන්න)"
"Legal Address (View)","නීති ලිපිනය (බලන්න)"
"Contacts (View)","සම්බන්ධතා (බලන්න)"
"Company User Management","සමාගමේ පරිශීලක කළමනාකරණය"
"View roles and permissions","භූමිකාවන් සහ අවසර බලන්න"
"Manage roles and permissions","භූමිකාවන් සහ අවසර කළමනාකරණය කරන්න"
"View users and teams","පරිශීලකයින් සහ කණ්ඩායම් බලන්න"
"Manage users and teams","පරිශීලකයින් සහ කණ්ඩායම් කළමනාකරණය කරන්න"
"Sales","විකුණුම්"
"Checkout (place order)","Checkout (place order)"
"Use Pay On Account method","ගිණුම් ගෙවීමේ ක්‍රමය භාවිතා කරන්න"
"View orders","ඇණවුම් බලන්න"
"View orders of subordinate users","යටත් පරිශීලකයින්ගේ ඇණවුම් බලන්න"
"Are you sure you want to set the selected companies as active?","තෝරාගත් සමාගම් සක්‍රිය ලෙස සැකසීමට අවශ්‍ය බව ඔබට විශ්වාසද?"
"Set a Company as Active","සමාගමක් ක්රියාකාරී ලෙස සකසන්න"
"Set Active","Active සකසන්න"
"Are you sure you want to block the selected companies?","තෝරාගත් සමාගම් අවහිර කිරීමට අවශ්‍ය බව ඔබට විශ්වාසද?"
"Block a Company","සමාගමක් අවහිර කරන්න"
"Block","අවහිර කරන්න"
"This action cannot be undone. Are you sure you want to delete the selected companies? After the company is deleted, all the company members will be set to Inactive.","මෙම ක්‍රියාව පසුගමනය කළ නොහැක. ඔබට තෝරාගත් සමාගම් මැකීමට අවශ්‍ය බව විශ්වාසද? සමාගම මකා දැමීමෙන් පසු, සියලුම සමාගම් සාමාජිකයින් අක්‍රිය ලෙස සකසනු ඇත."
"ID","හැඳුනුම්පත"
"Reseller ID","නැවත විකුණුම් හැඳුනුම්පත"
"Comment","අදහස් දක්වන්න"
"ZIP","ZIP"
"Customer Group","පාරිභෝගික කණ්ඩායම"
"Company Admin","සමාගමේ පරිපාලක"
"Gender","ස්ත්රී පුරුෂ භාවය"
"Customer Type","පාරිභෝගික වර්ගය"
"Are you sure you want to temporarily disable this company account? If you confirm, login for all company members will be blocked.","ඔබට මෙම සමාගම් ගිණුම තාවකාලිකව අබල කිරීමට අවශ්‍ය බව විශ්වාසද? ඔබ තහවුරු කරන්නේ නම්, සියලුම සමාගම් සාමාජිකයින් සඳහා පුරනය වීම අවහිර කරනු ලැබේ."
"Are you sure you want to set this company to active? If you confirm, the company members will be able to operate within their company account.>","ඔබට මෙම සමාගම සක්‍රිය ලෙස සැකසීමට අවශ්‍ය බව විශ්වාසද? ඔබ තහවුරු කරන්නේ නම්, සමාගමේ සාමාජිකයින්ට ඔවුන්ගේ සමාගම් ගිණුම තුළ ක්‍රියා කිරීමට හැකි වනු ඇත.>"
"Are you sure you want to reject this company? If you confirm, login for all company members will be blocked.","ඔබට මෙම සමාගම ප්‍රතික්ෂේප කිරීමට අවශ්‍ය බව විශ්වාසද? ඔබ තහවුරු කරන්නේ නම්, සියලුම සමාගම් සාමාජිකයින් සඳහා පුරනය වීම අවහිර කරනු ලැබේ."
"Please specify the reason","කරුණාකර හේතුව සඳහන් කරන්න"
"The reason will appear in the 'Rejected' email sent to the Company Admin. It will also be saved and displayed in Admin Panel (in the company profile).","හේතුව සමාගම් පරිපාලක වෙත යවන ලද 'ප්‍රතික්ෂේපිත' විද්‍යුත් තැපෑලෙහි දිස්වනු ඇත. එය පරිපාලක පැනලයේ (සමාගම පැතිකඩෙහි) සුරකින අතර දර්ශනය වේ."
"Are you sure you want to block this company? If you proceed, the company members will not be able to place orders.","ඔබට මෙම සමාගම අවහිර කිරීමට අවශ්‍ය බව විශ්වාසද? ඔබ ඉදිරියට ගියහොත්, සමාගමේ සාමාජිකයින්ට ඇණවුම් කිරීමට නොහැකි වනු ඇත."
"Reason for Rejection","ප්රතික්ෂේප කිරීමට හේතුව"
"VAT / TAX ID","වැට් / බදු හැඳුනුම්පත"
"Website","වෙබ් අඩවිය"
"Prefix","උපසර්ගය"
"Middle Name/Initial","මැද නම/මුල"
"Suffix","උපසර්ගය"
"Advanced Settings","උසස් සැකසුම්"
"Change Customer Group?","පාරිභෝගික කණ්ඩායම වෙනස් කරන්නද?"
"This action will change the customer group for all members of this company. Would you like to proceed?","මෙම ක්‍රියාව මෙම සමාගමේ සියලුම සාමාජිකයින් සඳහා පාරිභෝගික කණ්ඩායම වෙනස් කරනු ඇත. ඔබ ඉදිරියට යාමට කැමතිද?"
"The user <%- username %> is the company admin and cannot be set to inactive. You must set another user as the company admin first.","පරිශීලක <%- පරිශීලක නාමය %> සමාගමේ පරිපාලක වන අතර අක්‍රිය ලෙස සැකසිය නොහැක. ඔබ පළමුව සමාගමේ පරිපාලක ලෙස වෙනත් පරිශීලකයෙකු සැකසිය යුතුය."
"Customer Active","පාරිභෝගික ක්රියාකාරී"
"This customer is a user of a different company. If you proceed, the customer will be unlinked from the current company and linked to the selected company.","මෙම පාරිභෝගිකයා වෙනත් සමාගමක පරිශීලකයෙකි. ඔබ ඉදිරියට ගියහොත්, පාරිභෝගිකයා වත්මන් සමාගමෙන් විසන්ධි කර තෝරාගත් සමාගමට සම්බන්ධ කරනු ඇත."
"Change Company?","සමාගම වෙනස් කරන්නද?"
"Associate to Company","සමාගමට සම්බන්ධයි"
"My Orders","මගේ නියෝග"
"Create New Customer","නව පාරිභෝගිකයෙකු සාදන්න"
"Create New Company Account","නව සමාගම් ගිණුමක් සාදන්න"
"Name","නම"
"Role","කාර්යභාරය"
"Team","කණ්ඩායම"
"Users","පරිශීලකයන්"
"%fieldName is a required field.","%fieldName is a required field."
"%fieldName is a required field","%fieldName is a required field"
"Consumer is not authorized to access resource","Consumer is not authorized to access resource"
"Your company account is blocked and you cannot place orders. If you have questions, please contact your company administrator.","Your company account is blocked and you cannot place orders. If you have questions, please contact your company administrator."
