"Delete Customer","ಗ್ರಾಹಕರನ್ನು ಅಳಿಸಿ"
"Account Information (View)","ಖಾತೆಯ ಮಾಹಿತಿ (ವೀಕ್ಷಿಸಿ)"
"Legal Address (View)","ಕಾನೂನಾತ್ಮಕ ವಿಳಾಸ (ನೋಟ)"
"Contacts (View)","ಸಂಪರ್ಕಗಳು (ವೀಕ್ಷಿಸಿ)"
"Company User Management","ಸಂಸ್ಥೆಯ ಬಳಕೆದಾರರ ನಿರ್ವಹಣೆ"
"View roles and permissions","ಹುದ್ದೆ ಮತ್ತು ಅನುಮತಿಗಳನ್ನು ವೀಕ್ಷಿಸಿ"
"Manage roles and permissions","ಹುದ್ದೆ ಮತ್ತು ಅನುಮತಿಗಳನ್ನು ನಿರ್ವಹಿಸಿ"
"View users and teams","ಬಳಕೆದಾರರು ಮತ್ತು ತಂಡಗಳನ್ನು ವೀಕ್ಷಿಸಿ"
"Manage users and teams","ಬಳಕೆದಾರರು ಮತ್ತು ತಂಡಗಳನ್ನು ನಿರ್ವಹಿಸಿ"
"Sales","ವ್ಯಾಪಾರಗಳು"
"Checkout (place order)","Checkout (place order)"
"Use Pay On Account method","Use Pay On Account method"
"View orders","ವ್ಯಾಪಾರಾದೇಶ ವೀಕ್ಷಿಸಿ"
"View orders of subordinate users","View orders of subordinate users"
"Are you sure you want to set the selected companies as active?","Are you sure you want to set the selected companies as active?"
"Set a Company as Active","ಸಂಸ್ಥೆ ಸಕ್ರಿಯವಾಗಿರುವಂತೆ ಹೊಂದಿಸಿ"
"Set Active","ಸಕ್ರಿಯಗೊಳಿಸಿ"
"Are you sure you want to block the selected companies?","Are you sure you want to block the selected companies?"
"Block a Company","ಸಂಸ್ಥೆಯೊಂದನ್ನು ನಿರ್ಬಂಧಿಸಿ"
"Block","ನಿರ್ಬಂಧಿಸಿ"
"This action cannot be undone. Are you sure you want to delete the selected companies? After the company is deleted, all the company members will be set to Inactive.","This action cannot be undone. Are you sure you want to delete the selected companies? After the company is deleted, all the company members will be set to Inactive."
"ID","ID"
"Reseller ID","ಮರುಮಾರಾಟಗಾರರ ಐಡಿ"
"Comment","ಅಭಿಪ್ರಾಯ"
"ZIP","ಪಿನ್ ಕೋಡ್"
"Customer Group","ಗ್ರಾಹಕರ ಗುಂಪು"
"Company Admin","ಸಂಸ್ಥೆಯ ನಿರ್ವಾಹಕ"
"Gender","ಲಿಂಗ"
"Customer Type","ಗ್ರಾಹಕರ ವಿಧ"
"Are you sure you want to temporarily disable this company account? If you confirm, login for all company members will be blocked.","Are you sure you want to temporarily disable this company account? If you confirm, login for all company members will be blocked."
"Are you sure you want to set this company to active? If you confirm, the company members will be able to operate within their company account.>","Are you sure you want to set this company to active? If you confirm, the company members will be able to operate within their company account.>"
"Are you sure you want to reject this company? If you confirm, login for all company members will be blocked.","Are you sure you want to reject this company? If you confirm, login for all company members will be blocked."
"Please specify the reason","ದಯವಿಟ್ಟು ಕಾರಣವನ್ನು ಸೂಚಿಸಿ"
"The reason will appear in the 'Rejected' email sent to the Company Admin. It will also be saved and displayed in Admin Panel (in the company profile).","The reason will appear in the 'Rejected' email sent to the Company Admin. It will also be saved and displayed in Admin Panel (in the company profile)."
"Are you sure you want to block this company? If you proceed, the company members will not be able to place orders.","Are you sure you want to block this company? If you proceed, the company members will not be able to place orders."
"Reason for Rejection","ನಿರಾಕರಣೆಗೆ ಕಾರಣ"
"VAT / TAX ID","VAT / TAX ID"
"Website","ಜಾಲ ತಾಣ"
"Prefix","ಪೂರ್ವಪ್ರತ್ಯಯ"
"Middle Name/Initial","ಮಧ್ಯದ ಹೆಸರು/ಇನಿಶಿಯಲ್ಲು"
"Suffix","ಅಂತ್ಯ ಪ್ರತ್ಯಯ"
"Advanced Settings","ಸುಧಾರಿತ ಸಂಯೋಜನೆಗಳು"
"Change Customer Group?","ಗ್ರಾಹಕರ ಗುಂಪನ್ನು ಬದಲಿಸುವುದೇ?"
"This action will change the customer group for all members of this company. Would you like to proceed?","This action will change the customer group for all members of this company. Would you like to proceed?"
"The user <%- username %> is the company admin and cannot be set to inactive. You must set another user as the company admin first.","The user <%- username %> is the company admin and cannot be set to inactive. You must set another user as the company admin first."
"Customer Active","ಗ್ರಾಹಕರು ಸಕ್ರಿಯ"
"This customer is a user of a different company. If you proceed, the customer will be unlinked from the current company and linked to the selected company.","This customer is a user of a different company. If you proceed, the customer will be unlinked from the current company and linked to the selected company."
"Change Company?","ಸಂಸ್ಠೆ ಬದಲಿಸುವುದೆ?"
"Associate to Company","ಸಂಸ್ಥೆಗೆ ನಿಯೋಜಿಸಿ"
"My Orders","ನನ್ನ ವ್ಯಾಪಾರಾದೇಶಗಳು"
"Create New Customer","ಹೊಸ ಗ್ರಾಹಕರನ್ನು ರಚಿಸಿ"
"Create New Company Account","ಸಂಸ್ಥೆಯ ಹೊಸ ಖಾತೆಯೊಂದನ್ನು ರಚಿಸಿ"
"Name","ಹೆಸರು"
"Role","ಹುದ್ದೆ"
"Team","ತಂಡ"
"Users","ಬಳಕೆದಾರರು"
"%fieldName is a required field.","%fieldName is a required field."
"%fieldName is a required field","%fieldName is a required field"
"Consumer is not authorized to access resource","Consumer is not authorized to access resource"
"Your company account is blocked and you cannot place orders. If you have questions, please contact your company administrator.","Your company account is blocked and you cannot place orders. If you have questions, please contact your company administrator."
